SurveySeason,Region,NetType,CommonName,Core_Survey,Month,SurveyCategory,N_Fish,Length_Mean,Length_SD,Length_Min,Length_Q1,Length_Q5,Length_Q25,Length_Median,Length_Q75,Length_Q95,Length_Q99,Length_Max
20mm,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,7,CDFW,93,37,8,20,21,24,32,36,40,46,62,85
20mm,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,3,CDFW,555,28,10,4,5,11,21,28,36,45,49,52
20mm,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,4,CDFW,541,30,13,3,5,11,22,28,36,59,68,83
20mm,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,5,CDFW,1030,34,16,3,5,9,25,32,42,65,73,90
20mm,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,6,CDFW,787,26,23,3,3,4,9,17,34,76,87,103
20mm,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,7,CDFW,854,19,17,2,3,4,9,15,23,61,83,98
20mm,Far West,Pelagic Trawl,Pacific_Herring,TRUE,3,CDFW,40161,20,7,5,9,11,14,18,24,33,42,50
20mm,Far West,Pelagic Trawl,Pacific_Herring,TRUE,4,CDFW,20359,25,8,7,10,13,19,24,30,39,46,58
20mm,Far West,Pelagic Trawl,Pacific_Herring,TRUE,5,CDFW,2063,30,7,6,17,21,25,29,34,42,48,69
20mm,Far West,Pelagic Trawl,Pacific_Herring,TRUE,6,CDFW,75,36,13,8,9,14,28,35,44,56,67,73
20mm,Far West,Pelagic Trawl,Pacific_Herring,TRUE,7,CDFW,3,48,11,35,35,37,43,51,54,56,57,57
20mm,Far West,Pelagic Trawl,Shimofuri_Goby,TRUE,3,CDFW,16,61,14,36,37,41,54,57,71,82,85,86
20mm,Far West,Pelagic Trawl,Shimofuri_Goby,TRUE,4,CDFW,14,60,26,3,3,4,59,64,74,87,92,93
20mm,Far West,Pelagic Trawl,Shimofuri_Goby,TRUE,5,CDFW,3,77,18,60,60,62,68,77,86,93,95,95
20mm,Far West,Pelagic Trawl,Shimofuri_Goby,TRUE,6,CDFW,32,27,21,14,14,14,16,17,28,66,98,110
20mm,Far West,Pelagic Trawl,Shimofuri_Goby,TRUE,7,CDFW,8,22,19,13,13,13,14,14,18,54,66,69
20mm,Far West,Pelagic Trawl,Shokihaze_Goby,TRUE,3,CDFW,8,60,23,29,30,33,47,58,69,94,102,104
20mm,Far West,Pelagic Trawl,Shokihaze_Goby,TRUE,4,CDFW,2,57,25,39,39,41,48,57,66,73,75,75
20mm,Far West,Pelagic Trawl,Shokihaze_Goby,TRUE,5,CDFW,2,68,11,60,60,61,64,68,71,74,75,75
20mm,Far West,Pelagic Trawl,Shokihaze_Goby,TRUE,6,CDFW,4,67,33,17,19,27,65,83,85,85,85,85
20mm,Far West,Pelagic Trawl,Shokihaze_Goby,TRUE,7,CDFW,6,19,1,18,18,18,19,19,20,20,20,20
20mm,Far West,Pelagic Trawl,Splittail,TRUE,3,CDFW,8,40,48,8,8,8,8,19,44,118,120,121
20mm,Far West,Pelagic Trawl,Splittail,TRUE,4,CDFW,108,34,22,17,18,22,25,32,37,40,132,225
20mm,Far West,Pelagic Trawl,Splittail,TRUE,5,CDFW,61,36,9,19,20,22,30,35,41,50,55,57
20mm,Far West,Pelagic Trawl,Splittail,TRUE,6,CDFW,50,45,12,31,31,32,37,42,50,67,84,89
20mm,Far West,Pelagic Trawl,Splittail,TRUE,7,CDFW,4,59,23,28,29,32,48,64,75,79,80,80
20mm,Far West,Pelagic Trawl,Starry_Flounder,TRUE,3,CDFW,18,56,80,8,8,8,9,22,24,220,241,246
20mm,Far West,Pelagic Trawl,Starry_Flounder,TRUE,4,CDFW,35,32,77,8,8,8,8,9,9,237,311,335
20mm,Far West,Pelagic Trawl,Starry_Flounder,TRUE,5,CDFW,13,31,12,10,10,10,20,34,41,42,42,42
20mm,Far West,Pelagic Trawl,Starry_Flounder,TRUE,6,CDFW,16,54,37,30,32,38,40,48,50,89,171,191
20mm,Far West,Pelagic Trawl,Starry_Flounder,TRUE,7,CDFW,4,114,76,72,72,73,76,78,116,205,223,227
20mm,Far West,Pelagic Trawl,Striped_Bass,TRUE,3,CDFW,25,115,26,72,75,85,95,113,131,148,184,195
20mm,Far West,Pelagic Trawl,Striped_Bass,TRUE,4,CDFW,141,35,54,3,4,5,6,8,10,142,200,265
20mm,Far West,Pelagic Trawl,Striped_Bass,TRUE,5,CDFW,1879,12,15,4,5,6,8,10,13,18,31,470
20mm,Far West,Pelagic Trawl,Striped_Bass,TRUE,6,CDFW,2052,15,9,4,5,6,9,13,17,29,44,159
20mm,Far West,Pelagic Trawl,Striped_Bass,TRUE,7,CDFW,88,29,30,7,8,9,12,19,37,54,106,260
20mm,Far West,Pelagic Trawl,Threadfin_Shad,TRUE,3,CDFW,3,83,19,66,66,67,72,79,91,101,103,103
20mm,Far West,Pelagic Trawl,Threadfin_Shad,TRUE,4,CDFW,16,24,31,5,5,5,6,8,23,79,88,90
20mm,Far West,Pelagic Trawl,Threadfin_Shad,TRUE,5,CDFW,74,9,3,4,4,5,7,9,12,16,18,18
20mm,Far West,Pelagic Trawl,Threadfin_Shad,TRUE,6,CDFW,206,10,3,3,4,5,8,10,12,16,19,23
20mm,Far West,Pelagic Trawl,Threadfin_Shad,TRUE,7,CDFW,6,9,1,8,8,8,8,8,9,10,11,11
20mm,Far West,Pelagic Trawl,Topsmelt,TRUE,3,CDFW,22,16,14,10,10,10,12,13,15,20,66,78
20mm,Far West,Pelagic Trawl,Topsmelt,TRUE,4,CDFW,21,19,17,8,8,10,11,13,15,57,63,64
20mm,Far West,Pelagic Trawl,Topsmelt,TRUE,5,CDFW,68,15,5,4,7,9,12,14,16,26,29,32
20mm,Far West,Pelagic Trawl,Topsmelt,TRUE,6,CDFW,260,12,11,5,5,5,7,10,12,30,54,105
20mm,Far West,Pelagic Trawl,Topsmelt,TRUE,7,CDFW,22,16,8,8,8,8,9,13,20,33,36,37
20mm,Far West,Pelagic Trawl,Tridentiger_Spp.,TRUE,4,CDFW,620,7,3,2,3,3,4,6,9,12,13,13
20mm,Far West,Pelagic Trawl,Tridentiger_Spp.,TRUE,5,CDFW,12464,10,3,2,3,4,7,10,12,15,16,22
20mm,Far West,Pelagic Trawl,Tridentiger_Spp.,TRUE,6,CDFW,61619,11,4,2,3,5,8,11,14,17,20,22
20mm,Far West,Pelagic Trawl,Tridentiger_Spp.,TRUE,7,CDFW,18462,11,4,2,2,4,8,11,14,17,19,21
20mm,Far West,Pelagic Trawl,White_Sturgeon,TRUE,3,CDFW,3,13,1,13,13,13,13,13,14,14,14,14
20mm,Far West,Pelagic Trawl,White_Sturgeon,TRUE,4,CDFW,5,163,334,13,13,13,13,14,14,611,730,760
20mm,West,Pelagic Trawl,American_Shad,TRUE,3,CDFW,4,94,6,86,86,87,92,96,98,99,99,99
20mm,West,Pelagic Trawl,American_Shad,TRUE,4,CDFW,7,67,54,8,8,9,10,103,110,115,117,117
20mm,West,Pelagic Trawl,American_Shad,TRUE,5,CDFW,64,13,16,5,6,7,9,10,13,18,63,137
20mm,West,Pelagic Trawl,American_Shad,TRUE,6,CDFW,531,18,7,6,8,9,12,16,22,31,36,41
20mm,West,Pelagic Trawl,American_Shad,TRUE,7,CDFW,323,28,8,8,9,16,23,28,34,40,47,51
20mm,West,Pelagic Trawl,Chinook_Salmon,TRUE,3,CDFW,23,42,13,30,31,33,36,38,40,77,81,81
20mm,West,Pelagic Trawl,Chinook_Salmon,TRUE,4,CDFW,44,77,24,36,36,36,73,80,94,108,114,117
20mm,West,Pelagic Trawl,Chinook_Salmon,TRUE,5,CDFW,45,80,11,45,54,67,76,80,86,92,107,119
20mm,West,Pelagic Trawl,Chinook_Salmon,TRUE,6,CDFW,5,75,9,68,68,68,69,73,78,87,89,89
20mm,West,Pelagic Trawl,Delta_Smelt,TRUE,3,CDFW,81,33,31,5,5,5,6,8,68,74,75,77
20mm,West,Pelagic Trawl,Delta_Smelt,TRUE,4,CDFW,201,17,16,5,6,6,9,13,16,68,74,82
20mm,West,Pelagic Trawl,Delta_Smelt,TRUE,5,CDFW,618,19,8,5,6,8,14,18,24,31,37,77
20mm,West,Pelagic Trawl,Delta_Smelt,TRUE,6,CDFW,902,29,11,7,9,12,20,28,36,46,52,88
20mm,West,Pelagic Trawl,Delta_Smelt,TRUE,7,CDFW,255,34,11,8,12,16,25,33,43,51,55,71
20mm,West,Pelagic Trawl,Inland_Silverside,TRUE,3,CDFW,9,67,11,47,48,51,61,67,76,79,79,79
20mm,West,Pelagic Trawl,Inland_Silverside,TRUE,4,CDFW,7,62,27,20,21,24,48,63,80,94,96,96
20mm,West,Pelagic Trawl,Inland_Silverside,TRUE,5,CDFW,11,21,25,5,5,5,5,10,30,66,68,68
20mm,West,Pelagic Trawl,Inland_Silverside,TRUE,6,CDFW,13,48,25,12,12,12,32,58,68,80,81,81
20mm,West,Pelagic Trawl,Inland_Silverside,TRUE,7,CDFW,10,48,25,15,16,18,31,38,68,83,88,89
20mm,West,Pelagic Trawl,Longfin_Smelt,TRUE,3,CDFW,11804,15,6,4,6,7,11,15,19,25,29,110
20mm,West,Pelagic Trawl,Longfin_Smelt,TRUE,4,CDFW,24027,19,6,5,7,9,14,18,23,29,33,71
20mm,West,Pelagic Trawl,Longfin_Smelt,TRUE,5,CDFW,8389,24,6,3,10,15,20,25,28,33,37,45
20mm,West,Pelagic Trawl,Longfin_Smelt,TRUE,6,CDFW,1157,29,5,6,17,21,25,29,32,36,40,97
20mm,West,Pelagic Trawl,Longfin_Smelt,TRUE,7,CDFW,38,31,5,13,17,25,27,31,34,38,38,38
20mm,West,Pelagic Trawl,Northern_Anchovy,TRUE,3,CDFW,48,25,9,4,5,7,21,28,32,37,38,39
20mm,West,Pelagic Trawl,Northern_Anchovy,TRUE,4,CDFW,106,27,12,5,6,7,17,28,34,45,50,60
20mm,West,Pelagic Trawl,Northern_Anchovy,TRUE,5,CDFW,323,24,13,4,4,6,15,24,31,51,63,71
20mm,West,Pelagic Trawl,Northern_Anchovy,TRUE,6,CDFW,980,17,12,3,4,5,9,14,21,38,62,80
20mm,West,Pelagic Trawl,Northern_Anchovy,TRUE,7,CDFW,895,16,9,4,4,6,10,14,20,33,58,67
20mm,West,Pelagic Trawl,Pacific_Herring,TRUE,3,CDFW,9982,18,7,5,9,9,13,17,22,34,36,50
20mm,West,Pelagic Trawl,Pacific_Herring,TRUE,4,CDFW,4959,22,7,6,9,12,17,21,27,35,41,53
20mm,West,Pelagic Trawl,Pacific_Herring,TRUE,5,CDFW,779,30,8,8,12,19,25,30,35,44,48,57
20mm,West,Pelagic Trawl,Pacific_Herring,TRUE,6,CDFW,72,30,12,5,7,9,26,32,37,46,49,50
20mm,West,Pelagic Trawl,Pacific_Herring,TRUE,7,CDFW,3,18,6,11,11,12,16,20,21,22,22,22
20mm,West,Pelagic Trawl,Shimofuri_Goby,TRUE,3,CDFW,19,67,14,41,44,54,56,63,73,90,92,93
20mm,West,Pelagic Trawl,Shimofuri_Goby,TRUE,4,CDFW,29,58,16,4,13,40,51,59,63,83,83,83
20mm,West,Pelagic Trawl,Shimofuri_Goby,TRUE,5,CDFW,21,64,14,45,45,45,56,65,72,85,94,96
20mm,West,Pelagic Trawl,Shimofuri_Goby,TRUE,6,CDFW,22,41,26,13,13,15,15,40,66,80,80,80
20mm,West,Pelagic Trawl,Shimofuri_Goby,TRUE,7,CDFW,54,19,8,13,14,14,15,16,19,33,51,57
20mm,West,Pelagic Trawl,Shokihaze_Goby,TRUE,3,CDFW,17,52,15,26,28,35,43,45,65,75,76,76
20mm,West,Pelagic Trawl,Shokihaze_Goby,TRUE,4,CDFW,14,59,23,28,29,33,44,54,68,93,115,120
20mm,West,Pelagic Trawl,Shokihaze_Goby,TRUE,5,CDFW,6,80,24,32,35,45,85,88,92,94,95,95
20mm,West,Pelagic Trawl,Shokihaze_Goby,TRUE,6,CDFW,120,23,13,13,14,17,18,19,21,60,72,80
20mm,West,Pelagic Trawl,Shokihaze_Goby,TRUE,7,CDFW,133,19,5,15,15,15,17,18,20,27,28,61
20mm,West,Pelagic Trawl,Splittail,TRUE,3,CDFW,7,57,59,8,8,9,10,12,114,128,129,129
20mm,West,Pelagic Trawl,Splittail,TRUE,4,CDFW,15,28,53,9,9,9,10,12,16,86,193,220
20mm,West,Pelagic Trawl,Splittail,TRUE,5,CDFW,60,37,12,9,10,16,28,36,44,55,63,64
20mm,West,Pelagic Trawl,Splittail,TRUE,6,CDFW,85,46,39,15,19,24,33,38,46,68,274,295
20mm,West,Pelagic Trawl,Splittail,TRUE,7,CDFW,14,49,16,33,33,33,40,44,54,77,88,91
20mm,West,Pelagic Trawl,Starry_Flounder,TRUE,3,CDFW,21,30,63,6,6,8,8,9,10,103,245,280
20mm,West,Pelagic Trawl,Starry_Flounder,TRUE,4,CDFW,49,12,20,7,7,8,8,9,9,12,86,152
20mm,West,Pelagic Trawl,Starry_Flounder,TRUE,5,CDFW,36,28,21,8,8,8,10,24,36,53,95,115
20mm,West,Pelagic Trawl,Starry_Flounder,TRUE,6,CDFW,18,48,33,14,17,28,33,39,50,79,154,173
20mm,West,Pelagic Trawl,Starry_Flounder,TRUE,7,CDFW,8,76,61,31,32,35,44,58,74,174,212,222
20mm,West,Pelagic Trawl,Striped_Bass,TRUE,3,CDFW,40,106,53,5,5,7,84,101,120,221,268,290
20mm,West,Pelagic Trawl,Striped_Bass,TRUE,4,CDFW,2449,10,18,3,3,4,6,7,9,13,130,275
20mm,West,Pelagic Trawl,Striped_Bass,TRUE,5,CDFW,14434,11,8,3,4,5,7,10,13,18,25,220
20mm,West,Pelagic Trawl,Striped_Bass,TRUE,6,CDFW,16345,15,10,3,5,6,10,13,19,30,38,323
20mm,West,Pelagic Trawl,Striped_Bass,TRUE,7,CDFW,2859,18,11,3,6,7,11,15,23,40,54,163
20mm,West,Pelagic Trawl,Threadfin_Shad,TRUE,3,CDFW,5,84,19,55,56,59,76,90,96,102,103,103
20mm,West,Pelagic Trawl,Threadfin_Shad,TRUE,4,CDFW,11,20,30,5,5,5,6,7,9,82,82,82
20mm,West,Pelagic Trawl,Threadfin_Shad,TRUE,5,CDFW,193,10,7,5,5,5,7,9,11,14,26,78
20mm,West,Pelagic Trawl,Threadfin_Shad,TRUE,6,CDFW,553,11,5,4,4,5,8,10,13,17,24,43
20mm,West,Pelagic Trawl,Threadfin_Shad,TRUE,7,CDFW,345,13,5,4,5,6,9,12,15,23,29,35
20mm,West,Pelagic Trawl,Topsmelt,TRUE,3,CDFW,4,10,1,10,10,10,10,10,11,11,11,11
20mm,West,Pelagic Trawl,Topsmelt,TRUE,4,CDFW,16,18,14,10,10,10,11,13,21,37,61,67
20mm,West,Pelagic Trawl,Topsmelt,TRUE,5,CDFW,7,12,1,10,10,10,11,13,13,13,13,13
20mm,West,Pelagic Trawl,Topsmelt,TRUE,6,CDFW,19,18,17,10,10,10,11,11,16,50,70,75
20mm,West,Pelagic Trawl,Topsmelt,TRUE,7,CDFW,28,18,8,9,9,10,12,16,19,34,43,46
20mm,West,Pelagic Trawl,Tridentiger_Spp.,TRUE,3,CDFW,2,4,1,3,3,3,3,4,4,4,4,4
20mm,West,Pelagic Trawl,Tridentiger_Spp.,TRUE,4,CDFW,77,5,4,3,3,3,3,4,5,7,22,37
20mm,West,Pelagic Trawl,Tridentiger_Spp.,TRUE,5,CDFW,2610,9,3,3,3,4,6,9,11,14,15,16
20mm,West,Pelagic Trawl,Tridentiger_Spp.,TRUE,6,CDFW,32405,10,4,1,3,4,7,10,13,16,17,31
20mm,West,Pelagic Trawl,Tridentiger_Spp.,TRUE,7,CDFW,26405,11,4,2,3,4,8,11,14,17,19,32
20mm,West,Pelagic Trawl,White_Catfish,TRUE,3,CDFW,15,84,47,42,43,45,51,63,108,173,175,175
20mm,West,Pelagic Trawl,White_Catfish,TRUE,4,CDFW,18,84,46,50,50,52,56,60,100,181,183,184
20mm,West,Pelagic Trawl,White_Catfish,TRUE,5,CDFW,21,71,45,47,47,49,55,61,70,81,228,265
20mm,West,Pelagic Trawl,White_Catfish,TRUE,6,CDFW,38,53,40,10,11,13,16,54,79,107,154,180
20mm,West,Pelagic Trawl,White_Catfish,TRUE,7,CDFW,28,39,53,11,11,12,15,16,20,147,211,232
20mm,West,Pelagic Trawl,White_Sturgeon,TRUE,3,CDFW,71,20,61,10,10,10,12,13,14,15,170,530
20mm,West,Pelagic Trawl,White_Sturgeon,TRUE,4,CDFW,24,51,128,11,11,11,13,13,14,360,489,510
20mm,North,Pelagic Trawl,American_Shad,TRUE,4,CDFW,14,20,24,9,9,9,10,15,16,48,91,102
20mm,North,Pelagic Trawl,American_Shad,TRUE,5,CDFW,119,14,4,6,7,8,11,13,16,21,23,23
20mm,North,Pelagic Trawl,American_Shad,TRUE,6,CDFW,749,17,6,5,6,9,13,16,20,26,36,44
20mm,North,Pelagic Trawl,American_Shad,TRUE,7,CDFW,437,23,9,6,9,12,16,21,28,40,47,60
20mm,North,Pelagic Trawl,Chinook_Salmon,TRUE,3,CDFW,15,45,10,32,33,35,38,45,51,61,67,69
20mm,North,Pelagic Trawl,Chinook_Salmon,TRUE,4,CDFW,10,78,42,35,35,36,46,76,88,144,173,180
20mm,North,Pelagic Trawl,Chinook_Salmon,TRUE,5,CDFW,5,83,1,82,82,82,82,82,83,84,84,84
20mm,North,Pelagic Trawl,Delta_Smelt,TRUE,3,CDFW,37,30,29,5,5,5,7,14,67,71,74,76
20mm,North,Pelagic Trawl,Delta_Smelt,TRUE,4,CDFW,225,18,13,6,6,8,12,15,19,65,74,76
20mm,North,Pelagic Trawl,Delta_Smelt,TRUE,5,CDFW,536,21,7,6,7,11,16,21,25,31,35,71
20mm,North,Pelagic Trawl,Delta_Smelt,TRUE,6,CDFW,467,27,10,6,11,13,20,25,32,44,56,88
20mm,North,Pelagic Trawl,Delta_Smelt,TRUE,7,CDFW,51,31,10,16,16,18,24,31,38,48,56,58
20mm,North,Pelagic Trawl,Inland_Silverside,TRUE,3,CDFW,4,56,9,49,49,49,50,54,60,67,69,69
20mm,North,Pelagic Trawl,Inland_Silverside,TRUE,4,CDFW,9,60,21,9,13,27,58,65,71,78,81,82
20mm,North,Pelagic Trawl,Inland_Silverside,TRUE,5,CDFW,5,29,31,5,5,5,5,10,57,65,67,67
20mm,North,Pelagic Trawl,Inland_Silverside,TRUE,6,CDFW,102,24,14,6,8,10,16,21,27,49,80,95
20mm,North,Pelagic Trawl,Inland_Silverside,TRUE,7,CDFW,51,21,9,12,12,13,15,19,23,38,52,60
20mm,North,Pelagic Trawl,Longfin_Smelt,TRUE,3,CDFW,461,14,4,5,6,7,11,14,17,21,24,28
20mm,North,Pelagic Trawl,Longfin_Smelt,TRUE,4,CDFW,440,19,7,6,6,8,14,19,24,30,35,40
20mm,North,Pelagic Trawl,Longfin_Smelt,TRUE,5,CDFW,93,26,9,8,8,13,20,25,32,41,45,47
20mm,North,Pelagic Trawl,Longfin_Smelt,TRUE,6,CDFW,8,34,15,10,11,14,25,34,46,51,53,53
20mm,North,Pelagic Trawl,Pacific_Herring,TRUE,3,CDFW,17,14,4,10,10,10,11,13,15,22,22,22
20mm,North,Pelagic Trawl,Pacific_Herring,TRUE,5,CDFW,2,27,8,21,21,22,24,27,30,32,33,33
20mm,North,Pelagic Trawl,Shimofuri_Goby,TRUE,3,CDFW,22,57,17,37,38,40,44,52,61,90,96,98
20mm,North,Pelagic Trawl,Shimofuri_Goby,TRUE,4,CDFW,5,55,3,53,53,53,53,54,55,59,60,60
20mm,North,Pelagic Trawl,Shimofuri_Goby,TRUE,5,CDFW,8,60,12,43,43,45,51,56,70,76,77,77
20mm,North,Pelagic Trawl,Shimofuri_Goby,TRUE,6,CDFW,12,38,26,3,4,8,15,32,64,70,70,70
20mm,North,Pelagic Trawl,Shimofuri_Goby,TRUE,7,CDFW,33,17,9,10,10,10,13,15,18,27,49,57
20mm,North,Pelagic Trawl,Shokihaze_Goby,TRUE,3,CDFW,2,62,12,53,53,54,57,62,66,69,70,70
20mm,North,Pelagic Trawl,Shokihaze_Goby,TRUE,5,CDFW,3,69,4,64,64,65,67,70,71,72,72,72
20mm,North,Pelagic Trawl,Splittail,TRUE,3,CDFW,7,10,3,8,8,8,8,8,11,14,14,14
20mm,North,Pelagic Trawl,Splittail,TRUE,4,CDFW,44,21,6,10,10,11,16,23,26,30,30,30
20mm,North,Pelagic Trawl,Splittail,TRUE,5,CDFW,104,25,8,14,14,16,18,24,29,44,50,51
20mm,North,Pelagic Trawl,Splittail,TRUE,6,CDFW,43,28,11,13,13,14,18,28,37,45,56,61
20mm,North,Pelagic Trawl,Splittail,TRUE,7,CDFW,9,50,17,26,26,28,37,51,64,73,77,78
20mm,North,Pelagic Trawl,Starry_Flounder,TRUE,3,CDFW,2,68,85,8,9,14,38,68,98,122,127,128
20mm,North,Pelagic Trawl,Starry_Flounder,TRUE,4,CDFW,4,8,0,8,8,8,8,8,8,9,9,9
20mm,North,Pelagic Trawl,Striped_Bass,TRUE,3,CDFW,4,73,79,4,4,4,6,73,140,142,142,142
20mm,North,Pelagic Trawl,Striped_Bass,TRUE,4,CDFW,692,7,3,3,4,4,5,6,9,12,14,15
20mm,North,Pelagic Trawl,Striped_Bass,TRUE,5,CDFW,3434,10,4,3,4,5,6,9,12,17,20,30
20mm,North,Pelagic Trawl,Striped_Bass,TRUE,6,CDFW,4317,13,8,3,5,5,8,12,17,26,37,280
20mm,North,Pelagic Trawl,Striped_Bass,TRUE,7,CDFW,506,17,11,3,5,6,10,13,20,38,48,129
20mm,North,Pelagic Trawl,Threadfin_Shad,TRUE,3,CDFW,14,66,11,50,50,52,58,65,74,82,86,87
20mm,North,Pelagic Trawl,Threadfin_Shad,TRUE,4,CDFW,68,9,8,5,5,5,6,8,10,13,33,75
20mm,North,Pelagic Trawl,Threadfin_Shad,TRUE,5,CDFW,1449,10,4,4,4,5,7,10,13,17,19,82
20mm,North,Pelagic Trawl,Threadfin_Shad,TRUE,6,CDFW,2574,13,5,4,5,5,9,13,16,21,23,90
20mm,North,Pelagic Trawl,Threadfin_Shad,TRUE,7,CDFW,1999,12,5,4,4,5,9,12,16,20,26,38
20mm,North,Pelagic Trawl,Tridentiger_Spp.,TRUE,4,CDFW,25,5,2,3,3,3,4,5,7,8,8,8
20mm,North,Pelagic Trawl,Tridentiger_Spp.,TRUE,5,CDFW,1504,10,4,3,3,4,7,9,12,16,17,18
20mm,North,Pelagic Trawl,Tridentiger_Spp.,TRUE,6,CDFW,9027,11,4,3,4,5,8,11,14,17,18,23
20mm,North,Pelagic Trawl,Tridentiger_Spp.,TRUE,7,CDFW,5517,11,4,3,4,5,8,11,14,17,19,24
20mm,North,Pelagic Trawl,White_Catfish,TRUE,3,CDFW,125,95,45,36,46,50,66,77,115,194,213,222
20mm,North,Pelagic Trawl,White_Catfish,TRUE,4,CDFW,20,121,67,34,36,42,62,126,160,231,246,250
20mm,North,Pelagic Trawl,White_Catfish,TRUE,5,CDFW,24,98,67,45,46,48,54,70,115,250,267,270
20mm,North,Pelagic Trawl,White_Catfish,TRUE,6,CDFW,136,41,54,12,12,13,15,16,21,153,237,260
20mm,North,Pelagic Trawl,White_Catfish,TRUE,7,CDFW,96,24,24,5,7,13,16,17,20,99,130,130
20mm,North,Pelagic Trawl,White_Sturgeon,TRUE,3,CDFW,55,12,2,9,9,10,11,12,12,14,17,19
20mm,North,Pelagic Trawl,White_Sturgeon,TRUE,4,CDFW,23,12,2,10,10,10,11,12,13,15,20,21
20mm,North,Pelagic Trawl,White_Sturgeon,TRUE,5,CDFW,3,11,1,10,10,10,10,11,12,12,12,12
20mm,South,Pelagic Trawl,American_Shad,TRUE,5,CDFW,20,17,5,10,10,10,13,17,19,26,28,28
20mm,South,Pelagic Trawl,American_Shad,TRUE,6,CDFW,260,15,5,6,7,8,12,14,18,23,33,43
20mm,South,Pelagic Trawl,American_Shad,TRUE,7,CDFW,103,14,4,8,8,9,12,14,17,20,22,30
20mm,South,Pelagic Trawl,Chinook_Salmon,TRUE,3,CDFW,2,37,3,35,35,35,36,37,38,39,39,39
20mm,South,Pelagic Trawl,Chinook_Salmon,TRUE,4,CDFW,4,84,6,77,77,78,81,85,88,89,89,89
20mm,South,Pelagic Trawl,Delta_Smelt,TRUE,3,CDFW,21,14,18,6,6,6,7,8,10,66,69,70
20mm,South,Pelagic Trawl,Delta_Smelt,TRUE,4,CDFW,171,12,3,6,6,7,9,12,14,17,19,22
20mm,South,Pelagic Trawl,Delta_Smelt,TRUE,5,CDFW,162,18,6,7,7,8,13,19,23,26,30,32
