Site_Id,Species,Fish_Length,Clipped
TPS0470.2020,American_Shad,83,
TPS0470.2020,American_Shad,80,
TPS0133.2018,American_Shad,126,
TPS0469.2020,American_Shad,83,
TPS0469.2020,American_Shad,85,
TPS0469.2020,American_Shad,97,
TPS0744.2020,American_Shad,104,
TPS0744.2020,American_Shad,100,
TPS0310.2019,American_Shad,88,
TPS0137.2018,American_Shad,80,
TPS0465.2020,American_Shad,87,
TPS0465.2020,American_Shad,87,
TPS0465.2020,American_Shad,86,
TPS0465.2020,American_Shad,88,
TPS0137.2018,American_Shad,90,
TPS0137.2018,American_Shad,90,
TPS0403.2019,American_Shad,86,
TPS0077.2018,American_Shad,91,
TPS0403.2019,American_Shad,90,
TPS0403.2019,American_Shad,91,
TPS0403.2019,American_Shad,95,
TPS0403.2019,American_Shad,101,
TPS0403.2019,American_Shad,107,
TPS0192.2018,American_Shad,112,
TPS0192.2018,American_Shad,120,
TPS0307.2019,American_Shad,111,
TPS0141.2018,American_Shad,95,
TPS0456.2020,American_Shad,90,
TPS0437.2020,American_Shad,91,
TPS0437.2020,American_Shad,86,
TPS0437.2020,American_Shad,78,
TPS0437.2020,American_Shad,84,
TPS0437.2020,American_Shad,86,
TPS0437.2020,American_Shad,102,
TPS0437.2020,American_Shad,91,
TPS0437.2020,American_Shad,95,
TPS1913.2020,American_Shad,93,
TPS0437.2020,American_Shad,52,
TPS0409.2019,American_Shad,121,
TPS0463.2019,American_Shad,108,
TPS0463.2019,American_Shad,113,
TPS0437.2020,American_Shad,98,
TPS0463.2019,American_Shad,122,
TPS0463.2019,American_Shad,124,
TPS0466.2019,American_Shad,129,
TPS0466.2019,American_Shad,137,
TPS0469.2019,American_Shad,101,
TPS0490.2019,American_Shad,111,
TPS0496.2019,American_Shad,103,
TPS0496.2019,American_Shad,124,
TPS0496.2019,American_Shad,128,
TPS0187.2019,American_Shad,86,
TPS0693.2020,American_Shad,96,
TPS0143.2018,American_Shad,84,
TPS0556.2019,American_Shad,129,
TPS0559.2019,American_Shad,126,
TPS0559.2019,American_Shad,133,
TPS0143.2018,American_Shad,90,
TPS0307.2019,American_Shad,108,
TPS0307.2019,American_Shad,102,
TPS0435.2020,American_Shad,88,
TPS0435.2020,American_Shad,89,
TPS0307.2019,American_Shad,100,
TPS0427.2020b,American_Shad,87,
TPS0427.2020b,American_Shad,86,
TPS0427.2020b,American_Shad,85,
TPS0421.2020,American_Shad,85,
TPS0421.2020,American_Shad,82,
TPS0421.2020,American_Shad,54,
TPS0421.2020,American_Shad,111,
TPS0198.2018,American_Shad,115,
TPS0307.2019,American_Shad,98,
TPS0232.2019,American_Shad,117,
TPS0307.2019,American_Shad,85,
TPS0232.2019,American_Shad,113,
TPS0286.2019,American_Shad,85,
TPS0691.2020,American_Shad,100,
TPS0145.2018,American_Shad,83,
TPS0420.2020,American_Shad,86,
TPS0420.2020,American_Shad,75,
TPS0420.2020,American_Shad,85,
TPS0420.2020,American_Shad,64,
TPS0420.2020,American_Shad,81,
TPS0420.2020,American_Shad,91,
TPS0420.2020,American_Shad,83,
TPS0145.2018,American_Shad,88,
TPS0145.2018,American_Shad,93,
TPS0145.2018,American_Shad,96,
TPS0145.2018,American_Shad,97,
TPS0400.2020,American_Shad,85,
TPS0400.2020,American_Shad,78,
TPS0400.2020,American_Shad,80,
TPS0400.2020,American_Shad,81,
TPS0400.2020,American_Shad,86,
TPS0400.2020,American_Shad,80,
TPS0400.2020,American_Shad,84,
TPS0400.2020,American_Shad,92,
TPS0199.2018,American_Shad,126,
TPS0562.2019,American_Shad,124,
TPS0400.2020,American_Shad,88,
TPS0400.2020,American_Shad,91,
TPS0691.2020,American_Shad,105,
TPS0691.2020,American_Shad,96,
TPS0691.2020,American_Shad,95,
TPS0691.2020,American_Shad,94,
TPS0691.2020,American_Shad,90,
TPS0691.2020,American_Shad,90,
TPS0362.2020,American_Shad,94,
TPS0362.2020,American_Shad,103,
TPS0362.2020,American_Shad,85,
TPS0691.2020,American_Shad,93,
TPS0691.2020,American_Shad,92,
TPS0691.2020,American_Shad,95,
TPS0690.2020,American_Shad,90,
TPS0356.2020,American_Shad,58,
TPS0356.2020,American_Shad,68,
TPS0210.2018,American_Shad,127,
TPS0688.2020,American_Shad,91,
TPS0688.2020,American_Shad,97,
TPS0571.2019,American_Shad,125,
TPS0172.2019,American_Shad,108,
TPS0356.2020,American_Shad,81,
TPS0356.2020,American_Shad,78,
TPS0356.2020,American_Shad,81,
TPS0356.2020,American_Shad,93,
TPS0356.2020,American_Shad,86,
TPS0356.2020,American_Shad,92,
TPS0356.2020,American_Shad,80,
TPS0356.2020,American_Shad,85,
TPS0301.2019,American_Shad,123,
TPS0355.2020,American_Shad,90,
TPS0355.2020,American_Shad,85,
TPS0172.2019,American_Shad,105,
TPS0687.2020,American_Shad,84,
TPS0687.2020,American_Shad,80,
TPS0351.2020,American_Shad,95,
TPS0351.2020,American_Shad,81,
TPS0351.2020,American_Shad,83,
TPS0687.2020,American_Shad,84,
TPS0146.2018,American_Shad,101,
TPS0301.2019,American_Shad,110,
TPS0686.2020,American_Shad,101,
TPS0686.2020,American_Shad,97,
TPS0351.2020,American_Shad,78,
TPS0351.2020,American_Shad,89,
TPS0351.2020,American_Shad,80,
TPS0351.2020,American_Shad,80,
TPS0351.2020,American_Shad,80,
TPS0351.2020,American_Shad,82,
TPS0351.2020,American_Shad,78,
TPS0686.2020,American_Shad,96,
TPS0324.2020,American_Shad,85,
TPS0318.2020,American_Shad,60,
TPS0318.2020,American_Shad,87,
TPS0318.2020,American_Shad,56,
TPS0686.2020,American_Shad,94,
TPS0686.2020,American_Shad,108,
TPS0686.2020,American_Shad,99,
TPS0686.2020,American_Shad,111,
TPS0317.2020,American_Shad,85,
TPS0317.2020,American_Shad,85,
TPS0317.2020,American_Shad,95,
TPS0317.2020,American_Shad,90,
TPS0317.2020,American_Shad,95,
TPS0317.2020,American_Shad,90,
TPS0317.2020,American_Shad,90,
TPS0317.2020,American_Shad,80,
TPS0317.2020,American_Shad,75,
TPS0317.2020,American_Shad,85,
TPS0686.2020,American_Shad,89,
TPS0686.2020,American_Shad,84,
TPS0311.2020,American_Shad,96,
TPS0311.2020,American_Shad,85,
TPS0311.2020,American_Shad,78,
TPS0311.2020,American_Shad,90,
TPS0311.2020,American_Shad,85,
TPS0311.2020,American_Shad,90,
TPS0311.2020,American_Shad,85,
TPS0311.2020,American_Shad,83,
TPS0311.2020,American_Shad,85,
TPS0311.2020,American_Shad,85,
TPS0310.2020,American_Shad,75,
TPS0298.2020,American_Shad,89,
TPS0289.2020,American_Shad,80,
TPS0686.2020,American_Shad,96,
TPS0172.2019,American_Shad,105,
TPS0172.2019,American_Shad,105,
TPS0172.2019,American_Shad,99,
TPS0301.2019,American_Shad,97,
TPS0301.2019,American_Shad,95,
TPS0301.2019,American_Shad,88,
TPS0215.2018,American_Shad,133,
TPS0301.2019,American_Shad,88,
TPS0301.2019,American_Shad,82,
TPS0301.2019,American_Shad,65,
TPS0253.2020,American_Shad,95,
TPS0147.2018,American_Shad,91,
TPS0147.2018,American_Shad,94,
TPS1911.2020,American_Shad,81,
TPS1911.2020,American_Shad,110,
TPS0683.2020,American_Shad,77,
TPS1902.2020,American_Shad,87,
TPS1902.2020,American_Shad,85,
TPS0082.2018,American_Shad,80,
TPS0373.2019,American_Shad,95,
TPS0251.2020,American_Shad,78,
TPS0251.2020,American_Shad,89,
TPS0251.2020,American_Shad,77,
TPS0251.2020,American_Shad,95,
TPS0251.2020,American_Shad,92,
TPS0251.2020,American_Shad,85,
TPS0251.2020,American_Shad,82,
TPS0251.2020,American_Shad,91,
TPS0251.2020,American_Shad,98,
TPS0251.2020,American_Shad,74,
TPS0373.2019,American_Shad,95,
TPS0249.2020,American_Shad,95,
TPS0249.2020,American_Shad,100,
TPS0248.2020,American_Shad,81,
TPS0248.2020,American_Shad,91,
TPS0248.2020,American_Shad,79,
TPS0248.2020,American_Shad,88,
TPS0248.2020,American_Shad,116,
TPS0247.2020,American_Shad,81,
TPS0238.2019,American_Shad,109,
TPS0084.2018,American_Shad,88,
TPS0084.2018,American_Shad,91,
TPS0229.2019,American_Shad,102,
TPS0677.2020,American_Shad,100,
TPS0245.2020,American_Shad,84,
TPS0245.2020,American_Shad,83,
TPS0245.2020,American_Shad,87,
TPS0245.2020,American_Shad,88,
TPS0245.2020,American_Shad,86,
TPS0245.2020,American_Shad,82,
TPS0245.2020,American_Shad,71,
TPS0245.2020,American_Shad,85,
TPS0245.2020,American_Shad,90,
TPS0677.2020,American_Shad,73,
TPS0676.2020,American_Shad,91,
TPS0655.2020,American_Shad,91,
TPS0084.2018,American_Shad,92,
TPS0245.2020,American_Shad,87,
TPS0571.2019,American_Shad,129,
TPS0571.2019,American_Shad,137,
TPS0084.2018,American_Shad,97,
TPS0654.2020,American_Shad,62,
TPS0084.2018,American_Shad,107,
TPS0238.2019,American_Shad,114,
TPS0370.2019,American_Shad,95,
TPS0649.2020,American_Shad,90,
TPS0237.2020,American_Shad,94,
TPS0237.2020,American_Shad,75,
TPS0237.2020,American_Shad,83,
TPS0237.2020,American_Shad,82,
TPS0237.2020,American_Shad,88,
TPS0237.2020,American_Shad,86,
TPS0237.2020,American_Shad,92,
TPS0690.2020,American_Shad,94,
TPS0237.2020,American_Shad,86,
TPS0237.2020,American_Shad,88,
TPS0214.2020,American_Shad,79,
TPS0214.2020,American_Shad,98,
TPS0214.2020,American_Shad,105,
TPS0214.2020,American_Shad,94,
TPS0214.2020,American_Shad,93,
TPS0214.2020,American_Shad,108,
TPS0214.2020,American_Shad,88,
TPS0208.2020,American_Shad,87,
TPS0179.2020b,American_Shad,64,
TPS0140.2020,American_Shad,75,
TPS0140.2020,American_Shad,80,
TPS0140.2020,American_Shad,79,
TPS0148.2018,American_Shad,90,
TPS0140.2020,American_Shad,75,
TPS0180.2020b,American_Shad,76,
TPS0169.2019,American_Shad,122,
TPS0180.2020b,American_Shad,74,
TPS0180.2020b,American_Shad,85,
TPS0180.2020b,American_Shad,50,
TPS0180.2020b,American_Shad,85,
TPS0180.2020b,American_Shad,77,
TPS0180.2020b,American_Shad,78,
TPS0179.2020b,American_Shad,88,
TPS0179.2020b,American_Shad,65,
TPS0179.2020b,American_Shad,76,
TPS0179.2020b,American_Shad,80,
TPS0179.2020b,American_Shad,85,
TPS0179.2020a,American_Shad,85,
TPS0143.2020,American_Shad,109,
TPS1771.2018,American_Shad,103,
TPS0140.2020,American_Shad,60,
TPS0140.2020,American_Shad,79,
TPS0140.2020,American_Shad,80,
TPS0140.2020,American_Shad,78,
TPS1891.2018,American_Shad,100,
TPS1891.2018,American_Shad,107,
TPS1891.2018,American_Shad,107,
TPS1891.2018,American_Shad,113,
TPS0140.2020,American_Shad,62,
TPS0140.2020,American_Shad,75,
TPS0138.2020,American_Shad,79,
TPS0595.2019,American_Shad,140,
TPS0136.2020,American_Shad,82,
TPS0138.2020,American_Shad,81,
TPS0619.2020a,American_Shad,103,
TPS0137.2020,American_Shad,76,
TPS0137.2020,American_Shad,94,
TPS0135.2020,American_Shad,74,
TPS0135.2020,American_Shad,77,
TPS0179.2020b,American_Shad,81,
TPS0135.2020,American_Shad,85,
TPS0119.2018,American_Shad,77,
TPS0179.2020b,American_Shad,86,
TPS0582.2020,American_Shad,75,
TPS0582.2020,American_Shad,58,
TPS0595.2019,American_Shad,142,
TPS0010.2019,American_Shad,77,
TPS0013.2019,American_Shad,81,
TPS0013.2019,American_Shad,94,
TPS0126.2020,American_Shad,87,
TPS0016.2019,American_Shad,82,
TPS0582.2020,American_Shad,100,
TPS0582.2020,American_Shad,97,
TPS0582.2020,American_Shad,53,
TPS0582.2020,American_Shad,89,
TPS0150.2018,American_Shad,96,
TPS0582.2020,American_Shad,93,
TPS0582.2020,American_Shad,93,
TPS0582.2020,American_Shad,111,
TPS0029.2020,American_Shad,77,
TPS0582.2020,American_Shad,126,
TPS0581.2020,American_Shad,93,
TPS0814.2019,American_Shad,31,
TPS0814.2019,American_Shad,30,
TPS0811.2019,American_Shad,34,
TPS0028.2019,American_Shad,95,
TPS0060.2018,American_Shad,85,
TPS0179.2020b,American_Shad,81,
TPS0811.2019,American_Shad,32,
TPS0040.2019,American_Shad,78,
TPS0581.2020,American_Shad,97,
TPS0581.2020,American_Shad,99,
TPS0179.2020b,American_Shad,72,
TPS0030.2020,American_Shad,78,
TPS0030.2020,American_Shad,87,
TPS0811.2019,American_Shad,32,
TPS0811.2019,American_Shad,30,
TPS0030.2020,American_Shad,79,
TPS0058.2019,American_Shad,92,
TPS0581.2020,American_Shad,90,
TPS0581.2020,American_Shad,95,
TPS0581.2020,American_Shad,95,
TPS0581.2020,American_Shad,94,
TPS0581.2020,American_Shad,102,
TPS0070.2019,American_Shad,86,
TPS0581.2020,American_Shad,97,
TPS0581.2020,American_Shad,92,
TPS0580.2020,American_Shad,88,
TPS0580.2020,American_Shad,87,
TPS0580.2020,American_Shad,90,
TPS0580.2020,American_Shad,96,
TPS0580.2020,American_Shad,99,
TPS0579.2020,American_Shad,84,
TPS0579.2020,American_Shad,91,
TPS0579.2020,American_Shad,107,
TPS0739.2019,American_Shad,134,
TPS0097.2019,American_Shad,104,
TPS0097.2019,American_Shad,105,
TPS0029.2020,American_Shad,72,
TPS0579.2020,American_Shad,106,
TPS0579.2020,American_Shad,93,
TPS0109.2019,American_Shad,105,
TPS0029.2020,American_Shad,78,
TPS0068.2018,American_Shad,64,
TPS0579.2020,American_Shad,102,
TPS2283.2020,American_Shad,71,
TPS1913.2020,American_Shad,67,
TPS0579.2020,American_Shad,91,
TPS0579.2020,American_Shad,96,
TPS1913.2020,American_Shad,94,
TPS0646.2019,American_Shad,138,
TPS1913.2020,American_Shad,92,
TPS0646.2019,American_Shad,133,
TPS0640.2019,American_Shad,66,
TPS0151.2019,American_Shad,107,
TPS1913.2020,American_Shad,100,
TPS0579.2020,American_Shad,95,
TPS0579.2020,American_Shad,110,
TPS0578.2020,American_Shad,90,
TPS0119.2018,American_Shad,80,
TPS0119.2018,American_Shad,83,
TPS0119.2018,American_Shad,87,
TPS0578.2020,American_Shad,86,
TPS0578.2020,American_Shad,99,
TPS0157.2018,American_Shad,101,
TPS0578.2020,American_Shad,96,
TPS0577.2020,American_Shad,88,
TPS0119.2018,American_Shad,87,
TPS0576.2020,American_Shad,80,
TPS0576.2020,American_Shad,92,
TPS0160.2018,American_Shad,98,
TPS0160.2018,American_Shad,100,
TPS0160.2018,American_Shad,106,
TPS0161.2018,American_Shad,96,
TPS0119.2018,American_Shad,91,
TPS0119.2018,American_Shad,93,
TPS0126.2020,American_Shad,88,
TPS0162.2018,American_Shad,67,
TPS0162.2018,American_Shad,98,
TPS0162.2018,American_Shad,99,
TPS0162.2018,American_Shad,102,
TPS0162.2018,American_Shad,106,
TPS0576.2020,American_Shad,86,
TPS0576.2020,American_Shad,79,
TPS0229.2019,American_Shad,98,
TPS0226.2019,American_Shad,104,
TPS0575.2020,American_Shad,94,
TPS0575.2020,American_Shad,83,
TPS0575.2020,American_Shad,92,
TPS0214.2019,Black_Bullhead,109,
TPS0730.2020,Black_Bullhead,340,
TPS0601.2019,Black_Bullhead,264,
TPS0388.2019,Black_Crappie,165,
TPS0412.2019,Black_Crappie,190,
TPS0169.2019,Black_Crappie,221,
TPS0556.2019,Black_Crappie,307,
TPS0709.2019,Black_Crappie,185,
TPS0646.2019,Black_Crappie,158,
TPS0559.2019,Black_Crappie,119,
TPS0382.2019,Black_Crappie,155,
TPS0646.2019,Black_Crappie,126,
TPS0568.2020,Black_Crappie,80,
TPS0505.2019,Black_Crappie,77,
TPS0382.2019,Black_Crappie,191,
TPS0730.2020,Bluegill_Sunfish,36,
TPS0007.2019,Bluegill_Sunfish,41,
TPS0673.2019,Bluegill_Sunfish,38,
TPS0505.2019,Bluegill_Sunfish,30,
TPS0166.2019,Bluegill_Sunfish,32,
TPS0166.2019,Bluegill_Sunfish,32,
TPS0730.2020,Bluegill_Sunfish,55,
TPS0730.2020,Bluegill_Sunfish,41,
TPS0601.2019,Bluegill_Sunfish,53,
TPS0730.2020,Bluegill_Sunfish,33,
TPS0073.2019,Bluegill_Sunfish,30,
TPS0073.2019,Bluegill_Sunfish,38,
TPS0001.2019,Bluegill_Sunfish,51,
TPS0244.2020,Bluegill_Sunfish,117,
TPS0166.2019,Bluegill_Sunfish,31,
TPS0244.2020,Bluegill_Sunfish,143,
TPS0166.2019,Bluegill_Sunfish,31,
TPS0472.2019,Bluegill_Sunfish,41,
TPS0236.2020,Brown_Bullhead,270,
TPS0730.2020,Brown_Bullhead,270,
TPS0730.2020,Brown_Bullhead,270,
TPS0237.2020,Brown_Bullhead,267,
TPS0202.2019,Chinook_Salmon,41,No
TPS0199.2019,Chinook_Salmon,40,No
TPS0256.2019,Chinook_Salmon,62,No
TPS0058.2019,Chinook_Salmon,46,No
TPS0187.2019,Chinook_Salmon,101,No
TPS0604.2019,Chinook_Salmon,78,Yes
TPS0685.2020,Chinook_Salmon,102,
TPS0403.2019,Chinook_Salmon,47,No
TPS0403.2019,Chinook_Salmon,48,No
TPS0256.2019,Chinook_Salmon,70,No
TPS0337.2019,Chinook_Salmon,39,No
TPS0403.2019,Chinook_Salmon,49,No
TPS0403.2019,Chinook_Salmon,56,No
TPS0343.2019,Chinook_Salmon,49,No
TPS0175.2019,Chinook_Salmon,41,No
TPS0180.2018,Chinook_Salmon,66,No
TPS1891.2018,Chinook_Salmon,74,No
TPS1891.2018,Chinook_Salmon,86,Yes
TPS1891.2018,Chinook_Salmon,87,Yes
TPS0250.2019,Chinook_Salmon,36,No
TPS0343.2019,Chinook_Salmon,41,No
TPS0256.2019,Chinook_Salmon,30,No
TPS0343.2019,Chinook_Salmon,48,No
TPS0343.2019,Chinook_Salmon,42,No
TPS0478.2019,Chinook_Salmon,83,No
TPS0256.2019,Chinook_Salmon,37,No
TPS0256.2019,Chinook_Salmon,37,No
TPS0256.2019,Chinook_Salmon,37,No
TPS0128.2020,Chinook_Salmon,62,No
TPS0256.2019,Chinook_Salmon,53,No
TPS0256.2019,Chinook_Salmon,54,No
TPS0256.2019,Chinook_Salmon,57,No
TPS0337.2019,Chinook_Salmon,37,No
TPS0265.2019,Chinook_Salmon,32,No
TPS0220.2019,Chinook_Salmon,40,No
TPS0256.2019,Chinook_Salmon,57,No
TPS0265.2019,Chinook_Salmon,34,No
TPS0265.2019,Chinook_Salmon,36,No
TPS0256.2019,Chinook_Salmon,57,No
TPS0265.2019,Chinook_Salmon,39,No
TPS0403.2019,Chinook_Salmon,41,No
TPS9999.2020b,Chinook_Salmon,85,yes
TPS9999.2020a,Chinook_Salmon,91,no
TPS0175.2019,Chinook_Salmon,60,No
TPS0190.2019,Chinook_Salmon,42,No
TPS0304.2019,Chinook_Salmon,36,No
TPS0201.2018,Chinook_Salmon,73,No
TPS0496.2019,Chinook_Salmon,81,No
TPS0502.2019,Chinook_Salmon,68,No
TPS0202.2019,Chinook_Salmon,49,No
TPS0172.2018,Chinook_Salmon,73,No
TPS0733.2019,Chinook_Salmon,86,No
TPS0172.2018,Chinook_Salmon,81,Yes
TPS0724.2019,Chinook_Salmon,79,No
TPS0718.2019,Chinook_Salmon,90,No
TPS0718.2019,Chinook_Salmon,85,No
TPS0718.2019,Chinook_Salmon,71,No
TPS0715.2019,Chinook_Salmon,86,No
TPS0715.2019,Chinook_Salmon,76,No
TPS0388.2019,Chinook_Salmon,50,No
TPS0028.2020,Chinook_Salmon,134,no
TPS0403.2019,Chinook_Salmon,66,No
TPS0379.2019,Chinook_Salmon,42,No
TPS0424.2019,Chinook_Salmon,58,No
TPS0430.2019,Chinook_Salmon,56,No
TPS0604.2019,Chinook_Salmon,83,Yes
TPS0637.2019,Chinook_Salmon,84,No
TPS0631.2019,Chinook_Salmon,87,No
TPS0631.2019,Chinook_Salmon,81,No
TPS0604.2019,Chinook_Salmon,86,Yes
TPS0604.2019,Chinook_Salmon,90,No
TPS0604.2019,Chinook_Salmon,90,Yes
TPS0628.2019,Chinook_Salmon,93,No
TPS0628.2019,Chinook_Salmon,70,No
TPS0262.2019,Chinook_Salmon,40,No
TPS0604.2019,Chinook_Salmon,93,Yes
TPS0619.2019,Chinook_Salmon,81,No
TPS0604.2019,Chinook_Salmon,93,Yes
TPS0613.2019,Chinook_Salmon,88,No
TPS0166.2019,Chinook_Salmon,41,No
TPS0154.2018,Chinook_Salmon,78,No
TPS0516.2020b,Chinook_Salmon,43,No
TPS0510.2020,Chinook_Salmon,113,no
TPS0367.2019,Chinook_Salmon,44,No
TPS0367.2019,Chinook_Salmon,36,No
TPS0157.2018,Chinook_Salmon,65,No
TPS0346.2019,Chinook_Salmon,34,No
TPS0091.2019,Chinook_Salmon,44,No
TPS0505.2019,Chinook_Salmon,59,No
TPS0214.2019,Chinook_Salmon,91,No
TPS0343.2019,Chinook_Salmon,,No
TPS0241.2019,Chinook_Salmon,53,No
TPS0241.2019,Chinook_Salmon,57,No
TPS0175.2019,Chinook_Salmon,44,No
TPS0244.2019,Chinook_Salmon,40,No
TPS0244.2019,Chinook_Salmon,42,No
TPS0244.2019,Chinook_Salmon,46,No
TPS0159.2018,Chinook_Salmon,71,No
TPS0159.2018,Chinook_Salmon,84,No
TPS0159.2018,Chinook_Salmon,90,No
TPS0208.2019,Chinook_Salmon,56,No
TPS0235.2019,Chinook_Salmon,56,No
TPS0265.2019,Chinook_Salmon,53,No
TPS0505.2019,Chinook_Salmon,64,No
TPS0505.2019,Chinook_Salmon,67,No
TPS0517.2019,Chinook_Salmon,79,Yes
TPS0403.2019,Chinook_Salmon,39,No
TPS0520.2019,Chinook_Salmon,85,Yes
TPS0553.2019,Chinook_Salmon,72,No
TPS0176.2018,Chinook_Salmon,83,Yes
TPS1771.2018,Chinook_Salmon,59,No
TPS0388.2019,Chinook_Salmon,42,No
TPS0376.2019,Chinook_Salmon,45,No
TPS0307.2019,Chinook_Salmon,127,No
TPS0403.2019,Chinook_Salmon,57,No
TPS0325.2019,Chinook_Salmon,44,No
TPS0376.2019,Chinook_Salmon,44,No
TPS0403.2019,Chinook_Salmon,60,No
TPS0187.2019,Chinook_Salmon,45,No
TPS0403.2019,Chinook_Salmon,60,No
TPS0376.2019,Chinook_Salmon,43,No
TPS0733.2019,Chinook_Salmon,90,Yes
TPS0172.2018,Chinook_Salmon,68,No
TPS0318.2020,Common_Carp,215,
TPS0687.2020,Common_Carp,230,
TPS0544.2020,Common_Carp,550,
TPS0249.2020,Common_Carp,200,
TPS0646.2019,Common_Carp,33,
TPS0220.2018,Common_Carp,66,
TPS0382.2019,Common_Carp,264,
TPS0237.2020,Delta_Smelt,71,
TPS0448.2019,Goby_UNID,12,
TPS0316.2019,Goby_UNID,50,
