Site_Id,Date,Time,Water_Year,Latitude,Longitude,Region,Habitat,Tide,Temperature,Dissolved_Oxygen,Specific_Conductivity,Salinity,pH,Turbidity,Chlorophyll,Secchi,Fish_Net,Flowmeter_Change,K_Value,Flowmeter_Distance,Net_Mouth_Area,FishTowVolume,Adj_FishTowVolume,Start_Depth,End_Depth,American_Shad,Black_Bullhead,Black_Crappie,Bluegill_Sunfish,Brown_Bullhead,Chinook_Salmon,Common_Carp,Delta_Smelt,Goby_UNID,Golden_Shiner,Goldfish,Inland_Silverside,Jacksmelt,Largemouth_Bass,Longfin_Smelt,Minnow_UNID,Northern_Anchovy,Osmerid_UNID,Pacific_Herring,Pacific_Staghorn_Sculpin,Prickly_Sculpin,Rainwater_Killifish,Redear_Sunfish,Sacramento_Hitch,Sacramento_Pikeminnow,Sacramento_Splittail,Sacramento_Sucker,Shimofuri_Goby,Shokihaze_Goby,Starry_Flounder,Steelhead,Striped_Bass,Threadfin_Shad,Threespine_Stickleback,Tule_Perch,Wakasagi,Warmouth,Yellowfin_Goby
TPS0687.2020,2020-04-03,14:46,2020,38.184088,-121.989202,SuisunWest,Distributary,Late Ebb,13.88,9.96,2351,1.21,,24.18,4.35,38,Mamou,24551,0.026873,659.759023,6.057,3996.160402,3996.160402,9,8,3,,,,,,1,,,,,1,,,,,,,,,,,,,,2,,,,,,1,12,,1,,,
TPS0688.2020,2020-04-03,14:02,2020,38.162921,-122.062578,SuisunWest,Distributary,Late Ebb,14.3,9,6360,3.51,,31.87,5.88,27,Mamou,32212,0.026873,865.633076,6.057,5243.139541,5243.139541,8,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0679.2020,2020-04-03,13:57,2020,38.115064,-121.890075,SuisunEast,Distributary,Late Ebb,13.34,9.52,1300,0.65,7.9,23.87,2.65,65,Mamou,12384,0.026873,332.795232,6.057,2015.74072,2015.74072,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0757.2020,2020-04-03,13:24,2020,38.176589,-122.066538,SuisunWest,Distributary,Late Ebb,14.33,9.15,8400,4.7,8.9,25.61,2.37,36,Mamou,23993,0.026873,644.763889,6.057,3905.334876,3905.334876,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
TPS0738.2020,2020-04-03,13:04,2020,38.141101,-121.908245,SuisunEast,Distributary,Late Ebb,13.44,9.9,2133,1.17,8,13.08,2.5,45,Mamou,15954,0.026873,428.731842,6.057,2596.828767,2596.828767,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
TPS0683.2020,2020-04-03,12:15,2020,38.197835,-121.921607,SuisunEast,Distributary,Early Ebb,13.44,9.14,3090,1.62,7.8,43.1,4.97,26,Mamou,19326,0.026873,519.347598,6.057,3145.688401,3145.688401,8,7,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,47,,,,,
TPS0691.2020,2020-04-03,11:49,2020,38.193782,-122.039148,SuisunWest,Terminal,Late Ebb,13.93,8.11,4212,2.25,8.7,38.44,8.67,26,Mamou,7310,0.026873,196.44163,6.057,1189.846953,1189.846953,8,8,24,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,30,1,,,,
TPS0736.2020,2020-04-03,11:31,2020,38.182343,-121.914066,SuisunEast,Distributary,Early Ebb,13.2,9.55,2242,1.17,7.9,29.83,3.24,32,Mamou,20462,0.026873,549.875326,6.057,3330.59485,3330.59485,8,6,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,
TPS0764.2020,2020-04-03,10:57,2020,38.194755,-122.051286,SuisunWest,Terminal,Early Ebb,15.35,8.51,3894,2.08,8.7,36.64,11.99,25,Mamou,17695,0.026873,475.517735,6.057,2880.210921,2880.210921,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,111,,,,,
TPS0744.2020,2020-04-03,10:45,2020,38.20423,-121.922739,SuisunEast,Terminal,Early Ebb,13.24,8.9,3464,1.82,7.7,35.7,3.93,27,Mamou,20233,0.026873,543.721409,6.057,3293.320574,3293.320574,5,9,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,17,,,,,
TPS0765.2020,2020-04-03,10:12,2020,38.217508,-122.032272,SuisunWest,Terminal,Early Ebb,13.87,8.17,4276,2.29,8.7,32.8,15.71,24,Mamou,31081,0.026873,835.239713,6.057,5059.046942,5059.046942,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,
TPS0684.2020,2020-04-03,9:58,2020,38.17757,-121.909615,SuisunEast,Terminal,High Slack,13.38,9.65,1953,1,8,21.79,2.75,36,Mamou,16909,0.026873,454.395557,6.057,2752.273889,2752.273889,13,20,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0690.2020,2020-04-03,9:25,2020,38.231844,-122.036436,SuisunWest,Terminal,High Slack,13.76,8.33,4546,2.44,8.5,31.77,17.73,26,Mamou,28989,0.026873,779.021397,6.057,4718.532602,4718.532602,10,4,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,43,,1,,,
TPS0681.2020,2020-04-03,9:07,2020,38.203678,-121.908139,SuisunEast,Terminal,High Slack,13.24,8.47,4748,2.56,7.7,35.05,6.13,31,Mamou,18169,0.026873,488.255537,6.057,2957.363788,2957.363788,7,6,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,18,,,,,
TPS0766.2020,2020-04-03,8:34,2020,38.225365,-122.023515,SuisunWest,Terminal,Late Flood,13.37,8.15,4532,2.43,8.4,34.77,13.35,29,Mamou,25492,0.026873,685.046516,6.057,4149.326747,4149.326747,9,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
TPS0676.2020,2020-03-03,13:10,2020,38.048022,-121.865107,SuisunEast,Shoal,Late Ebb,13.17,10.1,3814,2.03,8.4,15.5,3.25,40,Kodiak,24927,0.026873,669.863271,16.723,11202.12348,11202.12348,9,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
TPS0677.2020,2020-03-03,12:15,2020,38.056413,-121.928717,SuisunEast,Shoal,Late Ebb,13.14,10.13,4330,2.32,8.3,16.85,1.99,35,Kodiak,16205,0.026873,435.476965,16.723,7282.481286,7282.481286,6,8,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,
TPS0678.2020a,2020-03-03,11:35,2020,38.064569,-121.92104,SuisunEast,Shoal,Late Ebb,13.15,10.18,5264,2.86,8.3,18.9,2.02,35,Kodiak,19499,0.026873,523.996627,16.723,8762.795593,8762.795593,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0750.2020a,2020-03-03,10:42,2020,38.118806,-122.044434,SuisunWest,Shoal,Early Ebb,13.11,10.11,10675,6.08,8.3,13.3,2.15,45,Kodiak,18282,0.026873,491.292186,16.723,8215.879226,8215.879226,8,8,14,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
TPS0686.2020,2020-03-03,9:52,2020,38.133618,-122.032226,SuisunWest,Shoal,Early Ebb,12.88,9.96,9692,5.44,8.3,15.55,1.97,40,Kodiak,22360,0.026873,600.88028,16.723,10048.52092,10048.52092,22,7,24,,,,,,,,,,,,,,1,,,,1,1,,,,,,7,,,,,3,2,7,,,,,
TPS0685.2020,2020-03-03,9:03,2020,38.069319,-122.044196,SuisunWest,Shoal,Early Ebb,12.85,9.81,11659,6.8,8.3,7.21,1.02,66,Kodiak,15840,0.026873,425.66832,16.723,7118.451315,7118.451315,8,11,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0571.2020,2021-08-02,15:07,2020,38.050086,-121.790845,SuisunEast,Shoal,Early Ebb,12.37,10.2,1379,0.7,7.9,11.49,1.38,50,Mamou,7395,0.026873,198.725835,6.057,1203.682383,1203.682383,9,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0627.2020,2021-08-02,15:02,2020,38.150566,-121.916842,SuisunEast,Distributary,Early Ebb,11.73,10.17,1836,0.94,7.9,18.42,2.17,40,Mamou,9501,0.026873,255.320373,6.057,1546.475499,1546.475499,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
TPS0570.2020,2021-08-02,14:20,2020,38.054023,-121.850092,SuisunEast,Distributary,Early Ebb,11.85,10.05,4759,2.56,7.9,19.22,1.67,45,Mamou,22962,0.026873,617.057826,6.057,3737.519252,3737.519252,9,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
TPS0568.2020,2021-08-02,14:13,2020,38.17152,-121.96117,SuisunEast,Distributary,Early Ebb,12.3,9.74,2097,1.08,7.8,25.82,2.86,35,Mamou,18626,0.026873,500.536498,6.057,3031.749568,3031.749568,9,8,,,1,,,,,,,1,,1,,,,,,,,,,,,,,22,,,,,,9,22,,1,,,
TPS0634.2020,2021-08-02,13:29,2020,38.177797,-121.909222,SuisunEast,Terminal,Early Ebb,12.39,9.86,2073,1.07,7.8,18.85,2.15,35,Mamou,17126,0.026873,460.226998,6.057,2787.594927,2787.594927,16,57,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
TPS0619.2020b,2021-08-02,13:23,2020,38.062452,-121.919672,SuisunEast,Shoal,Early Ebb,11.98,10.07,4814,2.59,7.9,16.27,1.3,40,Mamou,3,0.026873,0.080619,6.057,,2861.314941,6,7,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0629.2020,2021-08-02,12:45,2020,38.197573,-121.915465,SuisunEast,Distributary,High Slack,12.42,9.2,2400,1.24,7.7,25.54,4.2,25,Mamou,19682,0.026873,528.914386,6.057,3203.634436,3203.634436,6,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,28,,,,,
TPS0574.2020,2021-08-02,12:41,2020,38.040697,-121.957331,SuisunEast,Terminal,High Slack,11.28,9.59,4503,2.43,7.8,23.36,0.98,30,Mamou,18167,0.026873,488.201791,6.057,2957.038248,2957.038248,10,6,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0572.2020,2021-08-02,12:06,2020,38.2113,-121.923658,SuisunEast,Terminal,High Slack,12.68,8.56,2938,1.54,7.7,35.54,5.04,20,Mamou,19724,0.026873,530.043052,6.057,3210.470766,3210.470766,2,3,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,38,,,,,
TPS0641.2020a,2021-08-02,11:48,2020,38.123552,-122.037107,SuisunWest,Shoal,Late Flood,12.39,9.71,11265,6.44,7.3,15.76,1.18,35,Mamou,19740,0.026873,530.47302,6.057,3213.075082,3213.075082,19,60,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0573.2020,2021-08-02,11:25,2020,38.201809,-121.908638,SuisunEast,Terminal,Late Flood,12.56,8.34,3584,1.89,7.5,35.94,6.4,25,Mamou,23204,0.026873,623.561092,6.057,3776.909534,3776.909534,5,6,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,32,,,,,
TPS0650.2020,2021-08-02,11:10,2020,38.156485,-122.049545,SuisunWest,Distributary,Late Flood,12.39,9.37,5995,3.3,7.6,37.06,3.42,35,Mamou,21856,0.026873,587.336288,6.057,3557.495896,3557.495896,8,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0636.2020,2021-08-02,10:42,2020,38.21835,-121.904644,SuisunEast,Terminal,Late Flood,11.94,7.62,5110,2.76,7.5,39.49,9.9,20,Mamou,21559,0.026873,579.355007,6.057,3509.153277,3509.153277,5,9,,,,,,,,,,1,,44,,,,,,,,,,,,,,2,,,,,,,9,,,,,
TPS0640.2020,2021-08-02,10:30,2020,38.12448,-122.055218,SuisunWest,Shoal,Late Flood,12.08,9.75,10348,5.87,7.7,17.62,1.05,40,Mamou,25777,0.026873,692.705321,6.057,4195.716129,4195.716129,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0649.2020,2021-08-02,9:49,2020,38.122452,-122.074961,SuisunWest,Distributary,Late Flood,11.93,9.63,8152,4.55,7.6,42.47,1.69,25,Mamou,19578,0.026873,526.119594,6.057,3186.706381,3186.706381,13,14,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0569.2020,2021-08-02,9:41,2020,38.118431,-121.888317,SuisunEast,Distributary,Late Flood,11.41,10.3,793,0.4,8,20.45,2.2,35,Mamou,20316,0.026873,545.951868,6.057,3306.830464,3306.830464,7,5,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
TPS0581.2020,2021-07-02,14:23,2020,38.139235,-122.095633,SuisunWest,Terminal,Late Ebb,12.33,9.23,6833,3.77,7.6,54.44,1.81,21,Mamou,24237,0.026873,651.320901,6.057,3945.050697,3945.050697,14,13,14,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,
TPS0579.2020,2021-07-02,13:30,2020,38.170395,-122.024653,SuisunWest,Distributary,Early Ebb,12.93,9.44,3744,1.99,7.7,47.77,2.63,22,Mamou,16246,0.026873,436.578758,6.057,2644.357537,2644.357537,8,4,17,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,
TPS0582.2020,2021-07-02,12:29,2020,38.209799,-122.038789,SuisunWest,Terminal,Early Ebb,13.05,7.48,4606,2.48,7.5,37.36,9.2,24,Mamou,26123,0.026873,702.003379,6.057,4252.034467,4252.034467,5,6,12,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,33,,,,,
TPS0655.2020,2021-07-02,11:41,2020,38.222584,-122.032785,SuisunWest,Terminal,High Slack,13.03,7.61,4674,2.52,7.6,36.78,8.68,25,Mamou,25876,0.026873,695.365748,6.057,4211.830336,4211.830336,12,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,
TPS0583.2020,2021-07-02,11:01,2020,38.228892,-122.031891,SuisunWest,Terminal,High Slack,13.08,7.71,4716,2.54,7.6,36.2,8.75,25,Mamou,18743,0.026873,503.680639,6.057,3050.79363,3050.79363,10,15,,,,,,,,,,,,9,,,,,,,,,,,,,,2,,,,,,,8,,,,,
TPS0654.2020,2021-07-02,10:15,2020,38.195409,-122.051337,SuisunWest,Terminal,Late Flood,12.6,7.45,4589,2.47,7.6,43,10.55,22,Mamou,13853,0.026873,372.271669,6.057,2254.849499,2254.849499,18,13,1,,,,,,,,,,,2,,,,,,,,,,,,,,12,,,,,,,3,,,,,
TPS0578.2020,2021-07-02,9:31,2020,38.193139,-122.038438,SuisunWest,Terminal,Late Flood,12.55,8.23,4590,2.46,7.5,46.47,4.34,21,Mamou,20434,0.026873,549.122882,6.057,3326.037296,3326.037296,20,20,4,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,6,,,,,
TPS0577.2020,2021-07-02,8:37,2020,38.153222,-122.053172,SuisunWest,Distributary,Late Flood,11.84,9.39,5382,2.95,7.5,29.42,2.33,29,Mamou,23333,0.026873,627.027709,6.057,3797.906833,3797.906833,17,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0567.2020,2021-06-02,13:40,2020,38.049568,-121.840438,SuisunEast,Shoal,Late Ebb,12.36,10.21,2734,1.43,7.9,15.57,1.18,28,Kodiak,12697,0.026873,341.206481,16.723,5705.995982,5705.995982,15,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
TPS0566.2020,2021-06-02,12:44,2020,38.078496,-121.920918,SuisunEast,Shoal,Early Ebb,11.92,10.18,4196,2.24,8,17.25,1,37,Kodiak,10614,0.026873,285.230022,16.723,4769.901658,4769.901658,7,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,
TPS0575.2020,2021-06-02,11:32,2020,38.076458,-122.052903,SuisunWest,Shoal,High Slack,12.32,9.77,13076,7.6,7.8,13.09,0.85,45,Kodiak,12549,0.026873,337.229277,16.723,5639.485199,5639.485199,7,9,8,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
TPS0580.2020,2021-06-02,10:44,2020,38.132246,-122.012908,SuisunWest,Shoal,High Slack,11.69,10.01,8827,4.95,7.9,16.6,2.32,40,Kodiak,12241,0.026873,328.952393,16.723,5501.070868,5501.070868,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,
TPS0576.2020,2021-06-02,9:51,2020,38.10486,-121.998365,SuisunWest,Shoal,High Slack,12.51,9.92,9192,5.18,7.8,20.04,1.88,30,Kodiak,15026,0.026873,403.793698,16.723,6752.642012,6752.642012,15,12,4,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,6,,,,,
TPS0619.2020a,2021-06-02,8:56,2020,38.061575,-121.923202,SuisunEast,Shoal,High Slack,10.9,,4000,2.14,7.7,18.98,1.25,32,Kodiak,11885,0.026873,319.385605,16.723,5341.085472,5341.085472,8,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0524.2020,2020-06-02,14:43,2020,38.03329,-121.801208,SuisunEast,Terminal,Early Ebb,10.67,11.78,381,0.18,8,4.73,1.26,140,Mamou,15889,0.026873,426.985097,6.057,2586.248733,2586.248733,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0461.2020,2020-06-02,13:48,2020,38.041947,-121.792529,SuisunEast,Shoal,Early Ebb,10.8,10.29,1191,0.59,7.8,12.16,1.55,60,Mamou,21924,0.026873,589.163652,6.057,3568.56424,3568.56424,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0457.2020,2020-06-02,13:04,2020,38.050291,-121.800092,SuisunEast,Shoal,Early Ebb,10.82,10.25,453,0.22,7.9,9.47,1.37,75,Mamou,18463,0.026873,496.156199,6.057,3005.218097,3005.218097,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0459.2020,2020-06-02,12:17,2020,38.043627,-121.819573,SuisunEast,Distributary,High Slack,10.85,10.4,932,0.46,7.9,11.54,1.2,62,Mamou,11367,0.026873,305.465391,6.057,1850.203873,1850.203873,5,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0517.2020,2020-06-02,11:26,2020,38.041814,-121.83128,SuisunEast,Distributary,Late Flood,10.53,10.34,1063,0.53,8,12.03,1.33,63,Mamou,23967,0.026873,644.065191,6.057,3901.102862,3901.102862,3,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0462.2020,2020-06-02,10:22,2020,38.048318,-121.963138,SuisunEast,Terminal,Late Flood,10.5,10.25,7958,4.43,7.6,16.57,0.74,49,Mamou,,0.026873,,6.057,,2861.314941,7,4,,,,,,,,,,,,12,,,,,,,,,,,,,,1,,,,,,2,,,,,,
TPS0467.2020,2020-06-02,9:29,2020,38.07946,-122.01113,SuisunWest,Distributary,Late Flood,9.81,9.96,8896,4.98,7.5,14.27,1.16,50,Mamou,16141,0.026873,433.757093,6.057,2627.266712,2627.266712,9,8,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,1,,,,,,,
TPS0466.2020,2020-06-02,8:45,2020,38.102314,-122.006133,SuisunWest,Shoal,Late Flood,9.7,10.32,7689,4.26,7.7,11.99,1.04,56,Mamou,23223,0.026873,624.071679,6.057,3780.00216,3780.00216,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0510.2020,2020-05-02,13:51,2020,38.059292,-121.844615,SuisunEast,Shoal,Early Ebb,10.88,10.36,4467,2.41,7.6,11.45,1.23,56,Kodiak,19553,0.026873,525.447769,16.723,8787.063041,8787.063041,4,9,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
TPS0456.2020,2020-05-02,12:51,2020,38.053388,-121.888253,SuisunEast,Shoal,Early Ebb,10.31,10.32,5149,2.83,7.5,16.17,1.29,46,Kodiak,11707,0.026873,314.602211,16.723,5261.092775,5261.092775,12,16,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,
TPS0509.2020,2020-05-02,11:48,2020,38.062014,-121.940662,SuisunEast,Shoal,High Slack,10.34,10.13,8933,4.98,7.8,16.85,1.03,30,Kodiak,11932,0.026873,320.648636,16.723,5362.20714,5362.20714,9,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
TPS0531.2020,2020-05-02,10:53,2020,38.114752,-122.023158,SuisunWest,Shoal,High Slack,10.22,10.15,11371,6.49,7.5,13.59,1.75,55,Kodiak,14820,0.026873,398.25786,16.723,6660.066193,6660.066193,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0465.2020,2020-05-02,10:08,2020,38.10501,-122.066429,SuisunWest,Shoal,Late Flood,10.2,9.99,12345,6.96,7.4,15.32,2.08,36,Kodiak,19022,0.026873,511.178206,16.723,8548.433139,8548.433139,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
TPS0530.2020,2020-05-02,9:21,2020,38.073856,-122.058139,SuisunWest,Shoal,Late Flood,10.06,9.97,15181,8.89,7.4,8.33,1.47,71,Kodiak,12376,0.026873,332.580248,16.723,5561.739487,5561.739487,5,8,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
TPS0526.2020,2020-04-02,16:21,2020,38.044866,-121.960269,SuisunEast,Terminal,Low Slack,9.9,11.45,3800,2,8,14.33,2.09,34,Mamou,13286,0.026873,357.034678,6.057,2162.559045,2162.559045,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,2,,,
TPS0516.2020b,2020-04-02,15:05,2020,38.072467,-121.875322,SuisunEast,Distributary,Late Ebb,10.75,,2770,1.44,7.8,19.77,2.01,40,Mamou,18805,0.026873,505.346765,6.057,3060.885356,3060.885356,7,14,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0470.2020,2020-04-02,15:05,2020,38.117326,-122.015206,SuisunWest,Shoal,Late Ebb,9.92,10.56,8098,4.51,7.8,45.43,2.05,30,Mamou,22909,0.026873,615.633557,6.057,3728.892455,3728.892455,10,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0537.2020,2020-04-02,14:18,2020,38.139544,-122.070638,SuisunWest,Distributary,Late Ebb,10.15,9.46,6734,3.7,7.4,56.43,5.55,22,Mamou,23130,0.026873,621.57249,6.057,3764.864572,3764.864572,18,26,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,29,,,,,
TPS0516.2020a,2020-04-02,14:03,2020,38.129838,-121.915155,SuisunEast,Distributary,Late Ebb,10.33,10.68,1646,0.84,7.8,12.81,1.96,65,Mamou,15891,0.026873,427.038843,6.057,2586.574272,2586.574272,8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0471.2020,2020-04-02,13:30,2020,38.179542,-122.073888,SuisunWest,Terminal,Early Ebb,10.64,9.55,6687,3.68,7.4,33.91,2.58,32,Mamou,6485,0.026873,174.271405,6.057,1055.5619,1055.5619,26,21,7,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,
