SampleRowID,SampleDate,SurveyNumber,StationCode,SampleTimeStart,SampleTimeEnd,Secchi,ConductivityTop,WaterTemperature,Turbidity,DepthBottom,MeterStart,MeterEnd,TideCode,TowDirectionCode,MeterNumber,Latitude,Longitude,SampleComments
18,2002-01-08,1,606,0.507638889,0.514583333,21,1104,11.30000019,,35,547852,562397,2,2,13291,,,
19,2002-01-08,1,609,0.527777778,0.534722222,23,720,11.60000038,,30,562397,580266,2,2,13291,,,see catch comments regarding delta smelt
20,2002-01-08,1,610,0.548611111,0.555555556,21,340,12,,16,580266,597690,2,2,13291,,,
21,2002-01-08,1,706,0.585416667,0.592361111,12,220,11.19999981,,31,597690,610123,2,2,13291,,,
22,2002-01-08,1,707,0.604166667,0.611111111,10,222,11,,36,610123,625246,2,2,13291,,,
23,2002-01-09,1,504,0.389583333,0.396527778,20,310,11.30000019,,28,625258,640756,4,1,13291,,,
24,2002-01-09,1,519,0.405555556,0.4125,15,219,11.19999981,,10,640756,650290,4,1,13291,,,
25,2002-01-09,1,508,0.429861111,0.436805556,15,247,11.19999981,,54,650290,671837,4,1,13291,,,
26,2002-01-09,1,520,0.449305556,0.45625,23,233,11.19999981,,42,671837,688296,4,2,13291,,,
27,2002-01-09,1,513,0.46875,0.475694444,18,223,11.5,,56,688296,703529,4,1,13291,,,
28,2002-01-09,1,801,0.483333333,0.490277778,18,243,11.5,,25,703529,717086,4,1,13291,,,
29,2002-01-09,1,804,0.499305556,0.506944444,18,284,11.39999962,,44,717086,731365,1,3,13291,,,
30,2002-01-09,1,704,0.519444444,0.527083333,18,193,11.39999962,,31,731695,746525,2,2,13291,,,
31,2002-01-10,1,713,0.45625,0.463194444,18,231,10.89999962,,25,746515,759426,4,1,13291,,,
32,2002-01-10,1,716,0.478472222,0.485416667,17,229,10.89999962,,23,759426,775661,4,2,13291,,,
33,2002-01-10,1,715,0.526388889,0.533333333,18,197,10.80000019,,15,775661,790500,4,2,13291,,,
34,2002-01-10,1,711,0.54375,0.550694444,18,158,10.89999962,,16,790500,805688,2,2,13291,,,
35,2002-01-10,1,712,0.55625,0.563194444,17,164,10.80000019,,38,805688,825025,2,2,13291,,,
36,2002-02-04,2,809,0.35625,0.3625,39,418,8,,44,987890,5010,4,2,13227,,,
37,2002-02-04,2,812,0.384027778,0.390972222,46,316,8,,20,5010,24442,4,2,13227,,,
38,2002-02-04,2,815,0.408333333,0.415277778,51,273,8,,33,24442,41938,4,2,13227,,,
39,2002-02-04,2,902,0.445833333,0.452777778,64,305,8.300000191,,27,41938,57798,4,2,13227,,,
40,2002-02-04,2,915,0.463888889,0.470833333,70,289,8.300000191,,27,57798,74658,4,2,13227,,,
41,2002-02-04,2,914,0.480555556,0.4875,55,315,8.399999619,,28,74658,94139,1,3,13227,,,
42,2002-02-04,2,906,0.500694444,0.507638889,49,274,8.800000191,,34,94139,112977,2,2,13227,,,
43,2002-02-04,2,910,0.518055556,0.525,59,321,8.5,,37,112977,128950,2,2,13227,,,
44,2002-02-04,2,912,0.536111111,0.543055556,66,843,8.800000191,,40,128950,141681,2,1,13227,,,
45,2002-02-04,2,919,0.580555556,0.5875,82,300,8.5,,23,141681,160993,2,2,13227,,,
46,2002-02-04,2,920,0.602083333,0.608333333,59,303,9.300000191,,18,160993,182807,2,2,13227,,,
47,2002-02-04,2,921,0.661111111,0.668055556,69,293,8.800000191,,16,182807,198691,2,2,13227,,,
48,2002-02-04,2,922,0.675694444,0.682638889,96,170,8.100000381,,11,198691,210023,2,2,13227,,,
49,2002-02-04,2,923,0.703472222,0.711111111,62,234,8.100000381,,22,210023,229621,2,2,13227,,,
50,2002-02-05,2,340,0.39375,0.400694444,37,20640,9.300000191,,22,229626,249056,2,2,13227,,,
51,2002-02-05,2,405,0.415277778,0.422222222,50,21130,9.399999619,,10,249056,263731,2,1,13227,,,
52,2002-02-05,2,418,0.43125,0.438194444,48,17800,9.300000191,,36,263731,275775,2,1,13227,,,
53,2002-02-05,2,411,0.445833333,0.452777778,37,11910,9.399999619,,15,275775,293495,2,1,13227,,,
54,2002-02-05,2,501,0.464583333,0.471527778,37,7260,9.300000191,,41,293495,307794,2,2,13227,,,
55,2002-02-05,2,602,0.479861111,0.486805556,30,6540,9.5,,6,307794,328447,2,1,13227,,,
56,2002-02-05,2,606,0.497916667,0.504861111,21,4852,9.300000191,,30,328447,343498,2,2,13227,,,
57,2002-02-05,2,609,0.51875,0.525694444,20,3315,8.899999619,,27,343498,363826,2,3,13227,,,
58,2002-02-05,2,610,0.538194444,0.545138889,19,3166,9.300000191,,15,363826,385658,3,3,13227,,,
59,2002-02-06,2,706,0.4875,0.495138889,43,302,8.5,,23,385666,403547,4,2,13227,,,
60,2002-02-06,2,707,0.50625,0.513888889,50,286,8.199999809,,30,403547,417992,4,1,13227,,,
61,2002-02-06,2,711,0.523611111,0.53125,64,291,8.5,,42,417992,433692,1,3,13227,,,
62,2002-02-06,2,712,0.535416667,0.542361111,71,253,8.800000191,,12,433692,447359,2,2,13227,,,
63,2002-02-07,2,804,0.324305556,0.33125,59,607,9.300000191,,28,447384,463110,4,2,13227,,,
64,2002-02-07,2,801,0.340972222,0.347916667,45,710,8.800000191,,24,463110,470076,4,2,13227,,,
65,2002-02-07,2,513,0.355555556,0.3625,41,1120,8.699999809,,41,470076,479999,4,2,13227,,,
66,2002-02-07,2,508,0.370138889,0.377083333,39,2056,9,,51,479999,498822,4,2,13227,,,
67,2002-02-07,2,519,0.386805556,0.39375,34,5700,9.300000191,,13,498822,510058,4,2,13227,,,
68,2002-02-07,2,504,0.400694444,0.407638889,41,6460,9.199999809,,31,510058,520075,4,2,13227,,,
69,2002-02-07,2,520,0.420138889,0.426388889,39,2744,9.100000381,,40,520075,535635,4,2,13227,,,
70,2002-02-07,2,704,0.467361111,0.474305556,41,522,8.600000381,,22,535635,552415,4,2,13227,,,
71,2002-02-07,2,713,0.495138889,0.502083333,45,267,9.100000381,,18,552415,560082,4,1,13227,,,"When the meter was pulled out of the water, there was no vegetation or anything impeding the propeller.  Don't know why the meter reading was so low."
72,2002-02-07,2,715,0.507638889,0.514583333,61,274,9,,27,560100,583601,4,1,13227,,,
73,2002-02-07,2,716,0.520138889,0.527083333,51,278,9,,19,583601,603122,4,1,13227,,,
74,2002-02-07,2,725,0.560416667,0.567361111,71,218,9.699999809,,24,603122,621089,4,1,13227,,,
75,2002-03-04,3,809,0.31875,0.325694444,33,432,12.5,,36,621953,638144,1,2,13227,,,
76,2002-03-04,3,902,0.340277778,0.347222222,34,339,12.30000019,,31,638144,659536,4,1,13227,,,
77,2002-03-04,3,915,0.359722222,0.366666667,23,328,12.39999962,,16,659536,667663,4,2,13227,,,
78,2002-03-04,3,914,0.377777778,0.384722222,76,768,12.80000019,,37,667663,682583,4,2,13227,,,
79,2002-03-04,3,906,0.399305556,0.40625,52,241,12.60000038,,38,682583,698913,1,3,13227,,,
80,2002-03-04,3,910,0.418055556,0.425,75,376,12.60000038,,38,698913,715405,1,3,13227,,,
81,2002-03-04,3,912,0.436111111,0.443055556,60,939,13.80000019,,40,715408,730788,1,3,13227,,,
82,2002-03-04,3,919,0.483333333,0.490277778,61,188,13.19999981,,18,730780,746275,2,2,13227,,,
83,2002-03-04,3,920,0.505555556,0.511805556,62,216,13.19999981,,24,746275,764763,2,2,13227,,,
84,2002-03-04,3,921,0.520138889,0.527083333,62,204,13.30000019,,12,764763,780864,2,2,13227,,,
85,2002-03-04,3,922,0.536805556,0.54375,71,127,12.60000038,,19,780864,795439,2,1,13227,,,
86,2002-03-04,3,923,0.567361111,0.574305556,55,187,13.10000038,,14,795439,810863,2,1,13227,,,
87,2002-03-04,3,815,0.592361111,0.599305556,57,188,14.69999981,,20,810863,825083,2,1,13227,,,
88,2002-03-04,3,812,0.610416667,0.616666667,54,254,13.60000038,,20,825083,841478,2,1,13227,,,
89,2002-03-05,3,340,0.322916667,0.329861111,47,20880,12.89999962,,18,841632,861249,4,1,13227,,,
90,2002-03-05,3,405,0.366666667,0.373611111,52,20470,13.10000038,,11,861242,877892,1,3,13227,,,
91,2002-03-05,3,418,0.383333333,0.390277778,51,13440,13,,34,877892,896275,2,2,13227,,,
92,2002-03-05,3,411,0.399305556,0.40625,39,13420,13,,10,896275,912009,2,1,13227,,,
93,2002-03-05,3,501,0.418055556,0.425,33,6340,13.10000038,,43,912009,929622,2,2,13227,,,
94,2002-03-05,3,602,0.434027778,0.440972222,29,6770,13.10000038,,6,929629,949648,2,2,13227,,,
95,2002-03-05,3,606,0.454166667,0.461111111,24,5900,13.69999981,,24,950345,970456,2,2,13227,,,
96,2002-03-05,3,609,0.476388889,0.483333333,28,5630,13,,30,970456,989896,2,2,13227,,,
97,2002-03-05,3,610,0.497916667,0.504861111,19,5170,13.39999962,,13,989895,7645,2,2,13227,,,
98,2002-03-05,3,704,0.527777778,0.534722222,32,293,12.80000019,,34,7646,24668,2,2,13227,,,
99,2002-03-05,3,706,0.543055556,0.550694444,35,245,12.60000038,,28,24668,42482,2,2,13227,,,
100,2002-03-05,3,707,0.561111111,0.568055556,38,249,12.60000038,,13,42482,61246,2,2,13227,,,
101,2002-03-06,3,711,0.320138889,0.327777778,48,235,12.5,,44,61253,77180,4,1,13227,,,
102,2002-03-06,3,713,0.334722222,0.341666667,42,233,12.39999962,,54,77180,94786,4,1,13227,,,
103,2002-03-06,3,715,0.349305556,0.359027778,50,210,12.30000019,,28,94786,114961,4,1,13227,,,
104,2002-03-06,3,716,0.368055556,0.375,37,221,12.5,,38,114961,129777,4,2,13227,,,
105,2002-03-06,3,712,0.388194444,0.395138889,72,191,12.19999981,,16,129777,144200,4,2,13227,,,
106,2002-03-06,3,725,0.434027778,0.440972222,69,165,12,,27,144200,162391,4,1,13227,,,
107,2002-03-07,3,801,0.306944444,0.313888889,33,679,13,,24,162586,184786,4,2,13227,,,
108,2002-03-07,3,513,0.322222222,0.329166667,35,1185,13,,60,184786,202646,4,2,13227,,,
109,2002-03-07,3,508,0.338888889,0.346527778,32,2149,13,,46,202646,222205,4,2,13227,,,
110,2002-03-07,3,519,0.355555556,0.3625,33,5550,13.19999981,,11,222205,238125,4,2,13227,,,
111,2002-03-07,3,504,0.371527778,0.378472222,40,7250,13.10000038,,26,238125,260000,4,2,13227,,,
112,2002-03-07,3,520,0.406944444,0.414583333,37,2322,13.19999981,,40,260000,282812,4,2,13227,,,
113,2002-03-07,3,804,0.436805556,0.44375,29,700,13.39999962,,37,282812,304270,4,2,13227,,,
114,2003-02-21,1,340,0.422222222,0.429166667,15,11080,11.80000019,,13,585340,599467,2,2,19296,0,0,
115,2003-02-18,1,809,0.311111111,0.318055556,41,228,10.19999981,,44,15285,45236,2,2,19296,0,0,forgot to pull the flow meter; used meter end from the tow after station (station 902). 06072016 LJD
116,2003-02-18,1,902,0.338888889,0.345833333,91,223,10.80000019,,25,45236,71000,2,2,19296,0,0,Used meter start from next tow for meter end value since it was missing (station 915). 06072016 LJD
117,2003-02-18,1,915,0.361111111,0.368055556,72,224,10.89999962,,26,71000,87083,2,2,19296,0,0,
118,2003-02-18,1,914,0.383333333,0.390277778,71,296,11.19999981,,28,87083,108162,2,2,19296,0,0,
119,2003-02-18,1,906,0.410416667,0.417361111,81,229,11,,38,108162,126880,2,2,19296,0,0,
120,2003-02-18,1,910,0.43125,0.438194444,60,458,11.5,,50,126880,145224,2,2,19296,0,0,
121,2003-02-18,1,912,0.453472222,0.460416667,68,1044,12.60000038,,40,145224,161461,2,1,19296,0,0,
122,2003-02-19,1,812,0.35625,0.363194444,45,203,10.80000019,,22,161581,176004,2,2,19296,0,0,
123,2003-02-19,1,815,0.377083333,0.384027778,65,175,11,,18,176004,191952,2,2,19296,0,0,
124,2003-02-19,1,919,0.400694444,0.407638889,110,227,11.10000038,,22,191952,206649,2,2,19296,0,0,
125,2003-02-19,1,920,0.424305556,0.43125,70,262,11.19999981,,25,206649,223910,2,2,19296,0,0,
126,2003-02-19,1,921,0.440972222,0.447916667,108,208,11.39999962,,12,223910,245547,2,2,19296,0,0,
127,2003-02-19,1,922,0.461805556,0.46875,87,124,11.39999962,,15,0,17505,2,1,19296,0,0,Lost meter prop so no reading until the prop is replaced; changed start and end flowmeter to reflect station average for check. LJD 06/07/2016
128,2003-02-19,1,923,0.494444444,0.501388889,108,138,10.89999962,,13,245547,263443,2,2,19296,0,0,
129,2003-02-19,1,707,0.538194444,0.545138889,32,209,11.30000019,,45,263443,281920,4,1,19296,0,0,
130,2003-02-19,1,706,0.55625,0.563194444,34,220,11.19999981,,32,281920,300085,4,1,19296,0,0,
131,2003-02-19,1,704,0.575,0.581944444,45,193,11.19999981,,30,300085,319810,4,1,19296,0,0,
132,2003-02-20,1,804,0.315972222,0.322916667,45,312,10.69999981,,38,319863,331695,2,2,19296,0,0,
133,2003-02-20,1,520,0.333333333,0.340277778,40,317,10.69999981,,39,331695,347353,2,2,19296,0,0,
134,2003-02-20,1,508,0.35,0.356944444,50,328,10.60000038,,43,347353,366220,2,2,19296,0,0,
135,2003-02-20,1,513,0.368055556,0.375,38,265,10.80000019,,50,366220,388767,2,2,19296,0,0,
136,2003-02-20,1,801,0.381944444,0.388888889,51,262,10.80000019,,20,388767,405991,2,2,19296,0,0,
137,2003-02-20,1,716,0.424305556,0.43125,33,409,11.30000019,,28,405991,425735,2,1,19296,0,0,
138,2003-02-20,1,715,0.465277778,0.472222222,28,321,11.30000019,,38,425735,445096,2,1,19296,0,0,
139,2003-02-20,1,713,0.502083333,0.509027778,28,316,11.30000019,,41,445096,461913,2,1,19296,0,0,
140,2003-02-20,1,712,0.516666667,0.523611111,35,138,11,,10,461913,480806,2,2,19296,0,0,
141,2003-02-20,1,711,0.529861111,0.536805556,30,136,11.19999981,,14,480806,500620,2,2,19296,0,0,
142,2003-02-20,1,725,0.561805556,0.56875,28,128,11,,26,500620,522085,2,2,19296,0,0,
143,2003-02-21,1,519,0.314583333,0.321527778,20,741,10.69999981,,14,522095,536841,2,1,19296,0,0,forgot to pull in flowmeter at end of tow.
144,2003-02-21,1,501,0.331944444,0.338888889,38,140,10.89999962,,40,536841,550736,2,2,19296,0,0,
145,2003-02-21,1,504,0.35,0.356944444,31,747,10.60000038,,30,550736,568101,2,2,19296,0,0,
146,2003-02-21,1,411,0.370138889,0.377083333,22,2607,11.69999981,,20,0,18198,2,2,19296,0,0,no flowmeter readings; changed to station average on 06/07/2016 LJD
147,2003-02-21,1,405,0.391666667,0.398611111,7,5150,11.30000019,,10,568101,585340,2,2,19296,0,0,
148,2003-02-21,1,418,0.459027778,0.465972222,12,1769,11.39999962,,32,599467,618600,2,2,19296,0,0,
149,2003-02-21,1,602,0.477083333,0.484027778,27,1286,11.69999981,,5,618600,636606,2,2,19296,0,0,
150,2003-02-21,1,606,0.498611111,0.505555556,9,3178,12,,5,636606,656713,2,2,19296,0,0,
151,2003-02-21,1,609,0.544444444,0.551388889,17,2787,12.39999962,,10,656713,674550,2,2,19296,0,0,
152,2003-02-21,1,610,0.564583333,0.571527778,21,679,11.69999981,,13,674550,693451,2,2,19296,0,0,
153,2003-03-03,11,799,0.39375,0.400694444,30,211,11.60000038,,35,693447,716207,2,2,19296,"38-15-67""N","121-40-23""W","Towed in SDWC between lights 53 and 54.  Lat and Long from Loran on the Little Munson.  EC and Temp from CDEC, station CCS."
154,2003-03-03,11,799,0.445138889,0.452083333,27,229,11.60000038,,35,716207,737797,2,2,19296,"38-15-64""N","121-40-23""W","Towed in SDWC between lights 53 and 54.  Temp and EC readings from CDEC, station CCS. Lat and Long from Loran on Little Munson."
155,2003-03-03,11,799,0.507638889,0.514583333,27,986,13.80000019,,20,737797,756478,4,1,19296,"38-15-44""N","121-47-47""W","Towed in channel of Cache Slough across from Liberty and 0.25 miles below French Island.  Temp and EC from CDEC, station CCS.  Lat and Long from Loran on Little Munson."
156,2003-03-04,11,699,0.397916667,0.404861111,9,3220,12.30000019,,18,756499,775066,2,1,19296,"38-10-81""N","121-55-30""W",Towed in Nurse Slough about 1 nautical mile above mouth
157,2003-03-04,11,699,0.426388889,0.433333333,13,2840,12.80000019,,18,775066,797108,2,2,19296,"38-10-30""N","121-56-11""W",Set net in Montezuma Slough at Mouth and towed into Nurse Slough.
158,2003-03-04,11,699,0.469444444,0.476388889,21,757,12.5,,24,797108,818210,2,2,19296,"38-08-99""N","122-03-66""W",In Montezuma Slough near station 606 but downstream about .25 miles.
159,2003-03-04,11,602,0.496527778,0.503472222,30,1117,12.39999962,,6,818210,837160,2,2,19296,"38-07-05""N","122-02-84""W",
160,2003-03-17,2,809,0.318055556,0.325,55,248,13.60000038,,32,837196,858643,2,2,19296,,,
161,2003-03-17,2,902,0.340277778,0.347222222,83,227,13.89999962,,26,858643,880107,2,2,19296,,,
162,2003-03-17,2,915,0.364583333,0.371527778,89,226,14.19999981,,22,880107,899960,2,1,19296,,,
163,2003-03-17,2,914,0.383333333,0.390277778,103,325,14.5,,43,899960,917172,2,2,19296,,,
164,2003-03-17,2,906,0.408333333,0.415277778,108,219,14.30000019,,36,917172,941291,2,2,19296,,,
165,2003-03-17,2,910,0.426388889,0.433333333,89,704,14.89999962,,36,941291,964888,2,2,19296,,,
166,2003-03-17,2,912,0.450694444,0.457638889,72,1050,15.60000038,,38,964888,985159,2,2,19296,,,
167,2003-03-17,2,815,0.490972222,0.497916667,83,204,14.5,,22,985159,13020,2,2,19296,,,
168,2003-03-17,2,919,0.515972222,0.522916667,69,223,14.69999981,,14,13020,30979,2,1,19296,,,
169,2003-03-17,2,920,0.540972222,0.547916667,99,290,15,,10,30979,55034,2,1,19296,,,
170,2003-03-17,2,921,0.55625,0.563194444,83,96,15.10000038,,10,55034,75618,2,1,19296,,,double checked EC reading because it seemed so low.
171,2003-03-17,2,922,0.573611111,0.580555556,47,144,14.39999962,,23,75618,97780,2,1,19296,,,
172,2003-03-17,2,923,0.605555556,0.6125,70,173,14.5,,12,97780,120953,2,1,19296,,,
173,2003-03-17,2,812,0.636111111,0.643055556,84,240,14.80000019,,19,120953,140888,2,2,19296,,,
174,2003-03-18,2,725,0.3375,0.344444444,7,131,12.80000019,,21,140882,163875,2,1,19296,,,
175,2003-03-18,2,711,0.366666667,0.373611111,15,154,13.19999981,,13,0,17716,2,2,19296,,,forgot to put flowmeter in water; changed to meter average for station 06072016 LJD
176,2003-03-18,2,716,0.391666667,0.398611111,20,476,14.10000038,,30,163875,186565,2,1,19296,,,
177,2003-03-18,2,715,0.449305556,0.45625,23,398,14.5,,24,186565,213297,2,1,19296,,,
178,2003-03-18,2,713,0.497222222,0.504166667,22,377,14.10000038,,51,213297,238759,2,1,19296,,,
179,2003-03-18,2,712,0.517361111,0.524305556,25,131,13.30000019,,11,238759,260016,4,1,19296,,,
180,2003-03-18,2,707,0.543055556,0.55,36,249,14.19999981,,19,260016,282956,4,2,19296,,,
181,2003-03-19,2,706,0.309722222,0.316666667,20,243,13.60000038,,32,282977,307787,2,2,19296,,,
182,2003-03-19,2,704,0.329861111,0.336805556,25,233,13.5,,31,307787,327462,2,2,19296,,,
183,2003-03-19,2,513,0.351388889,0.358333333,40,273,13.69999981,,60,327462,353364,2,2,19296,,,
184,2003-03-19,2,801,0.36875,0.375694444,50,424,14.10000038,,20,0,17506,2,2,19296,,,forgot flowmeter; changed start and end meter to reflect station average for check. LJD 06/07/2016
185,2003-03-19,2,804,0.3875,0.394444444,55,331,14.10000038,,40,353377,376561,2,2,19296,,,
186,2003-03-19,2,520,0.419444444,0.426388889,47,414,14.30000019,,30,376561,404070,2,2,19296,,,
187,2003-03-19,2,508,0.434722222,0.441666667,40,256,14.19999981,,40,404070,429267,2,2,19296,,,
188,2003-03-19,2,504,0.460416667,0.467361111,20,806,14.39999962,,26,429267,453900,4,1,19296,,,
189,2003-03-19,2,411,0.483333333,0.490277778,39,3507,14.60000038,,16,453900,481534,4,1,19296,,,
190,2003-03-19,2,340,0.519444444,0.526388889,32,13080,14.89999962,,15,481534,507797,4,2,19296,,,
191,2003-03-19,2,405,0.558333333,0.565277778,30,9000,15,,13,507797,534703,4,1,19296,,,
192,2003-03-20,2,610,0.322916667,0.329861111,29,1777,14.19999981,,13,534724,559881,2,2,19296,,,
193,2003-03-20,2,609,0.347222222,0.354166667,18,2866,14.60000038,,29,559881,587830,2,2,19296,,,
194,2003-03-20,2,606,0.376388889,0.383333333,9,3401,14.80000019,,41,587830,612746,2,2,19296,,,
195,2003-03-20,2,602,0.411111111,0.418055556,15,3097,14.30000019,,5,612746,642720,2,2,19296,,,
196,2003-03-20,2,418,0.436111111,0.443055556,30,3763,14.30000019,,27,642720,668938,4,1,19296,,,
197,2003-03-20,2,501,0.4625,0.469444444,34,1355,14.60000038,,42,668938,695870,4,1,19296,,,
198,2003-03-20,2,519,0.490277778,0.497222222,15,623,14.69999981,,7,695870,723814,4,1,19296,,,
199,2003-04-02,12,799,0.404166667,0.411111111,10,838,15,,34,724129,749926,2,2,19296,38-26-76'N,"121-35-80""W",Towed in SDWC between lights 67 and 68.
200,2003-04-02,12,799,0.445138889,0.452083333,12,883,15.39999962,,35,0,18040,2,2,19296,38-26-76'N,"121-35-80""W",Towed in SDWC between lights 67 and 68.*(Meter Start and Meter End changed to reflect station meter check average for the period of record. JA 11/9/09)
201,2003-04-02,12,799,0.506944444,0.513888889,19,920,15.19999981,,31,781853,801166,2,2,19296,38-26-76'N,"121-35-80""W",Towed in SDWC between lights 67 and 68.
202,2003-04-03,12,716,0.381944444,0.388888889,19,399,13.89999962,,23,801180,820516,2,1,19296,,,
203,2003-04-03,12,716,0.397222222,0.404166667,20,400,14.10000038,,20,820516,842395,2,2,19296,,,
204,2003-04-03,12,716,0.430555556,0.4375,25,407,13.80000019,,23,842395,861660,2,2,19296,,,
205,2003-04-04,12,704,0.352083333,0.359027778,30,201,14.10000038,,30,0,19163,2,2,19296,,,flowmeter stayed out too long. *(Meter Start and Meter End changed to reflect station meter check average for the period of record. JA 11/9/09)
206,2003-04-04,12,704,0.367361111,0.374305556,26,190,14.39999962,,30,0,18684,2,2,19296,,,"forgot flowmeter; datasheet comment reads: flowmeter stayed out too long, so meter end and meter start were changed to reflect the station average. LJD 06/07/2016"
207,2003-04-04,12,704,0.380555556,0.3875,25,189,14.5,,27,895260,919624,2,2,19296,,,
208,2003-04-04,12,706,0.399305556,0.40625,20,204,14.30000019,,28,919624,944144,2,2,19296,,,
209,2003-04-04,12,609,0.455555556,0.4625,11,3304,15.5,,15,944144,969605,2,1,19296,,,
210,2003-04-04,12,609,0.472222222,0.479166667,13,3172,14.69999981,,30,969605,994588,2,1,19296,,,
211,2003-04-04,12,610,0.499305556,0.50625,9,1249,15.10000038,,13,994588,18992,2,2,19296,,,
212,2003-04-14,3,801,0.322916667,0.329861111,46,393,15.10000038,,36,18997,36774,2,1,19296,,,97
213,2003-04-14,3,804,0.338888889,0.345833333,37,642,15,,21,36774,52501,2,1,19296,,,
214,2003-04-14,3,520,0.354861111,0.361805556,46,668,15,,37,52501,72407,2,2,19296,,,
215,2003-04-14,3,508,0.372916667,0.379861111,36,669,14.60000038,,40,72407,91716,2,2,19296,,,
216,2003-04-14,3,504,0.395138889,0.402083333,37,3935,15,,22,72407,108058,2,2,19296,,,
217,2003-04-14,3,411,0.418055556,0.425,48,11550,14.89999962,,20,108058,121697,4,2,19296,,,
218,2003-04-14,3,405,0.436805556,0.44375,57,16450,14.80000019,,15,121697,141790,4,2,19296,,,
219,2003-04-14,3,340,0.463194444,0.470138889,57,23340,14.60000038,,11,141790,160415,4,2,19296,,,
220,2003-04-14,3,418,0.493055556,0.5,48,236,15.39999962,,30,160415,179926,4,1,19296,,,
221,2003-04-14,3,501,0.517361111,0.524305556,36,9290,15.30000019,,31,179926,199424,4,2,19296,,,
222,2003-04-14,3,519,0.535416667,0.542361111,37,5900,15.19999981,,10,199424,217765,4,1,19296,,,
223,2003-04-15,3,715,0.403472222,0.410416667,40,319,15.30000019,,35,293912,319531,2,2,19296,,,
224,2003-04-15,3,713,0.41875,0.425694444,34,283,15,,39,319531,339212,2,1,19296,,,
225,2003-04-15,3,712,0.434722222,0.441666667,40,159,14.10000038,,12,339212,361799,2,1,19296,,,
226,2003-04-15,3,711,0.449305556,0.45625,61,162,14.80000019,,15,361799,378802,2,2,19296,,,
227,2003-04-15,3,725,0.483333333,0.490277778,32,160,14.69999981,,20,378802,394405,2,2,19296,,,
228,2003-04-15,3,716,0.383333333,0.390277778,38,423,15,,29,276560,293912,2,2,19296,,,
229,2003-04-15,3,707,0.351388889,0.358333333,42,211,15.19999981,,40,256313,276560,2,2,19296,,,
230,2003-04-15,3,704,0.3125,0.319444444,38,289,13.89999962,,35,217777,238074,2,2,19296,,,
231,2003-04-15,3,706,0.331944444,0.338888889,33,221,14.80000019,,30,238074,256313,2,2,19296,,,
232,2003-04-16,3,809,0.265972222,0.272916667,50,280,14.89999962,,48,394439,412014,2,2,19296,,,
233,2003-04-16,3,902,0.288194444,0.295138889,85,231,14.60000038,,26,412014,427594,2,2,19296,,,
234,2003-04-16,3,915,0.309027778,0.315972222,91,231,15.10000038,,26,427594,442179,2,2,19296,,,
235,2003-04-16,3,914,0.329166667,0.336111111,71,410,15.69999981,,34,442179,460372,2,2,19296,,,
236,2003-04-16,3,906,0.355555556,0.3625,97,224,15.39999962,,39,460372,478323,2,2,19296,,,
237,2003-04-16,3,910,0.374305556,0.38125,71,836,16.5,,36,478323,498993,2,2,19296,,,
238,2003-04-16,3,912,0.394444444,0.401388889,57,832,16.79999924,,37,498993,518394,2,1,19296,,,
239,2003-04-16,3,815,0.488194444,0.495138889,84,187,16,,16,518394,536895,2,2,19296,,,
