SurveySeason,StationCode,Station_Longitude,Station_Latitude,Region,SubRegion,category,CatchData,EnvData
CDFW_5_Surveys,415,-122.10772,38.05678,Far West,West Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,416,-122.09415,38.0702,Far West,West Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,417,-122.083,38.08075,Far West,West Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,418,-122.0966635,38.06617319,Far West,West Suisun Bay,deep,TRUE,TRUE
CDFW_5_Surveys,418.1,-122.06973,38.09383,Far West,West Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,419,-122.058,38.10419,West,Mid Suisun Bay,deep,TRUE,TRUE
CDFW_5_Surveys,501,-122.0257881,38.07293436,West,Mid Suisun Bay,deep,TRUE,TRUE
CDFW_5_Surveys,501.1,-122.01955,38.06167,West,Mid Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,501.2,-122.0035833,38.08822222,West,Mid Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,502,-122.00397,38.05997,West,Mid Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,503,-121.9832,38.06022,West,Mid Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,504,-121.9877575,38.05319667,West,Mid Suisun Bay,deep,TRUE,TRUE
CDFW_5_Surveys,504.1,-121.9767,38.05945,West,Mid Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,504.2,-122.0137222,38.06105556,West,Mid Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,505,-121.95597,38.05713,West,Honker Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,506,-121.944,38.05281,West,Honker Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,507,-121.939,38.05228,West,Honker Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,508,-121.9173076,38.04673727,West,Honker Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,509,-121.90412,38.04547,West,Honker Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,510,-121.88783,38.04888,West,Lower Sacramento River,very deep,TRUE,TRUE
CDFW_5_Surveys,511,-121.88,38.0513,West,Lower Sacramento River,very deep,TRUE,TRUE
CDFW_5_Surveys,512,-121.87722,38.05638,West,Lower Sacramento River,very deep,TRUE,TRUE
CDFW_5_Surveys,513,-121.8679923,38.05869701,West,Lower Sacramento River,very deep,TRUE,TRUE
CDFW_5_Surveys,514,-121.844,38.06389,West,Lower Sacramento River,deep,TRUE,TRUE
CDFW_5_Surveys,515,-122.01472,38.092,West,Mid Suisun Bay,deep,TRUE,TRUE
CDFW_5_Surveys,516,-121.99408,38.07867,West,Mid Suisun Bay,deep,TRUE,TRUE
CDFW_5_Surveys,517,-121.97938,38.07022,West,Mid Suisun Bay,deep,TRUE,TRUE
CDFW_5_Surveys,518,-121.96802,38.06875,West,Honker Bay,deep,TRUE,TRUE
CDFW_5_Surveys,519,-121.956625,38.07351878,West,Honker Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,520,-121.8663313,38.03249879,West,Lower San Joaquin River,very deep,TRUE,TRUE
CDFW_5_Surveys,601,-122.0356,38.1031,West,Mid Suisun Bay,deep,TRUE,TRUE
CDFW_5_Surveys,602,-122.0438996,38.11533863,West,Mid Suisun Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,603,-122.04805,38.11552,West,Mid Suisun Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,604,-122.05717,38.12163,West,Mid Suisun Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,605,-122.05738,38.14853,West,Suisun Marsh,deep,TRUE,TRUE
CDFW_5_Surveys,606,-122.0255682,38.16995682,West,Suisun Marsh,deep,TRUE,TRUE
CDFW_5_Surveys,607,-121.967,38.18381,West,Suisun Marsh,NA,TRUE,TRUE
CDFW_5_Surveys,608,-121.88332,38.0887,West,Suisun Marsh,deep,TRUE,TRUE
CDFW_5_Surveys,609,-121.9379187,38.16714186,West,Suisun Marsh,deep,TRUE,TRUE
CDFW_5_Surveys,610,-121.8891554,38.12039144,West,Suisun Marsh,NA,TRUE,TRUE
CDFW_5_Surveys,701,-121.83475,38.06505,West,Lower Sacramento River,very deep,TRUE,TRUE
CDFW_5_Surveys,702,-121.814,38.06111,West,Lower Sacramento River,very deep,TRUE,TRUE
CDFW_5_Surveys,703,-121.797112,38.0477912,West,Lower Sacramento River,intermediate,TRUE,TRUE
CDFW_5_Surveys,703.1,-121.79692,38.06087,West,Lower Sacramento River,very deep,TRUE,TRUE
CDFW_5_Surveys,704,-121.781838,38.06850996,West,Lower Sacramento River,very deep,TRUE,TRUE
CDFW_5_Surveys,705,-121.7088067,38.09618212,North,Sacramento River near Rio Vista,deep,TRUE,TRUE
CDFW_5_Surveys,705.1,-121.7618,38.07925,West,Lower Sacramento River,very deep,TRUE,TRUE
CDFW_5_Surveys,706,-121.7505687,38.08564151,West,Lower Sacramento River,deep,TRUE,TRUE
CDFW_5_Surveys,706.1,-121.74,38.0903,North,Sacramento River near Rio Vista,very deep,TRUE,TRUE
CDFW_5_Surveys,707,-121.7077395,38.11408363,North,Sacramento River near Rio Vista,very deep,TRUE,TRUE
CDFW_5_Surveys,708,-121.6967,38.12608,North,Sacramento River near Rio Vista,very deep,TRUE,TRUE
CDFW_5_Surveys,709,-121.69048,38.14787,North,Sacramento River near Rio Vista,very deep,TRUE,TRUE
CDFW_5_Surveys,710,-121.68228,38.162,North,Sacramento River near Rio Vista,very deep,TRUE,TRUE
CDFW_5_Surveys,711,-121.6647462,38.1775501,North,Sacramento River near Rio Vista,deep,TRUE,TRUE
CDFW_5_Surveys,712,-121.6401451,38.19091017,North,Upper Sacramento River,deep,TRUE,TRUE
CDFW_5_Surveys,713,-121.6604452,38.20675408,North,Cache Slough and Liberty Island,very deep,TRUE,TRUE
CDFW_5_Surveys,715,-121.6743119,38.22433976,North,Cache Slough and Liberty Island,very deep,TRUE,TRUE
CDFW_5_Surveys,716,-121.6840582,38.2384161,North,Cache Slough and Liberty Island,very deep,TRUE,TRUE
CDFW_5_Surveys,716.1,-121.6918348,38.25786632,North,Cache Slough and Liberty Island,deep,TRUE,TRUE
CDFW_5_Surveys,717,-121.63138,38.17017,North,Sacramento River near Ryde,deep,TRUE,TRUE
CDFW_5_Surveys,718,-121.7290278,38.25755556,North,Cache Slough and Liberty Island,deep,TRUE,TRUE
CDFW_5_Surveys,719,-121.6474836,38.3335785,North,Cache Slough and Liberty Island,very deep,TRUE,TRUE
CDFW_5_Surveys,720,-121.7792778,38.26263889,North,Cache Slough and Liberty Island,intermediate,TRUE,TRUE
CDFW_5_Surveys,721,-121.7029961,38.26836249,North,Cache Slough and Liberty Island,intermediate,TRUE,TRUE
CDFW_5_Surveys,723,-121.6725522,38.23803251,North,Cache Slough and Liberty Island,very deep,TRUE,TRUE
CDFW_5_Surveys,724,-121.5587788,38.23644131,North,Sacramento River near Ryde,deep,TRUE,TRUE
CDFW_5_Surveys,724.1,-121.6520833,38.25625,North,Cache Slough and Liberty Island,deep,TRUE,TRUE
CDFW_5_Surveys,726,-121.6438333,38.28305556,North,Cache Slough and Liberty Island,deep,TRUE,TRUE
CDFW_5_Surveys,735,-121.56968,38.33343,North,Upper Sacramento River,deep,TRUE,TRUE
CDFW_5_Surveys,736,-121.5214,38.36737,North,Upper Sacramento River,deep,TRUE,TRUE
CDFW_5_Surveys,794,-121.55618,38.56118333,North,Sacramento River Ship Channel,very deep,TRUE,TRUE
CDFW_5_Surveys,795,-121.5846521,38.53762086,North,Sacramento River Ship Channel,very deep,TRUE,TRUE
CDFW_5_Surveys,796,-121.584426,38.47368593,North,Sacramento River Ship Channel,very deep,TRUE,TRUE
CDFW_5_Surveys,797,-121.6156062,38.40467726,North,Sacramento River Ship Channel,very deep,TRUE,TRUE
CDFW_5_Surveys,801,-121.844,38.04369444,West,Lower San Joaquin River,deep,TRUE,TRUE
CDFW_5_Surveys,801.1,-121.847,38.05561,West,Lower San Joaquin River,deep,TRUE,TRUE
CDFW_5_Surveys,802,-121.8312431,38.03427918,West,Lower San Joaquin River,intermediate,TRUE,TRUE
CDFW_5_Surveys,803,-121.819,38.02219,West,Lower San Joaquin River,very deep,TRUE,TRUE
CDFW_5_Surveys,804,-121.7942485,38.01734885,West,Lower San Joaquin River,very deep,TRUE,TRUE
CDFW_5_Surveys,804.1,-121.79868,38.02308,West,Lower San Joaquin River,very deep,TRUE,TRUE
CDFW_5_Surveys,805,-121.772,38.02683,West,Lower San Joaquin River,deep,TRUE,TRUE
CDFW_5_Surveys,806,-121.7617,38.02872,West,Lower San Joaquin River,very deep,TRUE,TRUE
CDFW_5_Surveys,807,-121.73203,38.02995,West,Lower San Joaquin River,very deep,TRUE,TRUE
CDFW_5_Surveys,808,-121.71942,38.03337,West,Lower San Joaquin River,very deep,TRUE,TRUE
CDFW_5_Surveys,809,-121.6913901,38.05289076,South,San Joaquin River at Twitchell Island,very deep,TRUE,TRUE
CDFW_5_Surveys,810,-121.67622,38.07083,South,San Joaquin River at Twitchell Island,very deep,TRUE,TRUE
CDFW_5_Surveys,811,-121.66487,38.09742,South,San Joaquin River at Twitchell Island,very deep,TRUE,TRUE
CDFW_5_Surveys,812,-121.6402209,38.09011952,South,San Joaquin River at Twitchell Island,deep,TRUE,TRUE
CDFW_5_Surveys,812.1,-121.64883,38.08792,South,San Joaquin River at Twitchell Island,very deep,TRUE,TRUE
CDFW_5_Surveys,813,-121.62767,38.09978,South,San Joaquin River at Twitchell Island,very deep,TRUE,TRUE
CDFW_5_Surveys,814,-121.6022,38.10128,South,San Joaquin River at Prisoners Pt,very deep,TRUE,TRUE
CDFW_5_Surveys,815,-121.5705043,38.08374116,South,San Joaquin River at Prisoners Pt,deep,TRUE,TRUE
CDFW_5_Surveys,815.1,-121.57587,38.0913,South,San Joaquin River at Prisoners Pt,very deep,TRUE,TRUE
CDFW_5_Surveys,901,-121.612569,38.05030831,South,Franks Tract,intermediate,TRUE,TRUE
CDFW_5_Surveys,901.1,-121.6185,38.04625,South,Franks Tract,intermediate,TRUE,TRUE
CDFW_5_Surveys,902,-121.5824489,38.01987761,South,Holland Cut,deep,TRUE,TRUE
CDFW_5_Surveys,903,-121.56747,38.10628,South,North and South Forks Mokelumne River,intermediate,TRUE,TRUE
CDFW_5_Surveys,904,-121.56847,38.07828,South,San Joaquin River at Prisoners Pt,very deep,TRUE,TRUE
CDFW_5_Surveys,905,-121.55573,38.05953,South,San Joaquin River at Prisoners Pt,very deep,TRUE,TRUE
CDFW_5_Surveys,906,-121.5088313,38.05124976,South,San Joaquin River at Prisoners Pt,intermediate,TRUE,TRUE
CDFW_5_Surveys,907,-121.50056,38.0625,South,North and South Forks Mokelumne River,deep,TRUE,TRUE
CDFW_5_Surveys,908,-121.5298,38.04308,South,San Joaquin River at Prisoners Pt,very deep,TRUE,TRUE
CDFW_5_Surveys,909,-121.46705,38.02442,South,San Joaquin River near Stockton,very deep,TRUE,TRUE
CDFW_5_Surveys,910,-121.4506943,38.0031722,South,San Joaquin River near Stockton,very deep,TRUE,TRUE
CDFW_5_Surveys,911,-121.40875,37.99247,South,San Joaquin River near Stockton,very deep,TRUE,TRUE
CDFW_5_Surveys,912,-121.368415,37.96656621,South,San Joaquin River near Stockton,very deep,TRUE,TRUE
CDFW_5_Surveys,913,-121.53705,37.97012,South,Mildred Island,deep,TRUE,TRUE
CDFW_5_Surveys,914,-121.52,37.9715,South,Mildred Island,deep,TRUE,TRUE
CDFW_5_Surveys,914.1,-121.53475,37.94662,South,Middle River,deep,TRUE,TRUE
CDFW_5_Surveys,915,-121.565701,37.94339153,South,Old River,shallow,TRUE,TRUE
CDFW_5_Surveys,915.1,-121.55908,37.949,South,Old River,deep,TRUE,TRUE
CDFW_5_Surveys,916,-121.575,37.87919,South,Victoria Canal,NA,TRUE,TRUE
CDFW_5_Surveys,917,-121.52331,37.87419,South,Victoria Canal,intermediate,TRUE,TRUE
CDFW_5_Surveys,918,-121.5680414,37.85917088,South,Victoria Canal,NA,TRUE,TRUE
CDFW_5_Surveys,919,-121.4934942,38.10506057,South,North and South Forks Mokelumne River,intermediate,TRUE,TRUE
CDFW_5_Surveys,920,-121.5044545,38.14154927,South,North and South Forks Mokelumne River,deep,TRUE,TRUE
CDFW_5_Surveys,921,-121.493029,38.16530152,South,North and South Forks Mokelumne River,deep,TRUE,TRUE
CDFW_5_Surveys,922,-121.4789778,38.20453722,South,North and South Forks Mokelumne River,intermediate,TRUE,TRUE
CDFW_5_Surveys,923,-121.5646133,38.13504133,South,North and South Forks Mokelumne River,deep,TRUE,TRUE
CDFW_5_Surveys,925,-121.47947,38.14039,South,North and South Forks Mokelumne River,deep,TRUE,TRUE
DJFMP,SA010W,-122.4984841,37.9395808,NA,NA,NA,TRUE,TRUE
DJFMP,SA004W,-122.4948874,37.89139123,NA,NA,NA,TRUE,TRUE
DJFMP,SP001W,-122.4672713,38.00207391,NA,NA,NA,TRUE,TRUE
DJFMP,SA008W,-122.4668706,37.89841496,NA,NA,NA,TRUE,TRUE
DJFMP,SP000W,-122.4550107,37.99504183,NA,NA,NA,TRUE,TRUE
DJFMP,SA009E,-122.3860448,37.91779546,NA,NA,NA,TRUE,TRUE
DJFMP,SA001M,-122.3675382,37.81092979,NA,NA,NA,TRUE,TRUE
DJFMP,SP003E,-122.3596151,38.00703474,Far West,Mid San Pablo Bay,NA,TRUE,TRUE
DJFMP,SA007E,-122.3014014,37.85143906,NA,NA,NA,TRUE,TRUE
DJFMP,SB001N,-122.115107,38.059663,Far West,West Suisun Bay,deep,TRUE,TRUE
DJFMP,SB001X,-122.10818,38.050972,Far West,West Suisun Bay,deep,TRUE,TRUE
DJFMP,SB001M,-122.108137,38.0515,Far West,West Suisun Bay,deep,TRUE,TRUE
DJFMP,SB001S,-122.10333,38.045136,Far West,West Suisun Bay,very deep,TRUE,TRUE
DJFMP,SR144W,-122.014965,39.219992070000004,NA,NA,NA,TRUE,TRUE
