GearID,TowID,GearCode,MeterSerial,MeterStart,MeterEnd,MeterCheck,Comments
132,18842,2,24648,944816,965846,21030,
133,18980,2,24648,659312,678665,19353,
134,19119,2,24648,478691,501772,23081,
135,19263,2,24579,515283,536307,21024,
136,19401,2,24579,93791,115903,22112,
137,19536,2,24579,689452,710434,20982,
138,19677,2,24579,405240,427301,22061,
139,19819,2,24579,139665,163149,23484,
140,19953,2,24579,301476,324527,23051,
141,20101,2,24579,478012,500986,22974,
142,20282,2,24579,490266,513729,23463,
143,20340,2,23811,245793,267328,21535,
144,20640,2,23811,542377,564368,21991,
145,20779,2,23811,294272,317900,23628,
146,20921,2,23811,18170,37665,19495,
147,21063,2,23811,767285,789102,21817,
148,21231,2,24565,690318,709979,19661,
149,21385,2,23811,385125,408911,23786,
150,21484,2,23811,645046,668353,23307,
151,21626,2,23811,913319,935644,22325,
152,21879,2,24579,72808,95934,23126,
153,21991,2,23813,928008,950853,22845,
154,22114,2,23813,337867,361859,23992,
155,22255,2,23813,167192,191157,23965,
156,22398,2,23813,992821,19867,27046,
157,22536,2,23813,851666,879016,27350,
158,22677,2,23813,709074,731688,22614,
159,22827,2,24567,394560,418141,23581,
160,22947,2,23813,813176,837155,23979,
161,23079,2,23813,422496,446446,23950,
162,23219,2,23813,247305,270969,23664,
163,23355,2,23813,114969,137445,22476,
164,23497,2,23813,878275,903105,24830,
165,23638,2,23813,114411,137238,22827,
166,23797,2,23814,527969,552302,24333,
167,23925,2,23814,873035,896745,23710,
168,24073,2,23814,964536,987972,23436,
169,595,2,10369,327987,349694,21707,
170,711,2,11732,237485,262432,24947,
171,805,2,11732,566233,587321,21088,
172,969,2,13287,706623,727516,20893,
173,11196,2,14977,297794,319525,21731,
174,11328,2,14977,45357,65594,20237,
175,11442,2,14977,417060,439613,22553,
176,11718,2,19296,29934,51176,21242,
177,11866,2,19296,197799,218817,21018,
178,12002,2,19296,102525,123852,21327,
179,17032,2,24584,214315,237971,23656,
180,17231,2,24584,119997,140755,20758,
181,806,2,11732,441116,461868,20752,
182,974,2,13287,641837,660727,18890,
183,10942,2,14977,599193,620621,21428,
184,11200,2,14977,91250,114381,23131,
185,11331,2,14977,108546,130890,22344,
186,11445,2,14977,349249,372479,23230,
187,11721,2,19296,824272,847821,23549,
188,11869,2,19296,255061,270661,15600,
189,12006,2,19296,885440,905443,20003,
190,17036,2,24584,145063,167598,22535,
191,17232,2,24584,50240,72239,21999,
192,306,2,10369,824585,848963,24378,
193,808,2,11732,525818,547118,21300,
194,977,2,13287,828803,848129,19326,
195,11202,2,14977,231950,254320,22370,
196,11336,2,14977,986344,1006807,20463,
197,11448,2,14977,486808,511370,24562,
198,11724,2,19296,962689,984310,21621,
199,11871,2,19296,140223,162020,21797,
200,12009,2,19296,42706,62987,20281,
201,17037,2,24584,284136,306047,21911,
202,17235,2,24584,185960,206599,20639,
203,810,2,11732,483838,505257,21419,
204,978,2,13287,771151,788799,17648,
205,11205,2,14977,162115,185184,23069,
206,11339,2,14977,925484,946862,21378,
207,11451,2,14977,555621,577264,21643,
208,11727,2,19296,898510,920296,21786,
209,11876,2,19296,75333,97302,21969,
210,12011,2,19296,952985,973933,20948,
211,17040,2,24584,349331,367399,18068,
212,17238,2,24584,312161,336294,24133,
213,596,2,10369,370394,389640,19246,
214,713,2,11732,287842,309033,21191,
215,812,2,11732,397135,418801,21666,
216,982,2,13287,576815,598546,21731,
217,10947,2,14977,536769,557166,20397,
218,11208,2,14977,2110,44315,25021,
219,11340,2,14977,864927,884937,20010,
220,11454,2,14977,621892,644420,22528,
221,11730,2,19296,751816,775378,23562,
222,11877,2,19296,8426,31877,23451,
223,12015,2,19296,814559,837928,23369,
224,17043,2,24584,401733,426168,24435,
225,17241,2,24584,250745,268878,18133,
226,91,2,10369,926619,947452,20833,
227,201,2,10369,165799,186862,21063,
228,307,2,10369,753273,777498,24225,
229,408,2,10369,114823,137034,22211,
230,498,2,10369,181275,202784,21509,
231,598,2,10369,410196,431683,21487,
232,715,2,11732,330764,353770,23006,
233,816,2,11732,329909,351228,21319,
234,956,2,13287,251094,272460,21366,
235,1085,2,13287,82414,104682,22268,
236,1205,2,13287,592019,613280,21261,
237,1331,2,13287,267461,289060,21599,
238,1442,2,13291,398512,419999,21487,
239,1560,2,13287,980538,5355,24817,
240,1664,2,13287,464505,488495,23990,
241,1782,2,13287,210986,234971,23985,
242,1848,2,13327,513803,530113,16310,
243,1968,2,13327,737375,755804,18429,
244,2084,2,13327,36565,53919,17354,
245,2190,2,13327,214797,232518,17721,
246,2385,2,13327,665374,684125,18751,
247,2507,2,13327,581546,600375,18829,
248,2632,2,13327,253434,274313,20879,
249,2761,2,13327,888774,909815,21041,
250,2831,2,14958,54892,74060,19168,
251,3022,2,14958,82296,112448,30152,
252,3128,2,14958,273597,292108,18511,
253,3255,2,14958,757085,776016,18931,
254,3351,2,14958,581908,605644,23736,
255,3468,2,14958,1774,22630,20856,
256,3592,2,13327,330067,351152,21085,
257,3704,2,13327,838608,861115,22507,
258,3819,2,14977,340650,359471,18821,
259,4039,2,6150,775175,795163,19988,
260,4259,2,6150,115420,136052,20632,
261,4393,2,6150,60448,82322,21874,
262,4542,2,6150,256209,276975,20766,
263,4648,2,6150,395832,416635,20803,
264,4769,2,14982,137658,158033,20375,
265,4881,2,14982,696857,711873,15016,
266,5010,2,14982,533028,552989,19961,
267,5133,2,14982,281394,300728,19334,
268,5260,2,14982,545713,562075,16362,
269,5449,2,14982,654502,675300,20798,
270,5653,2,14979,558633,580011,21378,
271,5767,2,14979,142123,156939,14816,
272,5903,2,14979,816900,836533,19633,
273,6020,2,12945,704683,724970,20287,
274,6148,2,12945,407422,427203,19781,
275,6281,2,12945,333122,353052,19930,
276,6524,2,12945,614645,634287,19642,
277,6645,2,12945,184738,204833,20095,
278,6770,2,12945,889944,910834,20890,
279,6887,2,13291,206297,224258,17961,
280,7031,2,9794,804437,821933,17496,
281,7151,2,9794,506070,526117,20047,
282,7276,2,9794,245721,266936,21215,
283,7399,2,9794,907360,925989,18629,
284,7526,2,9794,615360,635839,20479,
285,7646,2,9794,156389,175019,18630,
286,7848,2,12204,415180,439804,24624,
287,7982,2,12441,328800,351416,22616,
288,8101,2,12441,106070,127513,21443,
289,8222,2,12441,821472,842665,21193,
290,8336,2,12441,511029,532487,21458,
291,8468,2,12441,410414,432262,21848,
292,8576,2,14982,526608,548282,21674,
293,8705,2,14982,459522,478837,19315,
294,9034,2,12994,787496,811031,23535,
295,9153,2,12994,598538,619737,21199,
296,9279,2,12994,433460,456843,23383,
297,9398,2,12994,188470,211068,22598,
298,9619,2,16976,232979,252469,19490,
299,9736,2,16976,294458,316169,21711,
300,9838,2,14979,723920,747576,23656,
301,9979,2,14979,160181,183781,23600,
302,10099,2,14979,51194,75576,24382,
303,10227,2,14979,282769,304926,22157,
304,10344,2,12994,259264,281021,21757,
305,10589,2,14958,905327,927805,22478,
306,10715,2,14958,785219,801602,16383,
307,10924,2,14977,177233,197137,19904,
308,11035,2,19299,505052,525246,20194,
309,11172,2,14977,521509,545804,24295,
310,11307,2,14977,356275,377937,21662,
311,11457,2,14977,690285,713304,23019,
312,11589,2,14977,598390,622100,23710,
313,11697,2,19296,234902,257296,22394,
314,11847,2,19296,673541,694130,20589,
315,11982,2,19296,432562,454160,21598,
316,12218,2,12441,438630,458904,20274,
317,12340,2,12441,473207,495105,21898,
318,12464,2,12441,342494,365501,23007,
319,12574,2,12441,12536,35555,23019,
320,12679,2,21920,461176,482318,21142,
321,12812,2,21920,312808,333642,20834,
322,12934,2,21920,36636,54947,18311,
323,13050,2,14958,463492,488675,25183,
324,13214,2,21920,791359,810343,18984,
325,13362,2,21920,112381,134541,22160,
326,13495,2,21920,185795,208903,23108,
327,13636,2,14979,721989,744354,22365,
328,13975,2,14977,799227,820357,21130,
329,14105,2,14977,887130,910683,23553,
330,14244,2,14977,350219,371631,21412,
331,14390,2,21920,95966,118593,22627,
332,14503,2,23286,69943,94115,24172,
333,14772,2,21920,401688,422938,21250,
334,14881,2,23286,791661,815751,24090,
335,15127,2,23286,883248,905084,21836,
336,15281,2,21920,540060,562573,22513,
337,15416,2,23286,605841,629060,23219,
338,15550,2,23749,112911,136023,23112,
339,15675,2,23749,555831,576876,21045,
340,15837,2,23813,248094,269681,21587,
341,16007,2,23749,166381,189032,22651,
342,16120,2,23813,537824,560029,22205,
343,16259,2,23813,153873,175438,21565,
344,16397,2,23813,143330,165223,21893,
345,16569,2,22865,116475,139315,22840,
346,16712,2,24596,165430,187474,22044,
347,16862,2,24584,796942,819665,22723,
348,16990,2,24584,353058,375801,22743,
349,17074,2,24584,474899,499689,24790,
350,17272,2,24584,457679,481905,24226,
351,17433,2,24596,154987,177042,22055,
352,17572,2,24596,886916,910874,23958,
353,17714,2,24596,739155,763990,24835,
354,17853,2,24596,651013,676776,25763,
355,17991,2,24653,133613,155930,22317,
356,18139,2,24648,318586,341252,22666,
357,18278,2,24648,96087,117643,21556,
358,18417,2,24648,952251,975038,22787,
359,18559,2,24648,724935,747637,22702,
360,18684,2,24648,582528,605602,23074,
361,18845,2,24648,9748,32937,23189,
362,18982,2,24648,721266,742974,21708,
363,19122,2,24648,548876,572376,23500,
364,19266,2,24579,579946,600817,20871,
365,19404,2,24579,159875,181291,21416,
366,19539,2,24579,95067,117843,22776,
367,19681,2,24579,472736,494722,21986,
368,19822,2,24579,212576,235427,22851,
369,19956,2,24579,374070,397075,23005,
370,20103,2,24579,47958,71825,23867,
371,20241,2,24579,853145,876190,23045,
372,20345,2,23811,309570,330023,20453,
373,20643,2,23811,611542,634320,22778,
374,20783,2,23811,361939,384428,22489,
375,20923,2,23811,79762,102064,22302,
376,21064,2,23811,835982,857603,21621,
377,21234,2,24565,778667,800265,21598,
378,21343,2,23811,947762,970738,22976,
379,21486,2,23811,716406,739552,23146,
380,21627,2,23811,493795,516258,22463,
381,21882,2,24579,144077,167933,23856,
382,22117,2,23813,411246,435086,23840,
383,22258,2,23813,240813,265730,24917,
384,22399,2,23813,69966,95124,25158,
385,22539,2,23813,934649,961585,26936,
386,22680,2,23813,778151,801421,23270,
387,22830,2,24567,467598,493375,25777,
388,22949,2,23813,886277,911144,24867,
389,23083,2,23813,495516,519364,23848,
390,23222,2,23813,317575,340457,22882,
391,23359,2,23813,185815,208985,23170,
392,23498,2,23813,952095,975455,23360,
393,23641,2,23813,45333,68365,23032,
394,23767,2,23813,520675,544971,24296,
395,23929,2,23814,943894,966956,23062,
396,24076,2,23814,892087,916143,24056,
397,1088,2,13287,147615,170295,22680,
398,1208,2,13287,656033,677230,21197,
399,1093,2,13287,213271,233418,20147,
400,1211,2,13287,719496,739235,19739,
401,1334,2,13287,331251,351912,20661,
402,1445,2,13291,463474,484226,20752,
403,1563,2,13287,53642,76925,23283,
404,1669,2,13287,534944,557510,22566,
405,1787,2,13287,282972,306635,23663,
406,1851,2,13327,564259,577165,12906,
407,1971,2,13327,799896,819679,19783,
408,2087,2,13327,96481,112909,16428,
409,2193,2,13327,275176,294939,19763,
410,2388,2,13327,728140,749460,21320,
411,2510,2,13327,636758,658960,22202,
412,2635,2,13327,316142,337121,20979,
413,2765,2,13327,952572,973923,21351,
414,2834,2,14958,112761,130277,17516,
415,3024,2,14958,279770,286648,6878,
416,3130,2,14958,,,,
417,3256,2,14958,820463,832278,11815,
418,3353,2,14958,655840,680750,24910,
419,3471,2,14958,63294,82793,19499,
420,3594,2,13327,397176,408702,11526,
421,3707,2,13327,905182,927508,22326,
422,3820,2,14977,66750,88441,21691,
423,4042,2,6150,839954,861205,21251,
424,4261,2,6150,178681,199261,20580,
425,4396,2,6150,125000,149360,24360,
426,4545,2,6150,318064,339022,20958,
427,4651,2,6150,461639,483835,22196,
428,4772,2,14982,198501,220643,22142,
429,4884,2,14982,752115,773164,21049,
430,5011,2,14982,591604,613883,22279,
431,5137,2,14982,335270,356410,21140,
432,5284,2,14982,596044,615283,19239,
433,5468,2,14982,875047,893024,17977,
434,5656,2,14979,622580,635636,13056,
435,5770,2,14979,99272,109967,10695,
436,5906,2,14979,877040,887721,10681,
437,6023,2,12945,766961,789501,22540,
438,6151,2,12945,467425,489100,21675,
439,6284,2,12945,392252,411900,19648,
440,6396,2,12945,173723,194080,20357,
441,6527,2,12945,676002,694774,18772,
442,6650,2,12945,244636,265664,21028,
443,6771,2,12945,953995,977161,23166,
444,6890,2,13291,289202,312352,23150,
445,7034,2,9794,857635,879500,21865,
446,7156,2,9794,567711,587698,19987,
447,7279,2,9794,308218,332523,24305,
448,7402,2,9794,966856,988026,21170,
449,7528,2,9794,675820,698420,22600,
450,7649,2,9794,216630,238537,21907,
451,7851,2,12204,477519,501052,23533,
452,7985,2,12441,399770,423290,23520,
453,8104,2,12441,164564,186504,21940,
454,8225,2,12441,886299,910323,24024,
455,8341,2,12441,576912,600548,23636,
456,8473,2,14982,24454,47721,23267,
457,8579,2,14982,592282,614419,22137,
458,8708,2,14982,519925,541313,21388,
459,9037,2,12994,858154,883020,24866,
460,9157,2,12994,663574,686726,23152,
461,9282,2,12994,503052,526919,23867,
462,9401,2,12994,258539,284250,25711,
463,9622,2,16976,296090,319031,22941,
464,9739,2,16976,358917,382855,23938,
465,9841,2,14979,794811,816979,22168,
466,9983,2,14979,232125,254645,22520,
467,10102,2,14979,123901,148047,24146,
468,10231,2,14979,350676,375265,24589,
469,10347,2,12994,324566,348126,23560,
470,10463,2,14958,990682,13794,23112,
471,10592,2,14958,972525,994773,22248,
472,10718,2,14958,842553,868200,25647,
473,10927,2,14977,238198,258722,20524,
474,11038,2,19299,563735,585655,21920,
475,11177,2,14977,593145,616218,23073,
476,11310,2,14977,422879,446160,23281,
477,11466,2,14977,160327,182176,21849,
478,11592,2,14977,667519,691009,23490,
479,11701,2,19296,308327,332693,24366,
480,11850,2,19296,732430,753543,21113,
481,11985,2,19296,497862,520361,22499,
482,12223,2,12441,513008,536936,23928,
483,12343,2,12441,542416,566704,24288,
484,12466,2,12441,411903,435719,23816,
485,12683,2,21920,529645,553791,24146,
486,12815,2,21920,377760,400760,23000,
487,12937,2,21920,97255,115871,18616,
488,13218,2,21920,868384,891735,23351,
489,13363,2,21920,177353,200617,23264,
490,13498,2,21920,255707,279502,23795,
491,13640,2,14979,791089,814979,23890,
492,13978,2,14977,866411,890010,23599,
493,14108,2,14977,954291,977067,22776,
494,14248,2,14977,278795,302758,23963,
495,14393,2,21920,164195,188178,23983,
496,14504,2,23286,148656,172865,24209,
497,14776,2,21920,467330,488681,21351,
498,14893,2,23286,932269,956615,24346,
499,15013,2,23286,292621,317055,24434,
500,15129,2,23286,947619,970934,23315,
501,15284,2,21920,214948,235477,20529,
502,15419,2,23286,255632,278502,22870,
503,15554,2,23749,183062,207149,24087,
504,15678,2,23749,617374,640372,22998,
505,15842,2,23813,317228,339831,22603,
506,16010,2,23749,240459,262615,22156,
507,16121,2,23813,602404,624483,22079,
508,16262,2,23813,221674,244864,23190,
509,16400,2,23813,73711,96064,22353,
510,16713,2,24596,234467,257224,22757,
511,16863,2,24584,866185,889985,23800,
512,16993,2,24584,422599,447125,24526,
513,17077,2,24584,546313,572844,26531,
514,17276,2,24584,530294,555228,24934,
515,17436,2,24596,219106,242385,23279,
516,17574,2,24596,957706,981167,23461,
517,17715,2,24596,811405,835573,24168,
518,17857,2,24596,729677,756717,27040,
519,17995,2,24653,201309,225275,23966,
520,18143,2,24648,386828,409869,23041,
521,18281,2,24648,162467,187008,24541,
522,18421,2,24648,23046,47654,24608,
523,18561,2,24648,792532,815039,22507,
524,18687,2,24648,488103,511325,23222,
525,18848,2,24648,87270,112546,25276,
526,18984,2,24648,789691,813925,24234,
527,19125,2,24648,618233,642762,24529,
528,19269,2,24579,644628,666045,21417,
529,19407,2,24579,226313,248433,22120,
530,19542,2,24579,29296,51672,22376,
531,19685,2,24579,540832,563577,22745,
532,19824,2,24579,282446,306605,24159,
533,19959,2,24579,445471,470106,24635,
534,20108,2,24579,119125,143412,24287,
535,20245,2,24579,923306,947305,23999,
536,20348,2,23811,370306,391641,21335,
537,20646,2,23811,680773,704523,23750,
538,20787,2,23811,428475,452735,24260,
539,20926,2,23811,148042,171978,23936,
540,21068,2,23811,905862,930062,24200,
541,21238,2,24565,843704,864961,21257,
542,21346,2,23811,18129,42627,24498,
543,21491,2,23811,787401,811943,24542,
544,21632,2,23811,562662,587582,24920,
545,21884,2,24579,215210,238431,23221,
546,22120,2,23813,484148,508171,24023,
547,22261,2,23813,316357,341692,25335,
548,22402,2,23813,145176,170061,24885,
549,22543,2,23813,11818,36999,25181,
550,22684,2,23813,846467,871432,24965,
551,22835,2,24567,543075,568432,25357,
552,22953,2,23813,960651,985144,24493,
553,23085,2,23813,565784,589351,23567,
554,23226,2,23813,387095,411326,24231,
555,23360,2,23813,254565,278535,23970,
556,23503,2,23813,22906,47316,24410,
557,23642,2,23813,970505,995966,25461,
558,23770,2,23813,443713,469065,25352,
559,23930,2,23814,14335,39276,24941,
560,24077,2,23814,819286,843671,24385,
561,1096,2,13287,271920,292437,20517,
562,1214,2,13287,781083,800319,19236,
563,1335,2,13287,395971,415223,19252,
564,1450,2,13291,527897,546408,18511,
565,1564,2,13287,125954,150419,24465,
566,1672,2,13287,604379,627555,23176,
567,1790,2,13287,355156,379048,23892,
568,1856,2,13327,612475,625939,13464,
569,1974,2,13327,859598,879657,20059,
570,2088,2,13327,135707,155869,20162,
571,2196,2,13327,408223,418510,10287,
572,2393,2,13327,796115,815156,19041,
573,2513,2,13327,700649,719009,18360,
574,2638,2,13327,378556,399282,20726,
575,2768,2,13327,19231,40677,21446,
576,2837,2,14958,170294,189572,19278,
577,3025,2,14958,179107,188485,9378,
578,3132,2,14958,444968,451315,6347,
579,3258,2,14958,832309,842218,9909,
580,3356,2,14958,710497,725423,14926,
581,3474,2,14958,121059,140757,19698,
582,3595,2,13327,408759,423010,14251,
583,3709,2,13327,954095,975924,21829,
584,3823,2,14977,127520,149185,21665,
585,4047,2,6150,907744,929856,22112,
586,4265,2,6150,242265,263678,21413,
587,4400,2,6150,195597,217010,21413,
588,4546,2,6150,339022,359205,20183,
589,4654,2,6150,530122,551579,21457,
590,4777,2,14982,265536,286261,20725,
591,4885,2,14982,815620,838021,22401,
592,5014,2,14982,655319,675837,20518,
593,5138,2,14982,397574,417160,19586,
594,5287,2,14982,638453,648134,9681,
595,5470,2,14982,845894,854997,9103,
596,5661,2,14979,661247,672863,11616,
597,5771,2,14979,51176,61709,10533,
598,5911,2,14979,910726,920809,10083,
599,6026,2,12945,833409,854702,21293,
600,6153,2,12945,532189,551991,19802,
601,6285,2,12945,453251,473214,19963,
602,6531,2,12945,737445,757459,20014,
603,6653,2,12945,309829,330292,20463,
604,6774,2,12945,21030,43176,22146,
605,6892,2,13291,360406,382293,21887,
606,7035,2,9794,927090,949427,22337,
607,7159,2,9794,629251,650259,21008,
608,7281,2,9794,378351,403020,24669,
609,7405,2,9794,29016,48728,19712,
610,7652,2,9794,280780,302998,22218,
611,7854,2,12204,547112,569336,22224,
612,7987,2,12441,469189,490953,21764,
613,8105,2,12441,219660,241076,21416,
614,8228,2,12441,954930,977161,22231,
615,8344,2,12441,647234,669365,22131,
616,8476,2,14982,93804,117288,23484,
617,8582,2,14982,659526,681749,22223,
618,8711,2,14982,583122,605188,22066,
619,9041,2,12994,931792,953081,21289,
620,9160,2,12994,732980,754426,21446,
621,9285,2,12994,576599,598327,21728,
622,9402,2,12994,332468,355277,22809,
623,9624,2,16976,370814,391189,20375,
624,9844,2,14979,864672,888249,23577,
625,9986,2,14979,300698,324339,23641,
626,10104,2,14979,195907,222178,26271,
627,10234,2,14979,425285,446885,21600,
628,10350,2,12994,393784,417817,24033,
629,10466,2,14958,62519,86568,24049,
630,10595,2,14958,40218,63273,23055,
631,10721,2,14958,917392,939665,22273,
632,10930,2,14977,301175,319802,18627,
633,11042,2,19299,630077,652258,22181,
634,11180,2,14977,663574,686240,22666,
635,11313,2,14977,491732,513398,21666,
636,11469,2,14977,897207,922733,25526,
637,11595,2,14977,742636,765587,22951,
638,11704,2,19296,383276,406656,23380,
639,11853,2,19296,797389,818808,21419,
640,11987,2,19296,565800,587752,21952,
641,12226,2,12441,584638,606885,22247,
642,12346,2,12441,615896,638495,22599,
643,12471,2,12441,483997,507408,23411,
644,12687,2,21920,600638,623686,23048,
645,12817,2,21920,447999,471975,23976,
646,12940,2,21920,159509,180104,20595,
647,13219,2,21920,937336,959707,22371,
648,13366,2,21920,245168,267493,22325,
649,13501,2,21920,328089,350554,22465,
650,13642,2,14979,862338,885221,22883,
651,13981,2,14977,936062,957707,21645,
652,14111,2,14977,22309,42702,20393,
653,14250,2,14977,212116,232321,20205,
654,14394,2,21920,236643,260940,24297,
655,14508,2,23286,221429,245685,24256,
656,14777,2,21920,535814,557703,21889,
657,14896,2,23286,8901,34851,25950,
658,15018,2,23286,368751,393004,24253,
659,15134,2,23286,35049,57710,22661,
660,15289,2,21920,279396,300997,21601,
661,15423,2,23286,328552,351057,22505,
662,15558,2,23749,255065,277707,22642,
663,15681,2,23749,685881,704559,18678,
664,15845,2,23813,382783,406101,23318,
665,16013,2,23749,307134,329117,21983,
666,16126,2,23813,667979,689481,21502,
667,16265,2,23813,293064,314636,21572,
668,16403,2,23813,7063,29418,22355,
669,16718,2,24596,306123,328569,22446,
670,16867,2,24584,938111,960712,22601,
671,16995,2,24584,496305,519704,23399,
672,17079,2,24584,623891,647422,23531,
673,17277,2,24584,603035,626700,23665,
674,17439,2,24596,289438,310860,21422,
675,17577,2,24596,28679,52756,24077,
676,17718,2,24596,886304,910250,23946,
677,17860,2,24596,807010,831005,23995,
678,17999,2,24653,273677,296424,22747,
679,18146,2,24648,459303,482853,23550,
680,18284,2,24648,234203,256857,22654,
681,18424,2,24648,97071,121039,23968,
682,18566,2,24648,861953,884357,22404,
683,18690,2,24648,415117,438659,23542,
684,18849,2,24648,161098,182791,21693,
685,18988,2,24648,885674,909880,24206,
686,19130,2,24648,692141,714896,22755,
687,19273,2,24579,734133,756435,22302,
688,19410,2,24579,292881,313560,20679,
689,19546,2,24579,960633,983323,22690,
690,19686,2,24579,610079,632343,22264,
691,19827,2,24579,355565,378642,23077,
692,19962,2,24579,518130,542205,24075,
693,20109,2,24579,404052,427149,23097,
694,20248,2,24579,996292,19760,23468,
695,20349,2,23811,433779,455120,21341,
696,20651,2,23811,752351,776659,24308,
697,20788,2,23811,500615,524003,23388,
