SurveySeason,StationCode,Year,SampleDate,TowNumber,Salinity_ppt,Temperature_c,Turbidity_ntu,Secchi_cm,Volume_m3,Delta_Smelt,Longfin_Smelt
20mm,902,1999,1999-07-06T07:00:00Z,1,0.04,22.29999924,NA,68,816.677457,0,0
20mm,902,1999,1999-07-06T07:00:00Z,2,0.04,22.29999924,NA,68,805.396709,0,0
20mm,902,1999,1999-07-06T07:00:00Z,3,0.04,22.29999924,NA,68,848.9777281,0,0
20mm,902,1999,1999-07-19T07:00:00Z,1,0.065,20.5,NA,48,766.4416082,0,0
20mm,902,1999,1999-07-19T07:00:00Z,2,0.065,20.5,NA,48,713.3247052,0,0
20mm,902,2000,2000-03-20T08:00:00Z,1,0.073,13.69999981,NA,24,698.9194335,0,0
20mm,902,2000,2000-03-20T08:00:00Z,2,0.073,13.69999981,NA,24,967.1415338,0,0
20mm,902,2000,2000-04-03T07:00:00Z,1,0.051,16,NA,90,836.2361638,0,0
20mm,902,2000,2000-04-03T07:00:00Z,2,0.051,16,NA,90,868.1306526,0,1
20mm,902,2000,2000-04-03T07:00:00Z,3,0.051,16,NA,90,877.9911625,0,0
20mm,902,2000,2000-04-17T07:00:00Z,1,0.043,15.60000038,NA,78,937.1948001,0,0
20mm,902,2000,2000-04-17T07:00:00Z,2,0.043,15.60000038,NA,78,946.7306841,0,0
20mm,902,2000,2000-04-17T07:00:00Z,3,0.043,15.60000038,NA,78,960.2432347,0,0
20mm,902,2000,2000-05-01T07:00:00Z,1,0.079,17.5,NA,95,883.55038,1,0
20mm,902,2000,2000-05-01T07:00:00Z,2,0.079,17.5,NA,95,863.9105167,0,0
20mm,902,2000,2000-05-01T07:00:00Z,3,0.079,17.5,NA,95,925.6300045,0,0
20mm,902,2000,2000-05-07T07:00:00Z,1,0.072,16.60000038,NA,93,988.3639481,0,1
20mm,902,2000,2000-05-15T07:00:00Z,1,0.077,16.79999924,NA,70,924.6967052,0,0
20mm,902,2000,2000-05-15T07:00:00Z,2,0.077,16.79999924,NA,70,933.0558206,2,0
20mm,902,2000,2000-05-15T07:00:00Z,3,0.077,16.79999924,NA,70,953.060888,0,0
20mm,902,2000,2000-05-22T07:00:00Z,1,0.071,22.29999924,NA,110,949.1247997,0,0
20mm,902,2000,2000-05-22T07:00:00Z,2,0.071,22.29999924,NA,110,950.9913983,0,0
20mm,902,2000,2000-05-29T07:00:00Z,1,0.074,21.29999924,NA,100,827.6335791,0,0
20mm,902,2000,2000-05-29T07:00:00Z,2,0.074,21.29999924,NA,100,917.3520456,0,0
20mm,902,2000,2000-05-29T07:00:00Z,3,0.074,21.29999924,NA,100,856.2818095,0,0
20mm,902,2000,2000-06-05T07:00:00Z,1,0.04,19.70000076,NA,45,929.2008888,0,0
20mm,902,2000,2000-06-05T07:00:00Z,2,0.04,19.70000076,NA,45,950.7885071,1,0
20mm,902,2000,2000-06-12T07:00:00Z,1,0.042,20.39999962,NA,80,975.0948669,0,0
20mm,902,2000,2000-06-12T07:00:00Z,2,0.042,20.39999962,NA,80,970.7529963,0,0
20mm,902,2000,2000-06-12T07:00:00Z,3,0.042,20.39999962,NA,80,965.3966699,0,0
20mm,902,2000,2000-06-26T07:00:00Z,1,0.054,22.39999962,NA,78,917.9201408,0,0
20mm,902,2000,2000-06-26T07:00:00Z,2,0.054,22.39999962,NA,78,916.9056851,0,0
20mm,902,2000,2000-06-26T07:00:00Z,3,0.054,22.39999962,NA,78,901.4859577,1,0
20mm,902,2000,2000-07-10T07:00:00Z,1,0.059,22.39999962,NA,83,1018.148369,0,0
20mm,902,2000,2000-07-10T07:00:00Z,3,0.059,22.39999962,NA,83,957.1998675,0,0
20mm,902,2001,2001-03-19T08:00:00Z,1,0.096,14.89999962,NA,67,907.4915357,0,0
20mm,902,2001,2001-03-19T08:00:00Z,2,0.096,14.89999962,NA,67,866.7104146,0,0
20mm,902,2001,2001-03-19T08:00:00Z,3,0.096,14.89999962,NA,67,742.3381396,0,0
20mm,902,2001,2001-04-02T07:00:00Z,1,0.091,16,NA,65,929.1603105,0,0
20mm,902,2001,2001-04-02T07:00:00Z,2,0.091,16,NA,65,728.5009632,0,1
20mm,902,2001,2001-04-02T07:00:00Z,3,0.091,16,NA,65,867.319088,0,0
20mm,902,2001,2001-04-16T07:00:00Z,1,0.062,14.89999962,NA,97,855.673136,0,1
20mm,902,2001,2001-04-16T07:00:00Z,2,0.062,14.89999962,NA,97,908.3031003,0,1
20mm,902,2001,2001-04-16T07:00:00Z,3,0.062,14.89999962,NA,97,908.0190527,0,0
20mm,902,2001,2001-04-30T07:00:00Z,1,0.075,17.89999962,NA,62,847.4763336,0,8
20mm,902,2001,2001-04-30T07:00:00Z,2,0.075,17.89999962,NA,62,912.1174539,1,0
20mm,902,2001,2001-04-30T07:00:00Z,3,0.075,17.89999962,NA,62,875.7593599,7,0
20mm,902,2001,2001-05-14T07:00:00Z,1,0.1,19.70000076,NA,43,883.7532712,0,0
20mm,902,2001,2001-05-14T07:00:00Z,2,0.1,19.70000076,NA,43,911.0218417,2,0
20mm,902,2001,2001-05-14T07:00:00Z,3,0.1,19.70000076,NA,43,930.2153445,5,0
20mm,902,2001,2001-05-29T07:00:00Z,1,0.105,20.60000038,NA,43,874.7854823,0,0
20mm,902,2001,2001-05-29T07:00:00Z,2,0.105,20.60000038,NA,43,912.0768757,1,0
20mm,902,2001,2001-05-29T07:00:00Z,3,0.105,20.60000038,NA,43,898.4831687,0,0
20mm,902,2001,2001-06-11T07:00:00Z,1,0.115,21.5,NA,60,949.4494255,0,0
20mm,902,2001,2001-06-11T07:00:00Z,2,0.115,21.5,NA,60,895.3180667,0,0
20mm,902,2001,2001-06-11T07:00:00Z,3,0.115,21.5,NA,60,894.3441892,0,0
20mm,902,2001,2001-06-25T07:00:00Z,1,0.113,22.79999924,NA,48,875.06953,0,0
20mm,902,2001,2001-06-25T07:00:00Z,2,0.113,22.79999924,NA,48,895.6832708,0,0
20mm,902,2001,2001-06-25T07:00:00Z,3,0.113,22.79999924,NA,48,875.434734,0,0
20mm,902,2001,2001-07-09T07:00:00Z,1,0.142,22.39999962,NA,55,391.1741372,0,0
20mm,902,2001,2001-07-09T07:00:00Z,2,0.142,22.39999962,NA,55,903.9612297,0,0
20mm,902,2001,2001-07-09T07:00:00Z,3,0.142,22.39999962,NA,55,924.5749706,0,0
20mm,902,2002,2002-03-18T08:00:00Z,2,0.098,10,NA,31,987.4712271,0,11
20mm,902,2002,2002-03-18T08:00:00Z,3,0.098,10,NA,31,971.6862956,0,0
20mm,902,2002,2002-04-02T08:00:00Z,1,0.077,16.29999924,NA,82,862.0844964,0,4
20mm,902,2002,2002-04-02T08:00:00Z,2,0.077,16.29999924,NA,82,869.8755165,0,8
20mm,902,2002,2002-04-02T08:00:00Z,3,0.077,16.29999924,NA,82,909.0335085,2,2
20mm,902,2002,2002-04-15T07:00:00Z,1,0.072,16.10000038,NA,26,866.0205847,1,13
20mm,902,2002,2002-04-15T07:00:00Z,2,0.072,16.10000038,NA,26,903.6366039,3,10
20mm,902,2002,2002-04-15T07:00:00Z,3,0.072,16.10000038,NA,26,886.2285432,0,6
20mm,902,2002,2002-04-29T07:00:00Z,1,0.076,15.80000019,NA,65,872.8377273,0,4
20mm,902,2002,2002-04-29T07:00:00Z,2,0.076,15.80000019,NA,65,875.2724211,0,2
20mm,902,2002,2002-04-29T07:00:00Z,3,0.076,15.80000019,NA,65,846.9488166,0,2
20mm,902,2002,2002-05-13T07:00:00Z,1,0.092,17.89999962,NA,63,931.4732697,0,0
20mm,902,2002,2002-05-13T07:00:00Z,2,0.092,17.89999962,NA,63,936.5049702,1,0
20mm,902,2002,2002-05-13T07:00:00Z,3,0.092,17.89999962,NA,63,911.427624,2,0
20mm,902,2002,2002-05-28T07:00:00Z,1,0.096,19.79999924,NA,67,904.9351072,0,0
20mm,902,2002,2002-05-28T07:00:00Z,2,0.096,19.79999924,NA,67,902.8656175,0,0
20mm,902,2002,2002-05-28T07:00:00Z,3,0.096,19.79999924,NA,67,898.6860598,0,0
20mm,902,2002,2002-06-10T07:00:00Z,1,0.077,20,NA,21,910.0479642,1,0
20mm,902,2002,2002-06-10T07:00:00Z,2,0.077,20,NA,21,891.4631349,0,0
20mm,902,2002,2002-06-10T07:00:00Z,3,0.077,20,NA,21,870.321877,0,0
20mm,902,2002,2002-06-24T07:00:00Z,1,0.079,21.89999962,NA,64,905.6655154,1,0
20mm,902,2002,2002-06-24T07:00:00Z,2,0.079,21.89999962,NA,64,820.1671848,0,0
20mm,902,2002,2002-06-24T07:00:00Z,3,0.079,21.89999962,NA,64,924.6155488,0,0
20mm,902,2003,2003-03-24T08:00:00Z,1,0.074,15,NA,110,1048.338572,1,0
20mm,902,2003,2003-03-24T08:00:00Z,2,0.074,15,NA,110,993.5985398,0,0
20mm,902,2003,2003-03-24T08:00:00Z,3,0.074,15,NA,110,1009.992145,0,0
20mm,902,2003,2003-04-07T07:00:00Z,1,0.074,14.19999981,NA,83,958.0925885,0,0
20mm,902,2003,2003-04-07T07:00:00Z,2,0.074,14.19999981,NA,83,928.7545282,0,2
20mm,902,2003,2003-04-07T07:00:00Z,3,0.074,14.19999981,NA,83,968.3183025,0,0
20mm,902,2003,2003-04-21T07:00:00Z,1,0.064,15.30000019,NA,82,756.6216766,0,0
20mm,902,2003,2003-04-21T07:00:00Z,2,0.064,15.30000019,NA,82,805.7213349,0,0
20mm,902,2003,2003-04-21T07:00:00Z,3,0.064,15.30000019,NA,82,867.0350404,0,0
20mm,902,2003,2003-05-05T07:00:00Z,1,0.084,15.89999962,NA,88,985.2394244,0,0
20mm,902,2003,2003-05-05T07:00:00Z,2,0.084,15.89999962,NA,88,931.6355826,0,0
20mm,902,2003,2003-05-05T07:00:00Z,3,0.084,15.89999962,NA,88,936.5861266,1,0
20mm,902,2003,2003-05-19T07:00:00Z,2,0.066,18,NA,51,924.4126576,0,0
20mm,902,2003,2003-05-19T07:00:00Z,3,0.066,18,NA,51,864.1134079,1,0
20mm,902,2003,2003-06-02T07:00:00Z,1,0.043,22,NA,80,917.8795626,0,0
20mm,902,2003,2003-06-02T07:00:00Z,2,0.043,22,NA,80,963.4083367,0,0
20mm,902,2003,2003-06-02T07:00:00Z,3,0.043,22,NA,80,950.8696636,0,0
20mm,902,2003,2003-06-16T07:00:00Z,1,0.028,20.89999962,NA,86,881.7649379,0,0
20mm,902,2003,2003-06-16T07:00:00Z,2,0.028,20.89999962,NA,86,920.3954129,0,0
20mm,902,2003,2003-06-16T07:00:00Z,3,0.028,20.89999962,NA,86,901.6482706,1,0
20mm,902,2003,2003-06-30T07:00:00Z,1,0.03,22,NA,92,881.5620468,0,0
20mm,902,2003,2003-06-30T07:00:00Z,2,0.03,22,NA,92,900.9178625,0,0
20mm,902,2003,2003-06-30T07:00:00Z,3,0.03,22,NA,92,969.7791188,0,0
20mm,902,2004,2004-03-29T08:00:00Z,1,0.054,17.5,NA,140,932.8935077,0,0
20mm,902,2004,2004-03-29T08:00:00Z,2,0.054,17.5,NA,140,917.4332021,0,0
20mm,902,2004,2004-03-29T08:00:00Z,3,0.054,17.5,NA,140,963.9764319,0,0
20mm,902,2004,2004-04-12T07:00:00Z,1,0.049,16.79999924,NA,81,958.4172144,0,0
20mm,902,2004,2004-04-12T07:00:00Z,2,0.049,16.79999924,NA,81,869.3885778,0,0
20mm,902,2004,2004-04-12T07:00:00Z,3,0.049,16.79999924,NA,81,976.1499009,0,0
20mm,902,2004,2004-04-26T07:00:00Z,1,0.046,18.89999962,NA,102,960.283813,0,0
20mm,902,2004,2004-04-26T07:00:00Z,2,0.046,18.89999962,NA,102,914.4304131,1,0
20mm,902,2004,2004-04-26T07:00:00Z,3,0.046,18.89999962,NA,102,926.4821474,0,0
20mm,902,2004,2004-05-10T07:00:00Z,1,0.072,18.79999924,NA,50,889.9211621,0,0
20mm,902,2004,2004-05-10T07:00:00Z,2,0.072,18.79999924,NA,50,943.1192217,0,0
20mm,902,2004,2004-05-10T07:00:00Z,3,0.072,18.79999924,NA,50,969.0081324,2,0
20mm,902,2004,2004-05-24T07:00:00Z,1,0.086,19.89999962,NA,89,958.2954797,0,0
20mm,902,2004,2004-05-24T07:00:00Z,2,0.086,19.89999962,NA,89,970.5501051,0,0
20mm,902,2004,2004-05-24T07:00:00Z,3,0.086,19.89999962,NA,89,975.1354451,0,0
20mm,902,2004,2004-06-11T07:00:00Z,1,0.159,20.79999924,NA,76,874.2579654,0,0
20mm,902,2004,2004-06-11T07:00:00Z,2,0.159,20.79999924,NA,76,910.4131683,0,0
20mm,902,2004,2004-06-11T07:00:00Z,3,0.159,20.79999924,NA,76,881.0345298,0,0
20mm,902,2004,2004-06-21T07:00:00Z,1,0.197,21.79999924,NA,77,858.310721,0,0
20mm,902,2004,2004-06-21T07:00:00Z,2,0.197,21.79999924,NA,77,891.7471825,0,0
20mm,902,2004,2004-06-21T07:00:00Z,3,0.197,21.79999924,NA,77,944.4988815,0,0
20mm,902,2004,2004-07-06T07:00:00Z,1,0.487,22.89999962,NA,96,333.5530506,0,0
20mm,902,2004,2004-07-06T07:00:00Z,2,0.487,22.89999962,NA,96,864.2351425,0,0
20mm,902,2004,2004-07-06T07:00:00Z,3,0.487,22.89999962,NA,96,349.1350909,0,0
20mm,902,2005,2005-03-14T08:00:00Z,1,0.121,15.60000038,NA,69,921.7344945,0,0
20mm,902,2005,2005-03-14T08:00:00Z,2,0.121,15.60000038,NA,69,957.3621804,0,0
20mm,902,2005,2005-03-14T08:00:00Z,3,0.121,15.60000038,NA,69,800.0403827,0,0
20mm,902,2005,2005-03-28T08:00:00Z,2,0.131,14.60000038,NA,70,1014.334015,0,0
20mm,902,2005,2005-04-11T07:00:00Z,1,0.1,15.5,NA,110,994.4506826,0,0
20mm,902,2005,2005-04-11T07:00:00Z,2,0.1,15.5,NA,110,1026.750954,0,0
20mm,902,2005,2005-04-11T07:00:00Z,3,0.1,15.5,NA,110,1013.725342,0,0
20mm,902,2005,2005-04-25T07:00:00Z,1,0.076,16,NA,110,1018.229525,0,0
20mm,902,2005,2005-04-25T07:00:00Z,2,0.076,16,NA,110,933.7862288,0,0
20mm,902,2005,2005-05-09T07:00:00Z,1,0.092,18.29999924,NA,NA,908.6277262,0,0
20mm,902,2005,2005-05-09T07:00:00Z,2,0.092,18.29999924,NA,NA,1032.310171,0,0
20mm,902,2005,2005-05-09T07:00:00Z,3,0.092,18.29999924,NA,NA,1014.009389,0,0
20mm,902,2005,2005-05-23T07:00:00Z,1,0.111,20.20000076,NA,95,970.2254793,0,0
20mm,902,2005,2005-05-23T07:00:00Z,2,0.111,20.20000076,NA,95,901.7294271,0,0
20mm,902,2005,2005-05-23T07:00:00Z,3,0.111,20.20000076,NA,95,916.7433722,0,0
20mm,902,2005,2005-06-06T07:00:00Z,1,0.035,20.79999924,NA,120,896.7383048,0,0
20mm,902,2005,2005-06-06T07:00:00Z,2,0.035,20.79999924,NA,120,998.6302403,0,0
20mm,902,2005,2005-06-06T07:00:00Z,3,0.035,20.79999924,NA,120,1002.647485,0,0
20mm,902,2005,2005-06-20T07:00:00Z,1,0.001,20.60000038,NA,130,960.3243912,0,0
20mm,902,2005,2005-06-20T07:00:00Z,2,0.001,20.60000038,NA,130,969.2110236,0,0
20mm,902,2005,2005-06-20T07:00:00Z,3,0.001,20.60000038,NA,130,979.2338464,0,0
20mm,902,2005,2005-07-05T07:00:00Z,1,0.01,23,NA,131,957.8491192,0,0
20mm,902,2005,2005-07-05T07:00:00Z,2,0.01,23,NA,131,973.9586765,0,0
20mm,902,2005,2005-07-05T07:00:00Z,3,0.01,23,NA,131,888.663237,0,0
20mm,902,2006,2006-03-20T08:00:00Z,1,0.082,11.60000038,NA,89,777.1948392,0,0
20mm,902,2006,2006-03-20T08:00:00Z,2,0.082,11.60000038,NA,89,764.7779008,0,0
20mm,902,2006,2006-03-20T08:00:00Z,3,0.082,11.60000038,NA,89,795.0898386,0,0
20mm,902,2006,2006-04-03T07:00:00Z,1,0.105,13.30000019,NA,140,964.7879965,0,0
20mm,902,2006,2006-04-03T07:00:00Z,2,0.105,13.30000019,NA,140,946.7306841,0,0
20mm,902,2006,2006-04-03T07:00:00Z,3,0.105,13.30000019,NA,140,912.0362975,0,0
20mm,902,2006,2006-04-17T07:00:00Z,1,0.052,14.5,NA,68,983.1293564,0,0
20mm,902,2006,2006-04-17T07:00:00Z,2,0.052,14.5,NA,68,911.427624,0,0
20mm,902,2006,2006-04-17T07:00:00Z,3,0.052,14.5,NA,68,925.1024875,0,0
20mm,902,2006,2006-05-01T07:00:00Z,1,0.028,18.70000076,NA,90,737.468752,0,0
20mm,902,2006,2006-05-01T07:00:00Z,2,0.028,18.70000076,NA,90,906.8828623,0,0
20mm,902,2006,2006-05-01T07:00:00Z,3,0.028,18.70000076,NA,90,878.1128972,0,0
