SurveySeason,Review_Region,Review_Stratum,SubRegion,StationCode,Year,Station_Surveys,Station_Tows,Station_Volume,Subregion_Surveys,Subregion_Tows,Subregion_Volume,Strata_Surveys,Strata_Tows,Strata_Volume,Region_Surveys,Region_Tows,Region_Volume
20mm,Far West,Napa River*,Upper Napa River,344,2018,8,22,19.04632554979,23,62,54.99741998289,47,128,113.82035259903,63,173,152.88574502817
20mm,Far West,Napa River*,Upper Napa River,344,2019,8,24,22.926740528230003,23,69,66.23588540723,50,145,138.84803098551,101,294,275.03972987876
20mm,Far West,Napa River*,Upper Napa River,344,2020,3,9,7.7732063170300005,8,22,19.55440556762,18,51,45.543422801030005,26,73,64.18388489436
20mm,Far West,Napa River*,Upper Napa River,345,2002,7,17,13.67360558487,23,53,44.22357529205,43,113,95.44198529327001,56,148,124.97104731188
20mm,Far West,Napa River*,Upper Napa River,345,2003,7,21,18.611367502420002,21,63,55.36761517518,42,123,109.12066315689,56,162,144.58197835389
20mm,Far West,Napa River*,Upper Napa River,345,2004,5,14,12.917876629350001,16,45,41.16142032156,33,92,84.79624607454001,46,128,117.95965668487001
20mm,Far West,Napa River*,Upper Napa River,345,2005,8,22,20.54078118246,24,68,63.710093480880005,48,139,130.77129950808,64,185,173.57796416499
20mm,Far West,Napa River*,Upper Napa River,345,2006,9,23,20.70325641538,27,71,62.6511639908,54,151,135.4838116709,104,293,263.06813757301
20mm,Far West,Napa River*,Upper Napa River,345,2007,5,15,13.84147772238,15,42,38.47339663167,35,98,90.65574248654,51,140,128.13854336745
20mm,Far West,Napa River*,Upper Napa River,345,2008,7,20,18.066117825910002,21,62,55.72604268077,42,125,113.720489575,57,167,152.01104070229002
20mm,Far West,Napa River*,Upper Napa River,345,2009,6,17,16.26606754311,18,50,47.914855140460006,41,115,109.87359221454001,58,164,155.82222922035
20mm,Far West,Napa River*,Upper Napa River,345,2010,7,21,18.8696885146,21,62,55.469182484870004,43,126,113.64188954349001,58,165,149.30418871368002
20mm,Far West,Napa River*,Upper Napa River,345,2011,9,27,25.60668915035,27,81,77.4317842683,54,154,148.15623058698,82,232,220.49938307859
20mm,Far West,Napa River*,Upper Napa River,345,2012,9,27,25.11536794151,27,80,73.30972593021,54,158,147.31191935537,72,206,192.62270716381002
20mm,Far West,Napa River*,Upper Napa River,345,2013,8,22,20.20929762159,26,72,65.81772674708,53,149,137.02927413868,71,199,182.9952380487
20mm,Far West,Napa River*,Upper Napa River,345,2014,7,20,19.14391619294,21,60,57.509658780420004,45,129,123.21705332013,62,178,168.36358045353
20mm,Far West,Napa River*,Upper Napa River,345,2015,6,11,10.57476789446,15,33,31.37760328626,36,85,83.47578989211,53,128,126.24970791741
20mm,Far West,Napa River*,Upper Napa River,345,2016,8,23,21.930098621200003,22,64,60.1580375396,48,135,129.76885491416002,66,186,178.88778787341002
20mm,Far West,Napa River*,Upper Napa River,345,2017,8,21,19.57002818617,25,66,61.213517880130006,52,142,133.36757581994001,91,257,242.74724981892
20mm,Far West,Napa River*,Upper Napa River,345,2018,8,20,18.087380818430002,23,62,54.99741998289,47,128,113.82035259903,63,173,152.88574502817
20mm,Far West,Napa River*,Upper Napa River,345,2019,8,24,23.09465324397,23,69,66.23588540723,50,145,138.84803098551,101,294,275.03972987876
20mm,Far West,Napa River*,Upper Napa River,345,2020,3,9,8.0097368197,8,22,19.55440556762,18,51,45.543422801030005,26,73,64.18388489436
20mm,Far West,Napa River*,Upper Napa River,346,2002,6,16,13.775700411550002,23,53,44.22357529205,43,113,95.44198529327001,56,148,124.97104731188
20mm,Far West,Napa River*,Upper Napa River,346,2003,7,21,18.562024374740002,21,63,55.36761517518,42,123,109.12066315689,56,162,144.58197835389
20mm,Far West,Napa River*,Upper Napa River,346,2004,6,16,14.427143315970001,16,45,41.16142032156,33,92,84.79624607454001,46,128,117.95965668487001
20mm,Far West,Napa River*,Upper Napa River,346,2005,8,24,22.67121941392,24,68,63.710093480880005,48,139,130.77129950808,64,185,173.57796416499
20mm,Far West,Napa River*,Upper Napa River,346,2006,9,25,22.039456951050003,27,71,62.6511639908,54,151,135.4838116709,104,293,263.06813757301
20mm,Far West,Napa River*,Upper Napa River,346,2007,4,10,9.358435450210001,15,42,38.47339663167,35,98,90.65574248654,51,140,128.13854336745
20mm,Far West,Napa River*,Upper Napa River,346,2008,7,21,18.98915082372,21,62,55.72604268077,42,125,113.720489575,57,167,152.01104070229002
20mm,Far West,Napa River*,Upper Napa River,346,2009,6,17,16.40241039591,18,50,47.914855140460006,41,115,109.87359221454001,58,164,155.82222922035
20mm,Far West,Napa River*,Upper Napa River,346,2010,7,20,17.88505776365,21,62,55.469182484870004,43,126,113.64188954349001,58,165,149.30418871368002
20mm,Far West,Napa River*,Upper Napa River,346,2011,9,27,26.04586733364,27,81,77.4317842683,54,154,148.15623058698,82,232,220.49938307859
20mm,Far West,Napa River*,Upper Napa River,346,2012,9,26,23.83865509102,27,80,73.30972593021,54,158,147.31191935537,72,206,192.62270716381002
20mm,Far West,Napa River*,Upper Napa River,346,2013,9,24,21.76936825217,26,72,65.81772674708,53,149,137.02927413868,71,199,182.9952380487
20mm,Far West,Napa River*,Upper Napa River,346,2014,7,19,18.29757604983,21,60,57.509658780420004,45,129,123.21705332013,62,178,168.36358045353
20mm,Far West,Napa River*,Upper Napa River,346,2015,2,3,2.4580668604800002,15,33,31.37760328626,36,85,83.47578989211,53,128,126.24970791741
20mm,Far West,Napa River*,Upper Napa River,346,2016,6,17,15.9334477918,22,64,60.1580375396,48,135,129.76885491416002,66,186,178.88778787341002
20mm,Far West,Napa River*,Upper Napa River,346,2017,9,23,21.08907422622,25,66,61.213517880130006,52,142,133.36757581994001,91,257,242.74724981892
20mm,Far West,Napa River*,Upper Napa River,346,2018,7,20,17.86371361467,23,62,54.99741998289,47,128,113.82035259903,63,173,152.88574502817
20mm,Far West,Napa River*,Upper Napa River,346,2019,7,21,20.21449163503,23,69,66.23588540723,50,145,138.84803098551,101,294,275.03972987876
20mm,Far West,Napa River*,Upper Napa River,346,2020,2,4,3.77146243089,8,22,19.55440556762,18,51,45.543422801030005,26,73,64.18388489436
20mm,Far West,Napa River*,Upper Napa River,347,2002,3,3,2.5535068574400004,23,53,44.22357529205,43,113,95.44198529327001,56,148,124.97104731188
20mm,Far West,Napa River*,Lower Napa River,343,2002,6,18,15.45673474576,20,60,51.21841000122,43,113,95.44198529327001,56,148,124.97104731188
20mm,Far West,Napa River*,Lower Napa River,343,2003,7,21,18.8315449784,21,60,53.753047981710004,42,123,109.12066315689,56,162,144.58197835389
20mm,Far West,Napa River*,Lower Napa River,343,2004,5,13,11.64436945903,17,47,43.63482575298,33,92,84.79624607454001,46,128,117.95965668487001
20mm,Far West,Napa River*,Lower Napa River,343,2005,8,24,22.89606338635,24,71,67.0612060272,48,139,130.77129950808,64,185,173.57796416499
20mm,Far West,Napa River*,Lower Napa River,343,2006,9,26,23.682591218440002,27,80,72.83264768010001,54,151,135.4838116709,104,293,263.06813757301
20mm,Far West,Napa River*,Lower Napa River,343,2007,6,18,16.67006440099,20,56,52.18234585487,35,98,90.65574248654,51,140,128.13854336745
20mm,Far West,Napa River*,Lower Napa River,343,2008,7,21,19.09696718083,21,63,57.99444689423,42,125,113.720489575,57,167,152.01104070229002
20mm,Far West,Napa River*,Lower Napa River,343,2009,8,22,21.14746629919,23,65,61.958737074080005,41,115,109.87359221454001,58,164,155.82222922035
20mm,Far West,Napa River*,Lower Napa River,343,2010,7,21,18.948937797790002,22,64,58.172707058620006,43,126,113.64188954349001,58,165,149.30418871368002
20mm,Far West,Napa River*,Lower Napa River,343,2011,9,25,24.19310593007,27,73,70.72444631868001,54,154,148.15623058698,82,232,220.49938307859
20mm,Far West,Napa River*,Lower Napa River,343,2012,9,27,25.6369199317,27,78,74.00219342516,54,158,147.31191935537,72,206,192.62270716381002
20mm,Far West,Napa River*,Lower Napa River,343,2013,9,27,25.018751175880002,27,77,71.2115473916,53,149,137.02927413868,71,199,182.9952380487
20mm,Far West,Napa River*,Lower Napa River,343,2014,8,22,21.193603746700003,24,69,65.70739453971001,45,129,123.21705332013,62,178,168.36358045353
20mm,Far West,Napa River*,Lower Napa River,343,2015,7,17,17.0741018371,21,52,52.09818660585,36,85,83.47578989211,53,128,126.24970791741
20mm,Far West,Napa River*,Lower Napa River,343,2016,9,23,22.4389496254,26,71,69.61081737456,48,135,129.76885491416002,66,186,178.88778787341002
20mm,Far West,Napa River*,Lower Napa River,343,2017,9,27,25.44977313494,27,76,72.15405793981,52,142,133.36757581994001,91,257,242.74724981892
20mm,Far West,Napa River*,Lower Napa River,343,2018,8,23,20.67878774269,24,66,58.82293261614,47,128,113.82035259903,63,173,152.88574502817
20mm,Far West,Napa River*,Lower Napa River,343,2019,9,25,23.79917247323,27,76,72.61214557828,50,145,138.84803098551,101,294,275.03972987876
20mm,Far West,Napa River*,Lower Napa River,343,2020,3,9,7.92927018961,10,29,25.989017233410003,18,51,45.543422801030005,26,73,64.18388489436
20mm,Far West,Napa River*,Lower Napa River,342,2002,7,21,18.72867916535,20,60,51.21841000122,43,113,95.44198529327001,56,148,124.97104731188
20mm,Far West,Napa River*,Lower Napa River,342,2003,7,19,17.36845631752,21,60,53.753047981710004,42,123,109.12066315689,56,162,144.58197835389
20mm,Far West,Napa River*,Lower Napa River,342,2004,6,17,16.44720876183,17,47,43.63482575298,33,92,84.79624607454001,46,128,117.95965668487001
20mm,Far West,Napa River*,Lower Napa River,342,2005,8,24,23.07756980914,24,71,67.0612060272,48,139,130.77129950808,64,185,173.57796416499
20mm,Far West,Napa River*,Lower Napa River,342,2006,9,27,25.05247168501,27,80,72.83264768010001,54,151,135.4838116709,104,293,263.06813757301
20mm,Far West,Napa River*,Lower Napa River,342,2007,6,18,17.0708555787,20,56,52.18234585487,35,98,90.65574248654,51,140,128.13854336745
20mm,Far West,Napa River*,Lower Napa River,342,2008,7,21,19.8618262381,21,63,57.99444689423,42,125,113.720489575,57,167,152.01104070229002
20mm,Far West,Napa River*,Lower Napa River,342,2009,8,23,22.34346905021,23,65,61.958737074080005,41,115,109.87359221454001,58,164,155.82222922035
20mm,Far West,Napa River*,Lower Napa River,342,2010,7,19,17.542334033070002,22,64,58.172707058620006,43,126,113.64188954349001,58,165,149.30418871368002
20mm,Far West,Napa River*,Lower Napa River,342,2011,9,25,24.57632673419,27,73,70.72444631868001,54,154,148.15623058698,82,232,220.49938307859
20mm,Far West,Napa River*,Lower Napa River,342,2012,9,25,24.31118857937,27,78,74.00219342516,54,158,147.31191935537,72,206,192.62270716381002
20mm,Far West,Napa River*,Lower Napa River,342,2013,9,24,22.37869095385,27,77,71.2115473916,53,149,137.02927413868,71,199,182.9952380487
20mm,Far West,Napa River*,Lower Napa River,342,2014,8,23,22.233420890450002,24,69,65.70739453971001,45,129,123.21705332013,62,178,168.36358045353
20mm,Far West,Napa River*,Lower Napa River,342,2015,7,18,18.13506023868,21,52,52.09818660585,36,85,83.47578989211,53,128,126.24970791741
20mm,Far West,Napa River*,Lower Napa River,342,2016,8,24,23.84673015879,26,71,69.61081737456,48,135,129.76885491416002,66,186,178.88778787341002
20mm,Far West,Napa River*,Lower Napa River,342,2017,9,26,25.0095804959,27,76,72.15405793981,52,142,133.36757581994001,91,257,242.74724981892
20mm,Far West,Napa River*,Lower Napa River,342,2018,8,23,20.77422773965,24,66,58.82293261614,47,128,113.82035259903,63,173,152.88574502817
20mm,Far West,Napa River*,Lower Napa River,342,2019,9,25,24.42346854178,27,76,72.61214557828,50,145,138.84803098551,101,294,275.03972987876
20mm,Far West,Napa River*,Lower Napa River,342,2020,3,9,7.86507542975,10,29,25.989017233410003,18,51,45.543422801030005,26,73,64.18388489436
20mm,Far West,Napa River*,Lower Napa River,340,2002,7,21,17.03299609011,20,60,51.21841000122,43,113,95.44198529327001,56,148,124.97104731188
20mm,Far West,Napa River*,Lower Napa River,340,2003,7,20,17.55304668579,21,60,53.753047981710004,42,123,109.12066315689,56,162,144.58197835389
20mm,Far West,Napa River*,Lower Napa River,340,2004,6,17,15.54324753212,17,47,43.63482575298,33,92,84.79624607454001,46,128,117.95965668487001
20mm,Far West,Napa River*,Lower Napa River,340,2005,8,23,21.087572831710002,24,71,67.0612060272,48,139,130.77129950808,64,185,173.57796416499
20mm,Far West,Napa River*,Lower Napa River,340,2006,9,27,24.097584776650002,27,80,72.83264768010001,54,151,135.4838116709,104,293,263.06813757301
20mm,Far West,Napa River*,Lower Napa River,340,2007,8,20,18.441425875180002,20,56,52.18234585487,35,98,90.65574248654,51,140,128.13854336745
20mm,Far West,Napa River*,Lower Napa River,340,2008,7,21,19.0356534753,21,63,57.99444689423,42,125,113.720489575,57,167,152.01104070229002
20mm,Far West,Napa River*,Lower Napa River,340,2009,7,20,18.46780172468,23,65,61.958737074080005,41,115,109.87359221454001,58,164,155.82222922035
20mm,Far West,Napa River*,Lower Napa River,340,2010,8,24,21.68143522776,22,64,58.172707058620006,43,126,113.64188954349001,58,165,149.30418871368002
20mm,Far West,Napa River*,Lower Napa River,340,2011,9,23,21.95501365442,27,73,70.72444631868001,54,154,148.15623058698,82,232,220.49938307859
20mm,Far West,Napa River*,Lower Napa River,340,2012,9,26,24.05408491409,27,78,74.00219342516,54,158,147.31191935537,72,206,192.62270716381002
20mm,Far West,Napa River*,Lower Napa River,340,2013,9,26,23.81410526187,27,77,71.2115473916,53,149,137.02927413868,71,199,182.9952380487
20mm,Far West,Napa River*,Lower Napa River,340,2014,8,24,22.28036990256,24,69,65.70739453971001,45,129,123.21705332013,62,178,168.36358045353
20mm,Far West,Napa River*,Lower Napa River,340,2015,7,17,16.88902453007,21,52,52.09818660585,36,85,83.47578989211,53,128,126.24970791741
20mm,Far West,Napa River*,Lower Napa River,340,2016,9,24,23.32513759037,26,71,69.61081737456,48,135,129.76885491416002,66,186,178.88778787341002
20mm,Far West,Napa River*,Lower Napa River,340,2017,9,23,21.69470430897,27,76,72.15405793981,52,142,133.36757581994001,91,257,242.74724981892
20mm,Far West,Napa River*,Lower Napa River,340,2018,8,20,17.3699171338,24,66,58.82293261614,47,128,113.82035259903,63,173,152.88574502817
20mm,Far West,Napa River*,Lower Napa River,340,2019,9,26,24.389504563270002,27,76,72.61214557828,50,145,138.84803098551,101,294,275.03972987876
20mm,Far West,Napa River*,Lower Napa River,340,2020,4,11,10.194671614050002,10,29,25.989017233410003,18,51,45.543422801030005,26,73,64.18388489436
20mm,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay,328,2006,6,17,15.007127957360002,12,35,30.358278148660002,50,142,127.58432590211001,104,293,263.06813757301
20mm,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay,328,2011,2,6,5.5096309129400005,4,12,10.78309652728,28,78,72.34315249161,82,232,220.49938307859
20mm,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay,328,2017,5,15,14.08583982344,9,27,24.63029578009,39,115,109.37967399898001,91,257,242.74724981892
20mm,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay,328,2019,7,21,19.586908729850002,14,42,38.08688899092,51,149,136.19169889325,101,294,275.03972987876
20mm,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay,334,2006,6,18,15.3511501913,12,35,30.358278148660002,50,142,127.58432590211001,104,293,263.06813757301
20mm,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay,334,2011,2,6,5.27346561434,4,12,10.78309652728,28,78,72.34315249161,82,232,220.49938307859
20mm,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay,334,2017,4,12,10.544455956650001,9,27,24.63029578009,39,115,109.37967399898001,91,257,242.74724981892
20mm,Far West,San Pablo Bay and Carquinez Strait,Mid San Pablo Bay,334,2019,7,21,18.49998026107,14,42,38.08688899092,51,149,136.19169889325,101,294,275.03972987876
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,335,2006,6,17,15.05436101708,29,81,73.44627167416,50,142,127.58432590211001,104,293,263.06813757301
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,335,2011,2,6,5.14832235302,15,42,39.17795643916,28,78,72.34315249161,82,232,220.49938307859
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,335,2017,4,12,11.194722092400001,21,61,59.65020099115,39,115,109.37967399898001,91,257,242.74724981892
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,335,2019,6,18,15.55051103529,28,82,74.90570829434,51,149,136.19169889325,101,294,275.03972987876
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,329,2006,7,19,16.9426283719,29,81,73.44627167416,50,142,127.58432590211001,104,293,263.06813757301
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,329,2011,2,6,5.624304990920001,15,42,39.17795643916,28,78,72.34315249161,82,232,220.49938307859
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,329,2017,4,12,12.031364038540001,21,61,59.65020099115,39,115,109.37967399898001,91,257,242.74724981892
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,329,2019,7,20,17.80069562348,28,82,74.90570829434,51,149,136.19169889325,101,294,275.03972987876
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2002,6,17,14.28763536123,6,17,14.28763536123,13,35,29.529062018610002,56,148,124.97104731188
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2003,6,15,13.677663407870002,6,15,13.677663407870002,14,39,35.461315197000005,56,162,144.58197835389
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2004,6,15,14.10552026499,6,15,14.10552026499,13,36,33.163410610330004,46,128,117.95965668487001
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2005,7,19,17.72935909514,7,19,17.72935909514,16,46,42.80666465691,64,185,173.57796416499
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2006,9,24,21.519203464220002,29,81,73.44627167416,50,142,127.58432590211001,104,293,263.06813757301
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2007,8,20,18.2253062222,8,20,18.2253062222,16,42,37.482800880910006,51,140,128.13854336745
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2008,7,21,18.89594262941,7,21,18.89594262941,15,42,38.29055112729,57,167,152.01104070229002
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2009,8,23,21.566030741640002,8,23,21.566030741640002,17,49,45.94863700581,58,164,155.82222922035
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2010,8,22,20.157885004180002,8,22,20.157885004180002,15,39,35.66229917019,58,165,149.30418871368002
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2011,9,24,22.95932484692,15,42,39.17795643916,28,78,72.34315249161,82,232,220.49938307859
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2012,9,27,25.19555052399,9,27,25.19555052399,18,48,45.310787808440004,72,206,192.62270716381002
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2013,9,25,22.983874676070002,9,25,22.983874676070002,18,50,45.96596391002,71,199,182.9952380487
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2014,8,24,22.08892181342,8,24,22.08892181342,17,49,45.1465271334,62,178,168.36358045353
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2015,8,20,19.852655558120002,8,20,19.852655558120002,17,43,42.773918025300006,53,128,126.24970791741
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2016,9,26,25.256783073060003,9,26,25.256783073060003,18,51,49.11893295925,66,186,178.88778787341002
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2017,9,25,24.696438294990003,21,61,59.65020099115,39,115,109.37967399898001,91,257,242.74724981892
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2018,8,21,18.05877316628,8,21,18.05877316628,16,45,39.065392429140005,63,173,152.88574502817
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2019,8,23,21.766000259080002,28,82,74.90570829434,51,149,136.19169889325,101,294,275.03972987876
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,323,2020,4,11,9.44438014135,4,11,9.44438014135,8,22,18.64046209333,26,73,64.18388489436
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,336,2006,7,21,19.930078820960002,29,81,73.44627167416,50,142,127.58432590211001,104,293,263.06813757301
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,336,2011,2,6,5.4460042483,15,42,39.17795643916,28,78,72.34315249161,82,232,220.49938307859
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,336,2017,4,12,11.727676565220001,21,61,59.65020099115,39,115,109.37967399898001,91,257,242.74724981892
20mm,Far West,San Pablo Bay and Carquinez Strait,East San Pablo Bay,336,2019,7,21,19.78850137649,28,82,74.90570829434,51,149,136.19169889325,101,294,275.03972987876
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2002,7,18,15.241426657380002,7,18,15.241426657380002,13,35,29.529062018610002,56,148,124.97104731188
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2003,8,24,21.78365178913,8,24,21.78365178913,14,39,35.461315197000005,56,162,144.58197835389
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2004,7,21,19.057890345340002,7,21,19.057890345340002,13,36,33.163410610330004,46,128,117.95965668487001
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2005,9,27,25.07730556177,9,27,25.07730556177,16,46,42.80666465691,64,185,173.57796416499
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2006,9,26,23.779776079290002,9,26,23.779776079290002,50,142,127.58432590211001,104,293,263.06813757301
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2007,8,22,19.25749465871,8,22,19.25749465871,16,42,37.482800880910006,51,140,128.13854336745
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2008,8,21,19.39460849788,8,21,19.39460849788,15,42,38.29055112729,57,167,152.01104070229002
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2009,9,26,24.38260626417,9,26,24.38260626417,17,49,45.94863700581,58,164,155.82222922035
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2010,7,17,15.504414166010001,7,17,15.504414166010001,15,39,35.66229917019,58,165,149.30418871368002
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2011,9,24,22.382099525170002,9,24,22.382099525170002,28,78,72.34315249161,82,232,220.49938307859
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2012,9,21,20.11523728445,9,21,20.11523728445,18,48,45.310787808440004,72,206,192.62270716381002
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2013,9,25,22.98208923395,9,25,22.98208923395,18,50,45.96596391002,71,199,182.9952380487
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2014,9,25,23.057605319980002,9,25,23.057605319980002,17,49,45.1465271334,62,178,168.36358045353
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2015,9,23,22.92126246718,9,23,22.92126246718,17,43,42.773918025300006,53,128,126.24970791741
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2016,9,25,23.86214988619,9,25,23.86214988619,18,51,49.11893295925,66,186,178.88778787341002
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2017,9,27,25.09917722774,9,27,25.09917722774,39,115,109.37967399898001,91,257,242.74724981892
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2018,8,24,21.00661926286,8,24,21.00661926286,16,45,39.065392429140005,63,173,152.88574502817
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2019,9,25,23.199101607990002,9,25,23.199101607990002,51,149,136.19169889325,101,294,275.03972987876
20mm,Far West,San Pablo Bay and Carquinez Strait,Carquinez Strait,405,2020,4,11,9.19608195198,4,11,9.19608195198,8,22,18.64046209333,26,73,64.18388489436
20mm,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418,2002,7,21,18.35337111608,15,44,38.47457340034,55,161,139.29560886241,79,233,204.01776397772002
20mm,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418,2003,8,24,22.294937487130003,16,47,43.544376878310004,56,166,152.9304216594,80,236,218.04829567367
20mm,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418,2004,7,18,17.13436050865,14,36,34.12397847089,53,147,137.90101625377,77,218,204.84263823716
20mm,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418,2005,9,26,25.114962159210002,18,53,50.522980295480004,63,184,174.82493317289,90,262,248.87537411352002
