StationCode,Station_Longitude,Station_Latitude,Review_Region,Review_Stratum,SubRegion
913,-121.53705,37.97012,South,South,Mildred Island
914,-121.52,37.97149999989445,South,South,Mildred Island
903,-121.56747,38.10628,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
923,-121.56407356505501,38.13523632478633,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
920,-121.5041197730946,38.14174099393049,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
921,-121.49302875023906,38.165338124881245,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
919,-121.49300454115529,38.104960268506986,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
922,-121.47899725600982,38.20457659654814,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
909,-121.46705,38.02442,South,South,San Joaquin River near Stockton
910,-121.4519586196837,38.00419872173249,South,South,San Joaquin River near Stockton
911,-121.40875,37.99247,South,South,San Joaquin River near Stockton
912,-121.36853950381,37.96647973252484,South,South,San Joaquin River near Stockton
