OrganismRowID,OrganismCode,Active,CommonName,Phylum,Class,Order,Family,Genus,Species,AlternateName,NameInSAS,OrganismSymbol,Comments,NormalizedCode
116,115,TRUE,Chrysaora fuscensens,n/a,n/a,n/a,n/a,Chrysaora,fuscensens,,,,,
117,116,TRUE,Lizardfish,Chordata,Actinopterygii,Aulopiformes,"Synodontidae

Synodontidae",Synodus,lucioceps,,,,First ID in 2013,
119,117,TRUE,Mississippi Grass Shrimp,n/a,n/a,n/a,n/a,Palaemontetes,kadiakensis,,,,First ID in 2013,
121,118,TRUE,Shrimp (unid),n/a,n/a,n/a,n/a,n/a,n/a,Shrimp unidentified,,,,
122,119,TRUE,Goby (unid),n/a,n/a,n/a,Gabiidae,n/a,n/a,Unknown goby,,,,
19,12,TRUE,Mississippi Silverside,n/a,n/a,n/a,Atherinopsidae,Menidia,audens,,INLSLVER,,,146
123,120,TRUE,Unid,n/a,n/a,n/a,n/a,n/a,n/a,unidentified,,,,
124,121,TRUE,Mud shrimp,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,spp.,,,,Included starting in 2019,
20,13,TRUE,Northern Anchovy,n/a,n/a,n/a,Engraulidae,Engraulis,mordax,,NANCHOVY,,,155
21,14,TRUE,Plainfin Midshipman,n/a,n/a,n/a,Batrachoididae,Porichthys,notatus,northern midshipman,PMIDSHIP,,,152
22,15,TRUE,Pacific Pompano,n/a,n/a,n/a,Stromateidae,Peprilus,simillimus,Pacific butterfish,PBUTTER,,,232
23,16,TRUE,Pacific Herring,n/a,n/a,n/a,Clupeidae,Clupea,pallasi,,PHERRING,,,157
24,17,TRUE,Pacific Sanddab,n/a,n/a,n/a,Bothidae,Citharichthys,sordidus,,PSANDAB,,,228
25,18,TRUE,Pacific Tomcod,n/a,n/a,n/a,Gadidae,Microgadus,proximus,,PTOMCOD,,,233
26,19,TRUE,American Shad,n/a,n/a,n/a,Clupeidae,Alosa,sapidissima,,AMERSHAD,,,126
27,2,TRUE,Big Skate,n/a,n/a,n/a,Rajidae,Raja,binoculata,,BIGSKATE,,,231
28,20,TRUE,Threadfin Shad,n/a,n/a,n/a,Clupeidae,Dorosoma,petenense,,TFINSHAD,,,175
29,21,TRUE,Shiner Perch,n/a,n/a,n/a,Embiotocidae,Cymatogaster,aggregata,shiner perch,SHNRPRCH,,,168
30,22,TRUE,Crangon Shrimp,n/a,n/a,n/a,Crangonidae,Carangon,spp.,bay shrimp,CRANGON,,First ID in 1968,137
31,23,TRUE,Palaemon spp.,n/a,n/a,n/a,Palaemonidae,Palaemon,macrodactylus,oriental shrimp,PALAEMON,,First ID in 1971,156
32,24,TRUE,Delta Smelt,n/a,n/a,n/a,Osmeridae,Hypomesus,transpacificus,pond smelt (old name),DLTASMLT,,,138
33,25,TRUE,Longfin Smelt,n/a,n/a,n/a,Osmeridae,Spirinchus,thaleichthys,Sacramento smelt (old name),LNGFSMLT,,,149
34,26,TRUE,Night Smelt,n/a,n/a,n/a,Osmeridae,Spirinchus,starski,,NGHTSMLT,,,235
35,27,TRUE,Surf Smelt,n/a,n/a,n/a,Osmeridae,Hypomesus,pretiosus,,SURFSMLT,,,174
36,28,TRUE,Whitebait Smelt,n/a,n/a,n/a,Osmeridae,Allosmerus,elongatus,,WBATSMLT,,,236
37,29,TRUE,Splittail,n/a,n/a,n/a,Cyprinidae,Pogonichthys,macrolepidotus,Sacramento splittail,SPLITAIL,,,169
38,3,TRUE,Common Carp,n/a,n/a,n/a,Cyprinidae,Cyprinus,carpio,,CARP,,,134
39,30,TRUE,Pacific Staghorn Sculpin,n/a,n/a,n/a,Cottidae,Leptocottus,armatus,,PSTGSCLP,,,170
40,31,TRUE,Starry Flounder,n/a,n/a,n/a,Pleuronectidae,Platichthys,stellatus,,STRFLNDR,,,173
41,32,TRUE,Steelhead,n/a,n/a,n/a,Salmonidae,Oncorhynchus,mykiss,rainbow trout,STEELHED,,,161
42,33,TRUE,Striped Bass age-0,n/a,n/a,n/a,Percichthyidae,Morone,saxatilis,,STPBASS0,,,172
43,34,TRUE,Striped Bass age-1,n/a,n/a,n/a,Percichthyidae,Morone,saxatilis,,SPTBASS1,,,172
44,35,TRUE,Striped Bass age-2,n/a,n/a,n/a,Percichthyidae,Morone,saxatilis,,SPTBASS2,,,172
45,36,TRUE,Green Sturgeon,n/a,n/a,n/a,Acipenseridae,Acipenser,medirostris,,GRNSTURG,,,144
46,37,TRUE,White Sturgeon,n/a,n/a,n/a,Acipenseridae,Acipenser,transmontanus,,WHTSTURG,,,172
47,38,TRUE,Threespine Stickleback,n/a,n/a,n/a,Gasterosteidae,Gasterosteus,aculeatus,,STCKL3SP,,,171
48,39,TRUE,Topsmelt,n/a,n/a,n/a,Atherinopsidae,Atherinops,affinis,,TOPSMELT,,,176
49,4,TRUE,Channel Catfish,n/a,n/a,n/a,Ictaluridae,Ictalurus,punctatus,,CHANLCAT,,,135
50,40,TRUE,Tule Perch,n/a,n/a,n/a,Embiotocidae,Hysterocarpus,traski,,TULEPRCH,,,177
51,41,TRUE,White Croaker,n/a,n/a,n/a,Sciaenidae,Genyonemus,lineatus,kingfish,WHTCROAK,,,181
52,42,TRUE,Yellowfin Goby,n/a,n/a,n/a,Gobiidae,Acanthogobius,flavimanus,,YELFGOBY,,,184
53,43,TRUE,Walleye Surfperch,n/a,n/a,n/a,Embiotocidae,Hyperprosopon,argenteum,,WALSPRCH,,,223
54,44,TRUE,Rubberlip Seaperch,n/a,n/a,n/a,Embiotocidae,Rhacohilus,toxotes,rubberlip seaperch,RUBLPRCH,,,143
55,45,TRUE,Calico Surfperch,n/a,n/a,n/a,Embiotocidae,Amphistichus,koelzi,,,,,224
56,46,TRUE,Redtail Surfperch,n/a,n/a,n/a,Embiotocidae,Amphistichus,rhodoterus,,,,,163
57,47,TRUE,Pile Perch,n/a,n/a,n/a,Embiotocidae,Rhacochilus,vacca,pile perch,PILEPRCH,,,237
58,48,TRUE,Barred Surfperch,n/a,n/a,n/a,Embiotocidae,Amphistichus,argenteus,,,,,195
59,49,TRUE,Black Perch,n/a,n/a,n/a,Embiotocidae,Embiotoca,jacksoni,black perch,BLKPERCH,,,238
60,5,TRUE,White Catfish,n/a,n/a,n/a,Ictaluridae,Ameiurus,catus,,WHITECAT,,,179
61,50,TRUE,Dwarf Perch,n/a,n/a,n/a,Embiotocidae,Micrometrus,minimus,dwarf perch,DWFPERCH,,,254
62,51,TRUE,Sacramento Perch,n/a,n/a,n/a,Centrarchidae,Archoplites,interruptus,,SACPERCH,,,214
63,52,TRUE,Bluegill,n/a,n/a,n/a,Centrarchidae,Lepomis,macrochirus,,BLUEGILL,,,131
64,53,TRUE,Green Sunfish,n/a,n/a,n/a,Centrarchidae,Lepomis,cyanellus,,GRNSNFSH,,,143
65,54,TRUE,Warmouth,n/a,n/a,n/a,Centrarchidae,Lepomis,gulosus,,,,,183
66,55,TRUE,Largemouth Bass,n/a,n/a,n/a,Centrarchidae,Micropterus,salmoides,,LMTHBASS,,,148
67,56,TRUE,Broadnose Sevengill Shark,n/a,n/a,n/a,Hexanchidae,Notorynchus,cepedianus,,SEVNGSHK,,,240
68,57,TRUE,Spiny Dogfish,n/a,n/a,n/a,Squalidae,Squalus,acanthias,,SPINYDOG,,,241
69,58,TRUE,Leopard Shark,n/a,n/a,n/a,Carcharhinidae,Triakis,semifasciata,,LEOPSHRK,,,226
70,59,TRUE,Brown Smoothhound,n/a,n/a,n/a,Carcharhinidae,Mustelus,henlei,,BRNSMHND,,,225
71,6,TRUE,Black Crappie,n/a,n/a,n/a,Centrarchidae,Pomoxis,nigromaculatus,,BLKCRAPP,,,130
72,60,TRUE,California Skate,n/a,n/a,n/a,Rajidae,Raja,inornata,,,,,270
73,61,TRUE,Hitch,n/a,n/a,n/a,Cyprinidae,Lavinia,exilicauda,,HITCH,,,145
74,62,TRUE,Sacramento Blackfish,n/a,n/a,n/a,Cyprinidae,Orthodon,microlepidotus,,SACBLAKF,,,163
75,63,TRUE,Sacramento Pikeminnow,n/a,n/a,n/a,Cyprinidae,Ptychocheilus,grandis,Sacramento pikeminnow,SACSQUAW,,,164
76,64,TRUE,Goldfish,n/a,n/a,n/a,Cyprinidae,Carassius,auratus,,GOLDFISH,,,142
77,65,TRUE,Golden Shiner,n/a,n/a,n/a,Cyprinidae,Notemigonus,crysoleucas,,GOLDSHNR,,,141
78,66,TRUE,Sacramento Sucker,n/a,n/a,n/a,Catostomidae,Catostomus,occidentalis,,SACSUCKR,,,165
79,67,TRUE,Grey Smoothhound,n/a,n/a,n/a,Carcharhinidae,Mustelus,californicus,,GRYSMHND,,,242
80,68,TRUE,Black Bullhead,n/a,n/a,n/a,Ictaluridae,Ameiurus,melas,,,,,129
81,69,TRUE,Brown Bullhead,n/a,n/a,n/a,Ictaluridae,Ameiurus,nebulosus,,BRNBULHD,,,132
82,7,TRUE,White Crappie,n/a,n/a,n/a,Centrarchidae,Pomoxis,annularis,,WHTCRAPP,,,180
83,70,TRUE,Western Mosquitofish,n/a,n/a,n/a,Poeciliidae,Gambusia,affinis,western mosquitofish,MOSQUITO,,,153
84,71,TRUE,Bay Pipefish,n/a,n/a,n/a,Syngnathidae,Syngnathus,leptorhynchus,,BAYPIPEF,,,127
85,72,TRUE,Bigscale Logperch,n/a,n/a,n/a,Percidae,Percina,macrolepida,,BSCALELG,,,128
86,73,TRUE,Prickly Sculpin,n/a,n/a,n/a,Cottidae,Cottus,asper,,PRCKSCUL,,,159
87,74,TRUE,Bay Goby,n/a,n/a,n/a,Gobiidae,Lepidogobius,lepidus,,BAYGOBY,,,194
88,75,TRUE,Cheekspot Goby,n/a,n/a,n/a,Gobiidae,Ilypnus,gilberti,,,,,257
89,76,TRUE,Arrow Goby,n/a,n/a,n/a,Gobiidae,Clevelandia,ios,,AROWGOBY,,,227
90,77,TRUE,California Tonguefish,n/a,n/a,n/a,Soleidae,Symphurus,atricauda,,,,,274
91,78,TRUE,California Halibut,n/a,n/a,n/a,Bothidae,Paralichthys,californicus,,CHALIBUT,,,133
92,79,TRUE,Pacific Halibut,n/a,n/a,n/a,Pleuronectidae,Hippoglossus,stenolepis,,PHALIBUT,,,244
93,8,TRUE,Jacksmelt,n/a,n/a,n/a,Atherinopsidae,Atherinopsis,californiensis,,JACKSMLT,,,201
94,80,TRUE,Speckled Sanddab,n/a,n/a,n/a,Bothidae,Citharichthys,stigmaeus,,SPKSANDB,,,166
95,81,TRUE,Sand Sole,n/a,n/a,n/a,Pleuronectidae,Psettichthys,melanostictus,,SANDSOLE,,,245
96,82,TRUE,Diamond Turbot,n/a,n/a,n/a,Pleuronectidae,Hypsopsetta,guttulata,,DIATURBT,,,198
97,83,TRUE,English Sole,n/a,n/a,n/a,Pleuronectidae,Pleuronectes,vetulus,,ENGLSOLE,,,199
98,84,TRUE,Flatfish,n/a,n/a,n/a,Pleuronectiformes,n/a,n/a,,FLATFISH,,,246
99,85,TRUE,Rock Sole,n/a,n/a,n/a,Pleuronectidae,Pleuronectes,bilineatus,,ROCKSOLE,,,247
100,86,TRUE,Lingcod,n/a,n/a,n/a,Hexagrammidae,Ophiodon,elongatus,,LINGCOD,,,248
101,87,TRUE,Wolf Eel,n/a,n/a,n/a,Anarhichadidae,Anarrhichthys,ocellatus,,WOLFEEL,,,249
102,88,TRUE,Smelt Family,n/a,n/a,n/a,Cyprinidae,n/a,n/a,,SMLTFMLY,,,211
103,89,TRUE,Spotfin Surfperch,n/a,n/a,n/a,Embiotocidae,Hyperprosopon,anale,,SPTFPRCH,,,250
104,9,TRUE,Chinook Salmon,n/a,n/a,n/a,Salmonidae,Oncorhynchus,tshawytscha,,CHINSALM,,,136
105,90,TRUE,White Seaperch,n/a,n/a,n/a,Embiotocidae,Phanerodon,furcatus,"white seaperch, white perch",WHTSPRCH,,,251
106,91,TRUE,Pacific Electric Ray,n/a,n/a,n/a,Torpedinidae,Torpedo,californica,,PACELRAY,,,252
107,92,TRUE,Chameleon Goby,n/a,n/a,n/a,Gobiidae,Tridentiger,trigonocephalus,,CAMLGOBY,,,197
108,93,TRUE,Wakasagi,n/a,n/a,n/a,Osmeridae,Hypomesus,nipponensis,,WAKASAGI,,,178
109,94,TRUE,Smallmouth Bass,n/a,n/a,n/a,Centrarchidae,Micropterus,dolomieu,,,,,188
110,95,TRUE,Shimofuri Goby,n/a,n/a,n/a,Gobiidae,Tridentiger,bifasciatus,,SHIMGOBY,,,167
111,96,TRUE,Pacific Sardine,n/a,n/a,n/a,Clupeidae,Sardinops,sagax,,PACSARDN,,,253
112,97,TRUE,Shokihaze Goby,n/a,n/a,n/a,Gobiidae,Tridentiger,barbatus,,SHOKGOBY,,,273
113,98,TRUE,Jellyfish,n/a,n/a,n/a,n/a,n/a,n/a,,JELLYFSH,,First ID in 1998,276
114,99,TRUE,White Sea Bass,Osteichthyes,n/a,n/a,Sciaenidae,Atractoscion,nobilis,,WSEABASS,,,
